cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04885	1	-46,7826750	-23,5381983	1260	0,0794	0,5181	2314	1440	874
L04886	1	-46,7895335	-23,5468438	2582	0,0387	0,5181	4289	2958	1331
L04888	4	-46,7837257	-23,5381392	2948	0,1357	2,0725	5115	3417	1698
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,5181	5847	4096	1751
L04892	2	-46,7859235	-23,5409986	2804	0,0713	1,0363	4642	3272	1370
L04896	1	-46,7721490	-23,5258249	1758	0,0569	0,5181	2865	2061	804
L06553	1	-46,7539385	-23,5200652	2994	0,0334	0,5181	5085	3706	1379
L06561	1	-46,7669489	-23,4991193	2073	0,0482	0,5181	3361	2508	853
L06572	3	-46,8111106	-23,5339293	2376	0,1263	1,5544	3877	2809	1068
L06574	6	-46,7947410	-23,5279590	3306	0,1815	3,1088	5696	4003	1693
L06578	2	-46,8050626	-23,5249271	2586	0,0773	1,0363	4649	3140	1509
L06580	2	-46,8029684	-23,5393826	2261	0,0885	1,0363	3504	2670	834
L06583	2	-46,7956280	-23,5419549	2295	0,0871	1,0363	3822	2680	1142
L06584	4	-46,8001696	-23,5314568	4154	0,0963	2,0725	7178	4916	2262
L06586	1	-46,7973540	-23,5310870	1532	0,0653	0,5181	2464	1836	628
L06587	1	-46,8114200	-23,5253090	1047	0,0955	0,5181	1738	1306	432
L06588	2	-46,7908090	-23,5375427	4445	0,045	1,0363	7782	5226	2556
L06589	5	-46,7888751	-23,5377480	678	0,7375	2,5907	1132	839	293
L07431	1	-46,8092805	-23,5456077	1482	0,0675	0,5181	2426	1747	679
L07432	5	-46,8000137	-23,5574530	3744	0,1335	2,5907	6710	4617	2093
L07434	7	-46,8046895	-23,5635769	3466	0,202	3,6269	5784	4032	1752
L07435	7	-46,8135816	-23,5618315	2034	0,3441	3,6269	3380	2461	919
L07436	2	-46,8142376	-23,5662204	3601	0,0555	1,0363	5822	4351	1471
L07437	5	-46,8098001	-23,5479703	4556	0,1097	2,5907	7463	5384	2079
L07439	5	-46,8094021	-23,5477993	4549	0,1099	2,5907	7867	5319	2548
L07440	2	-46,7989466	-23,5580852	3631	0,0551	1,0363	6493	4311	2182
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,5181	6892	4856	2036
L07442	1	-46,7942690	-23,5647234	2687	0,0372	0,5181	4513	3137	1376
L07443	1	-46,7940196	-23,5554093	2652	0,0377	0,5181	4449	3212	1237
L07444	27	-46,8115760	-23,5569126	3694	0,7309	13,9896	6331	4349	1982
L07445	3	-46,8056808	-23,5689788	2565	0,117	1,5544	4332	3114	1218
L07446	4	-46,8088929	-23,5558779	3840	0,1042	2,0725	6249	4594	1655
L07450	55	-46,8135180	-23,5604126	2995	1,8364	28,4974	5195	3710	1485
L07451	6	-46,7954755	-23,5600688	2085	0,2878	3,1088	3712	2450	1262
L07452	5	-46,8167708	-23,5510924	2027	0,2467	2,5907	3154	2462	692
L07457	2	-46,7988490	-23,5557136	2400	0,0833	1,0363	4110	2844	1266
L07834	2	-46,7878300	-23,5101801	4845	0,0413	1,0363	7468	5673	1795
L07839	1	-46,7921985	-23,5195042	3354	0,0298	0,5181	5945	3971	1974
L07850	1	-46,7904382	-23,4990201	3604	0,0277	0,5181	5697	4305	1392
L07862	1	-46,7911598	-23,5737050	1927	0,0519	0,5181	3210	2351	859
L07863	2	-46,7820433	-23,5601685	2999	0,0667	1,0363	5047	3550	1497
L07864	1	-46,7882770	-23,5671015	3609	0,0277	0,5181	5785	4274	1511
L07866	2	-46,7598272	-23,5497723	2756	0,0726	1,0363	4697	3183	1514
L07867	1	-46,7718083	-23,5424754	3256	0,0307	0,5181	5702	3834	1868
L07868	2	-46,7775150	-23,5690329	3517	0,0569	1,0363	5943	4105	1838
L07871	1	-46,7765432	-23,5589265	3239	0,0309	0,5181	5118	3778	1340
