cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	4	-46,7892932	-23,5625432	2469	0,162	1,4925	3980	2980	1000
L04882	9	-46,7622355	-23,5407896	6968	0,1292	3,3582	12245	8193	4052
L04884	2	-46,7768615	-23,5345527	2704	0,074	0,7463	5017	3196	1821
L04885	2	-46,7826750	-23,5381983	1260	0,1587	0,7463	2314	1440	874
L04886	2	-46,7895335	-23,5468438	2582	0,0775	0,7463	4289	2958	1331
L04887	1	-46,7865759	-23,5588349	2116	0,0473	0,3731	3402	2432	970
L04888	11	-46,7837257	-23,5381392	2948	0,3731	4,1045	5115	3417	1698
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,3731	5847	4096	1751
L04890	1	-46,7857062	-23,5441159	2078	0,0481	0,3731	3496	2466	1030
L04891	3	-46,7852595	-23,5539242	3236	0,0927	1,1194	5266	3868	1398
L04892	9	-46,7859235	-23,5409986	2804	0,321	3,3582	4642	3272	1370
L04893	6	-46,7881419	-23,5569339	2713	0,2212	2,2388	4514	3206	1308
L04894	5	-46,7828380	-23,5422279	677	0,7386	1,8657	1169	764	405
L04895	1	-46,7827060	-23,5359812	3620	0,0276	0,3731	6120	4150	1970
L04897	4	-46,7778650	-23,5250979	1974	0,2026	1,4925	3439	2316	1123
L06551	2	-46,7771000	-23,5075800	3869	0,0517	0,7463	6029	4477	1552
L06554	1	-46,7658296	-23,5088622	2748	0,0364	0,3731	4561	3301	1260
L06556	1	-46,7704264	-23,4988969	4393	0,0228	0,3731	7141	5178	1963
L06557	2	-46,7811232	-23,5182373	3682	0,0543	0,7463	6245	4323	1922
L06558	4	-46,7642982	-23,5079997	4194	0,0954	1,4925	7137	5022	2115
L06559	1	-46,7704809	-23,5182739	2558	0,0391	0,3731	4360	3068	1292
L06563	3	-46,7693024	-23,5083289	4136	0,0725	1,1194	6724	4877	1847
L06564	1	-46,7839760	-23,5153403	3428	0,0292	0,3731	5256	3981	1275
L06566	1	-46,7796161	-23,5152503	4300	0,0233	0,3731	6748	4939	1809
L06570	1	-46,7680894	-23,4974164	1584	0,0631	0,3731	2619	1951	668
L06572	1	-46,8111106	-23,5339293	2376	0,0421	0,3731	3877	2809	1068
L06573	1	-46,8012880	-23,5434880	3573	0,028	0,3731	6134	4184	1950
L06574	7	-46,7947410	-23,5279590	3306	0,2117	2,6119	5696	4003	1693
L06575	4	-46,8072777	-23,5372033	4450	0,0899	1,4925	7422	5403	2019
L06576	5	-46,7930553	-23,5359633	2635	0,1898	1,8657	4766	3064	1702
L06577	6	-46,7928300	-23,5455236	3855	0,1556	2,2388	6576	4519	2057
L06578	4	-46,8050626	-23,5249271	2586	0,1547	1,4925	4649	3140	1509
L06579	3	-46,8051389	-23,5396170	1810	0,1657	1,1194	2905	2193	712
L06580	1	-46,8029684	-23,5393826	2261	0,0442	0,3731	3504	2670	834
L06581	3	-46,8093862	-23,5238239	2043	0,1468	1,1194	3432	2437	995
L06583	2	-46,7956280	-23,5419549	2295	0,0871	0,7463	3822	2680	1142
L06584	7	-46,8001696	-23,5314568	4154	0,1685	2,6119	7178	4916	2262
L06585	6	-46,7963450	-23,5492691	1998	0,3003	2,2388	3103	2350	753
L06586	2	-46,7973540	-23,5310870	1532	0,1305	0,7463	2464	1836	628
L06588	3	-46,7908090	-23,5375427	4445	0,0675	1,1194	7782	5226	2556
L07431	1	-46,8092805	-23,5456077	1482	0,0675	0,3731	2426	1747	679
