cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04882	13	-46,7622355	-23,5407896	6968	0,1866	7,2626	12245	8193	4052
L04884	4	-46,7768615	-23,5345527	2704	0,1479	2,2346	5017	3196	1821
L04885	1	-46,7826750	-23,5381983	1260	0,0794	0,5587	2314	1440	874
L04888	3	-46,7837257	-23,5381392	2948	0,1018	1,676	5115	3417	1698
L04889	3	-46,7839709	-23,5497050	3504	0,0856	1,676	5847	4096	1751
L04891	1	-46,7852595	-23,5539242	3236	0,0309	0,5587	5266	3868	1398
L04892	3	-46,7859235	-23,5409986	2804	0,107	1,676	4642	3272	1370
L04893	1	-46,7881419	-23,5569339	2713	0,0369	0,5587	4514	3206	1308
L04895	8	-46,7827060	-23,5359812	3620	0,221	4,4693	6120	4150	1970
L04896	4	-46,7721490	-23,5258249	1758	0,2275	2,2346	2865	2061	804
L04897	2	-46,7778650	-23,5250979	1974	0,1013	1,1173	3439	2316	1123
L06551	2	-46,7771000	-23,5075800	3869	0,0517	1,1173	6029	4477	1552
L06555	1	-46,7658329	-23,5121198	1569	0,0637	0,5587	2667	1924	743
L06556	1	-46,7704264	-23,4988969	4393	0,0228	0,5587	7141	5178	1963
L06557	8	-46,7811232	-23,5182373	3682	0,2173	4,4693	6245	4323	1922
L06559	1	-46,7704809	-23,5182739	2558	0,0391	0,5587	4360	3068	1292
L06564	1	-46,7839760	-23,5153403	3428	0,0292	0,5587	5256	3981	1275
L06565	2	-46,7626679	-23,5013616	3815	0,0524	1,1173	5982	4520	1462
L06566	2	-46,7796161	-23,5152503	4300	0,0465	1,1173	6748	4939	1809
L06568	1	-46,7675537	-23,5157132	3118	0,0321	0,5587	5134	3660	1474
L06571	2	-46,8093049	-23,5413420	1024	0,1953	1,1173	1622	1240	382
L06572	2	-46,8111106	-23,5339293	2376	0,0842	1,1173	3877	2809	1068
L06574	6	-46,7947410	-23,5279590	3306	0,1815	3,352	5696	4003	1693
L06575	3	-46,8072777	-23,5372033	4450	0,0674	1,676	7422	5403	2019
L06576	3	-46,7930553	-23,5359633	2635	0,1139	1,676	4766	3064	1702
L06577	4	-46,7928300	-23,5455236	3855	0,1038	2,2346	6576	4519	2057
L06578	2	-46,8050626	-23,5249271	2586	0,0773	1,1173	4649	3140	1509
L06579	1	-46,8051389	-23,5396170	1810	0,0552	0,5587	2905	2193	712
L06581	2	-46,8093862	-23,5238239	2043	0,0979	1,1173	3432	2437	995
L06583	5	-46,7956280	-23,5419549	2295	0,2179	2,7933	3822	2680	1142
L06584	4	-46,8001696	-23,5314568	4154	0,0963	2,2346	7178	4916	2262
L06585	1	-46,7963450	-23,5492691	1998	0,0501	0,5587	3103	2350	753
L06586	6	-46,7973540	-23,5310870	1532	0,3916	3,352	2464	1836	628
L06587	1	-46,8114200	-23,5253090	1047	0,0955	0,5587	1738	1306	432
L06588	8	-46,7908090	-23,5375427	4445	0,18	4,4693	7782	5226	2556
L07431	1	-46,8092805	-23,5456077	1482	0,0675	0,5587	2426	1747	679
L07432	1	-46,8000137	-23,5574530	3744	0,0267	0,5587	6710	4617	2093
L07434	1	-46,8046895	-23,5635769	3466	0,0289	0,5587	5784	4032	1752
L07435	1	-46,8135816	-23,5618315	2034	0,0492	0,5587	3380	2461	919
L07436	1	-46,8142376	-23,5662204	3601	0,0278	0,5587	5822	4351	1471
L07437	2	-46,8098001	-23,5479703	4556	0,0439	1,1173	7463	5384	2079
L07439	3	-46,8094021	-23,5477993	4549	0,0659	1,676	7867	5319	2548
L07440	2	-46,7989466	-23,5580852	3631	0,0551	1,1173	6493	4311	2182
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,5587	6892	4856	2036
L07443	1	-46,7940196	-23,5554093	2652	0,0377	0,5587	4449	3212	1237
L07444	1	-46,8115760	-23,5569126	3694	0,0271	0,5587	6331	4349	1982
L07446	1	-46,8088929	-23,5558779	3840	0,026	0,5587	6249	4594	1655
L07447	1	-46,8135551	-23,5433840	2325	0,043	0,5587	3657	2769	888
L07448	4	-46,8095111	-23,5664779	3142	0,1273	2,2346	5082	3816	1266
L07449	2	-46,8091078	-23,5742689	3555	0,0563	1,1173	5532	4202	1330
L07451	2	-46,7954755	-23,5600688	2085	0,0959	1,1173	3712	2450	1262
L07452	2	-46,8167708	-23,5510924	2027	0,0987	1,1173	3154	2462	692
