cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	2	-46,7892932	-23,5625432	2469	0,081	1,2346	3980	2980	1000
L04882	3	-46,7622355	-23,5407896	6968	0,0431	1,8519	12245	8193	4052
L04885	1	-46,7826750	-23,5381983	1260	0,0794	0,6173	2314	1440	874
L04886	6	-46,7895335	-23,5468438	2582	0,2324	3,7037	4289	2958	1331
L04888	1	-46,7837257	-23,5381392	2948	0,0339	0,6173	5115	3417	1698
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,6173	5847	4096	1751
L04891	3	-46,7852595	-23,5539242	3236	0,0927	1,8519	5266	3868	1398
L04893	1	-46,7881419	-23,5569339	2713	0,0369	0,6173	4514	3206	1308
L04895	2	-46,7827060	-23,5359812	3620	0,0552	1,2346	6120	4150	1970
L04896	2	-46,7721490	-23,5258249	1758	0,1138	1,2346	2865	2061	804
L06550	2	-46,7796148	-23,5151948	1688	0,1185	1,2346	2844	2008	836
L06562	2	-46,7576204	-23,5177314	3456	0,0579	1,2346	5988	4164	1824
L06565	1	-46,7626679	-23,5013616	3815	0,0262	0,6173	5982	4520	1462
L06573	1	-46,8012880	-23,5434880	3573	0,028	0,6173	6134	4184	1950
L06575	1	-46,8072777	-23,5372033	4450	0,0225	0,6173	7422	5403	2019
L06576	1	-46,7930553	-23,5359633	2635	0,038	0,6173	4766	3064	1702
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,6173	6576	4519	2057
L06578	2	-46,8050626	-23,5249271	2586	0,0773	1,2346	4649	3140	1509
L06579	1	-46,8051389	-23,5396170	1810	0,0552	0,6173	2905	2193	712
L06581	1	-46,8093862	-23,5238239	2043	0,0489	0,6173	3432	2437	995
L06585	1	-46,7963450	-23,5492691	1998	0,0501	0,6173	3103	2350	753
L06586	2	-46,7973540	-23,5310870	1532	0,1305	1,2346	2464	1836	628
L06588	1	-46,7908090	-23,5375427	4445	0,0225	0,6173	7782	5226	2556
L07431	4	-46,8092805	-23,5456077	1482	0,2699	2,4691	2426	1747	679
L07434	1	-46,8046895	-23,5635769	3466	0,0289	0,6173	5784	4032	1752
L07436	1	-46,8142376	-23,5662204	3601	0,0278	0,6173	5822	4351	1471
L07437	4	-46,8098001	-23,5479703	4556	0,0878	2,4691	7463	5384	2079
L07438	1	-46,8129426	-23,5836958	1196	0,0836	0,6173	2209	1464	745
L07439	4	-46,8094021	-23,5477993	4549	0,0879	2,4691	7867	5319	2548
L07440	2	-46,7989466	-23,5580852	3631	0,0551	1,2346	6493	4311	2182
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,6173	6892	4856	2036
L07442	1	-46,7942690	-23,5647234	2687	0,0372	0,6173	4513	3137	1376
L07445	3	-46,8056808	-23,5689788	2565	0,117	1,8519	4332	3114	1218
L07446	1	-46,8088929	-23,5558779	3840	0,026	0,6173	6249	4594	1655
L07447	3	-46,8135551	-23,5433840	2325	0,129	1,8519	3657	2769	888
L07448	1	-46,8095111	-23,5664779	3142	0,0318	0,6173	5082	3816	1266
L07449	2	-46,8091078	-23,5742689	3555	0,0563	1,2346	5532	4202	1330
L07451	1	-46,7954755	-23,5600688	2085	0,048	0,6173	3712	2450	1262
L07453	2	-46,8025739	-23,5795935	5067	0,0395	1,2346	7504	5891	1613
L07456	2	-46,8142480	-23,5849302	2689	0,0744	1,2346	4238	3197	1041
L07838	2	-46,7862870	-23,4967528	4339	0,0461	1,2346	7137	5077	2060
L07839	2	-46,7921985	-23,5195042	3354	0,0596	1,2346	5945	3971	1974
L07841	3	-46,7948640	-23,5032982	4104	0,0731	1,8519	6963	4856	2107
L07843	2	-46,7876769	-23,5006730	3674	0,0544	1,2346	6325	4386	1939
L07846	1	-46,7905729	-23,5134541	3873	0,0258	0,6173	6091	4508	1583
L07848	1	-46,7989836	-23,4948638	3640	0,0275	0,6173	5479	4274	1205
L07852	1	-46,7901692	-23,4894744	4862	0,0206	0,6173	7255	5664	1591
L07854	1	-46,8083282	-23,4992123	3252	0,0308	0,6173	5182	3809	1373
L07862	1	-46,7911598	-23,5737050	1927	0,0519	0,6173	3210	2351	859
L07863	3	-46,7820433	-23,5601685	2999	0,1	1,8519	5047	3550	1497
L07864	3	-46,7882770	-23,5671015	3609	0,0831	1,8519	5785	4274	1511
L07865	2	-46,7961581	-23,5710313	4054	0,0493	1,2346	6732	4816	1916
L07866	24	-46,7598272	-23,5497723	2756	0,8708	14,8148	4697	3183	1514
L07867	2	-46,7718083	-23,5424754	3256	0,0614	1,2346	5702	3834	1868
L07869	2	-46,7946320	-23,5758979	3066	0,0652	1,2346	4950	3732	1218
L07870	20	-46,7680678	-23,5499418	2762	0,7241	12,3457	4668	3273	1395
L07871	1	-46,7765432	-23,5589265	3239	0,0309	0,6173	5118	3778	1340
L07874	2	-46,7789564	-23,5580312	554	0,361	1,2346	965	699	266
L07877	16	-46,7668646	-23,5424120	3878	0,4126	9,8765	6707	4662	2045
