cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04882	2	-46,7622355	-23,5407896	6968	0,0287	0,3976	12245	8193	4052
L04887	1	-46,7865759	-23,5588349	2116	0,0473	0,1988	3402	2432	970
L04895	2	-46,7827060	-23,5359812	3620	0,0552	0,3976	6120	4150	1970
L04896	1	-46,7721490	-23,5258249	1758	0,0569	0,1988	2865	2061	804
L06550	8	-46,7796148	-23,5151948	1688	0,4739	1,5905	2844	2008	836
L06551	10	-46,7771000	-23,5075800	3869	0,2585	1,9881	6029	4477	1552
L06553	1	-46,7539385	-23,5200652	2994	0,0334	0,1988	5085	3706	1379
L06554	23	-46,7658296	-23,5088622	2748	0,837	4,5726	4561	3301	1260
L06555	1	-46,7658329	-23,5121198	1569	0,0637	0,1988	2667	1924	743
L06556	13	-46,7704264	-23,4988969	4393	0,2959	2,5845	7141	5178	1963
L06557	7	-46,7811232	-23,5182373	3682	0,1901	1,3917	6245	4323	1922
L06558	88	-46,7642982	-23,5079997	4194	2,0982	17,495	7137	5022	2115
L06559	6	-46,7704809	-23,5182739	2558	0,2346	1,1928	4360	3068	1292
L06560	2	-46,7844325	-23,4788556	1748	0,1144	0,3976	2762	2038	724
L06561	10	-46,7669489	-23,4991193	2073	0,4824	1,9881	3361	2508	853
L06562	1	-46,7576204	-23,5177314	3456	0,0289	0,1988	5988	4164	1824
L06563	61	-46,7693024	-23,5083289	4136	1,4749	12,1272	6724	4877	1847
L06564	15	-46,7839760	-23,5153403	3428	0,4376	2,9821	5256	3981	1275
L06565	50	-46,7626679	-23,5013616	3815	1,3106	9,9404	5982	4520	1462
L06566	6	-46,7796161	-23,5152503	4300	0,1395	1,1928	6748	4939	1809
L06567	1	-46,7760817	-23,4874637	762	0,1312	0,1988	1142	879	263
L06568	5	-46,7675537	-23,5157132	3118	0,1604	0,994	5134	3660	1474
L06569	3	-46,7678202	-23,5030127	146	2,0548	0,5964	214	163	51
L06570	4	-46,7680894	-23,4974164	1584	0,2525	0,7952	2619	1951	668
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,1988	6576	4519	2057
L06578	2	-46,8050626	-23,5249271	2586	0,0773	0,3976	4649	3140	1509
L06583	1	-46,7956280	-23,5419549	2295	0,0436	0,1988	3822	2680	1142
L06584	3	-46,8001696	-23,5314568	4154	0,0722	0,5964	7178	4916	2262
L07435	3	-46,8135816	-23,5618315	2034	0,1475	0,5964	3380	2461	919
L07436	2	-46,8142376	-23,5662204	3601	0,0555	0,3976	5822	4351	1471
L07437	1	-46,8098001	-23,5479703	4556	0,0219	0,1988	7463	5384	2079
L07439	4	-46,8094021	-23,5477993	4549	0,0879	0,7952	7867	5319	2548
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,1988	6892	4856	2036
L07444	1	-46,8115760	-23,5569126	3694	0,0271	0,1988	6331	4349	1982
L07445	1	-46,8056808	-23,5689788	2565	0,039	0,1988	4332	3114	1218
L07446	1	-46,8088929	-23,5558779	3840	0,026	0,1988	6249	4594	1655
L07450	1	-46,8135180	-23,5604126	2995	0,0334	0,1988	5195	3710	1485
L07834	7	-46,7878300	-23,5101801	4845	0,1445	1,3917	7468	5673	1795
L07835	1	-46,7999039	-23,5019036	540	0,1852	0,1988	853	612	241
L07836	6	-46,7878300	-23,5101801	4065	0,1476	1,1928	6277	4645	1632
L07837	6	-46,8064489	-23,5051642	4194	0,1431	1,1928	6586	4946	1640
L07838	5	-46,7862870	-23,4967528	4339	0,1152	0,994	7137	5077	2060
L07839	3	-46,7921985	-23,5195042	3354	0,0894	0,5964	5945	3971	1974
L07840	10	-46,7986325	-23,4938631	4355	0,2296	1,9881	6709	4997	1712
L07841	8	-46,7948640	-23,5032982	4104	0,1949	1,5905	6963	4856	2107
L07842	12	-46,8047641	-23,4972846	4158	0,2886	2,3857	6856	4887	1969
L07843	4	-46,7876769	-23,5006730	3674	0,1089	0,7952	6325	4386	1939
L07844	4	-46,8001115	-23,5019602	1223	0,3271	0,7952	2075	1476	599
L07845	3	-46,7878300	-23,5101801	2603	0,1153	0,5964	4010	2972	1038
L07846	8	-46,7905729	-23,5134541	3873	0,2066	1,5905	6091	4508	1583
L07847	5	-46,7922239	-23,4929084	1905	0,2625	0,994	3092	2230	862
L07848	40	-46,7989836	-23,4948638	3640	1,0989	7,9523	5479	4274	1205
L07849	4	-46,7861467	-23,5074938	2324	0,1721	0,7952	3344	2656	688
L07850	4	-46,7904382	-23,4990201	3604	0,111	0,7952	5697	4305	1392
L07852	4	-46,7901692	-23,4894744	4862	0,0823	0,7952	7255	5664	1591
L07853	4	-46,8028593	-23,5003978	2574	0,1554	0,7952	3878	2968	910
L07855	1	-46,8006874	-23,5164197	2388	0,0419	0,1988	3633	2744	889
L07856	4	-46,7854306	-23,4977596	1632	0,2451	0,7952	2436	1898	538
L07857	11	-46,8046246	-23,4964528	2443	0,4503	2,1869	3797	2853	944
L07860	1	-46,7781678	-23,5609793	171	0,5848	0,1988	290	200	90
L07865	2	-46,7961581	-23,5710313	4054	0,0493	0,3976	6732	4816	1916
L07868	1	-46,7775150	-23,5690329	3517	0,0284	0,1988	5943	4105	1838
L07875	1	-46,7953784	-23,5709567	1397	0,0716	0,1988	2327	1737	590
L07876	1	-46,7974297	-23,5787302	2011	0,0497	0,1988	3189	2432	757
