cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	8	-46,7892932	-23,5625432	2469	0,324	2,9963	3980	2980	1000
L04882	5	-46,7622355	-23,5407896	6968	0,0718	1,8727	12245	8193	4052
L04884	7	-46,7768615	-23,5345527	2704	0,2589	2,6217	5017	3196	1821
L04885	1	-46,7826750	-23,5381983	1260	0,0794	0,3745	2314	1440	874
L04886	3	-46,7895335	-23,5468438	2582	0,1162	1,1236	4289	2958	1331
L04887	1	-46,7865759	-23,5588349	2116	0,0473	0,3745	3402	2432	970
L04888	4	-46,7837257	-23,5381392	2948	0,1357	1,4981	5115	3417	1698
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,3745	5847	4096	1751
L04890	1	-46,7857062	-23,5441159	2078	0,0481	0,3745	3496	2466	1030
L04891	1	-46,7852595	-23,5539242	3236	0,0309	0,3745	5266	3868	1398
L04892	2	-46,7859235	-23,5409986	2804	0,0713	0,7491	4642	3272	1370
L04893	6	-46,7881419	-23,5569339	2713	0,2212	2,2472	4514	3206	1308
L04895	1	-46,7827060	-23,5359812	3620	0,0276	0,3745	6120	4150	1970
L04896	1	-46,7721490	-23,5258249	1758	0,0569	0,3745	2865	2061	804
L04897	1	-46,7778650	-23,5250979	1974	0,0507	0,3745	3439	2316	1123
L06550	2	-46,7796148	-23,5151948	1688	0,1185	0,7491	2844	2008	836
L06551	7	-46,7771000	-23,5075800	3869	0,1809	2,6217	6029	4477	1552
L06553	3	-46,7539385	-23,5200652	2994	0,1002	1,1236	5085	3706	1379
L06554	7	-46,7658296	-23,5088622	2748	0,2547	2,6217	4561	3301	1260
L06555	2	-46,7658329	-23,5121198	1569	0,1275	0,7491	2667	1924	743
L06556	1	-46,7704264	-23,4988969	4393	0,0228	0,3745	7141	5178	1963
L06557	4	-46,7811232	-23,5182373	3682	0,1086	1,4981	6245	4323	1922
L06558	3	-46,7642982	-23,5079997	4194	0,0715	1,1236	7137	5022	2115
L06559	3	-46,7704809	-23,5182739	2558	0,1173	1,1236	4360	3068	1292
L06562	1	-46,7576204	-23,5177314	3456	0,0289	0,3745	5988	4164	1824
L06563	2	-46,7693024	-23,5083289	4136	0,0484	0,7491	6724	4877	1847
L06564	5	-46,7839760	-23,5153403	3428	0,1459	1,8727	5256	3981	1275
L06565	5	-46,7626679	-23,5013616	3815	0,1311	1,8727	5982	4520	1462
L06566	3	-46,7796161	-23,5152503	4300	0,0698	1,1236	6748	4939	1809
L06568	2	-46,7675537	-23,5157132	3118	0,0641	0,7491	5134	3660	1474
L06570	1	-46,7680894	-23,4974164	1584	0,0631	0,3745	2619	1951	668
L06574	3	-46,7947410	-23,5279590	3306	0,0907	1,1236	5696	4003	1693
L06575	1	-46,8072777	-23,5372033	4450	0,0225	0,3745	7422	5403	2019
L06576	1	-46,7930553	-23,5359633	2635	0,038	0,3745	4766	3064	1702
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,3745	6576	4519	2057
L06578	3	-46,8050626	-23,5249271	2586	0,116	1,1236	4649	3140	1509
L06579	4	-46,8051389	-23,5396170	1810	0,221	1,4981	2905	2193	712
L06580	2	-46,8029684	-23,5393826	2261	0,0885	0,7491	3504	2670	834
L06581	1	-46,8093862	-23,5238239	2043	0,0489	0,3745	3432	2437	995
L06582	1	-46,8034785	-23,5476532	1341	0,0746	0,3745	2100	1625	475
L06584	5	-46,8001696	-23,5314568	4154	0,1204	1,8727	7178	4916	2262
L06585	1	-46,7963450	-23,5492691	1998	0,0501	0,3745	3103	2350	753
L06586	1	-46,7973540	-23,5310870	1532	0,0653	0,3745	2464	1836	628
L06588	2	-46,7908090	-23,5375427	4445	0,045	0,7491	7782	5226	2556
L06589	2	-46,7888751	-23,5377480	678	0,295	0,7491	1132	839	293
L07432	4	-46,8000137	-23,5574530	3744	0,1068	1,4981	6710	4617	2093
L07434	1	-46,8046895	-23,5635769	3466	0,0289	0,3745	5784	4032	1752
L07435	2	-46,8135816	-23,5618315	2034	0,0983	0,7491	3380	2461	919
L07436	1	-46,8142376	-23,5662204	3601	0,0278	0,3745	5822	4351	1471
L07437	4	-46,8098001	-23,5479703	4556	0,0878	1,4981	7463	5384	2079
L07439	8	-46,8094021	-23,5477993	4549	0,1759	2,9963	7867	5319	2548
L07440	1	-46,7989466	-23,5580852	3631	0,0275	0,3745	6493	4311	2182
L07441	2	-46,8025359	-23,5663449	4033	0,0496	0,7491	6892	4856	2036
L07443	1	-46,7940196	-23,5554093	2652	0,0377	0,3745	4449	3212	1237
L07444	3	-46,8115760	-23,5569126	3694	0,0812	1,1236	6331	4349	1982
L07447	1	-46,8135551	-23,5433840	2325	0,043	0,3745	3657	2769	888
L07448	2	-46,8095111	-23,5664779	3142	0,0637	0,7491	5082	3816	1266
L07449	1	-46,8091078	-23,5742689	3555	0,0281	0,3745	5532	4202	1330
L07450	5	-46,8135180	-23,5604126	2995	0,1669	1,8727	5195	3710	1485
L07452	1	-46,8167708	-23,5510924	2027	0,0493	0,3745	3154	2462	692
L07453	2	-46,8025739	-23,5795935	5067	0,0395	0,7491	7504	5891	1613
L07457	2	-46,7988490	-23,5557136	2400	0,0833	0,7491	4110	2844	1266
L07458	1	-46,8144108	-23,5768893	2289	0,0437	0,3745	3731	2825	906
L07834	3	-46,7878300	-23,5101801	4845	0,0619	1,1236	7468	5673	1795
L07835	1	-46,7999039	-23,5019036	540	0,1852	0,3745	853	612	241
L07836	9	-46,7878300	-23,5101801	4065	0,2214	3,3708	6277	4645	1632
L07838	1	-46,7862870	-23,4967528	4339	0,023	0,3745	7137	5077	2060
L07841	3	-46,7948640	-23,5032982	4104	0,0731	1,1236	6963	4856	2107
L07843	4	-46,7876769	-23,5006730	3674	0,1089	1,4981	6325	4386	1939
L07844	3	-46,8001115	-23,5019602	1223	0,2453	1,1236	2075	1476	599
L07845	7	-46,7878300	-23,5101801	2603	0,2689	2,6217	4010	2972	1038
L07846	3	-46,7905729	-23,5134541	3873	0,0775	1,1236	6091	4508	1583
L07848	3	-46,7989836	-23,4948638	3640	0,0824	1,1236	5479	4274	1205
L07849	3	-46,7861467	-23,5074938	2324	0,1291	1,1236	3344	2656	688
L07851	3	-46,7909369	-23,5050777	2125	0,1412	1,1236	3364	2539	825
L07852	2	-46,7901692	-23,4894744	4862	0,0411	0,7491	7255	5664	1591
L07853	1	-46,8028593	-23,5003978	2574	0,0389	0,3745	3878	2968	910
L07862	2	-46,7911598	-23,5737050	1927	0,1038	0,7491	3210	2351	859
L07863	2	-46,7820433	-23,5601685	2999	0,0667	0,7491	5047	3550	1497
L07864	5	-46,7882770	-23,5671015	3609	0,1385	1,8727	5785	4274	1511
L07865	7	-46,7961581	-23,5710313	4054	0,1727	2,6217	6732	4816	1916
L07867	8	-46,7718083	-23,5424754	3256	0,2457	2,9963	5702	3834	1868
L07868	7	-46,7775150	-23,5690329	3517	0,199	2,6217	5943	4105	1838
L07869	4	-46,7946320	-23,5758979	3066	0,1305	1,4981	4950	3732	1218
L07870	2	-46,7680678	-23,5499418	2762	0,0724	0,7491	4668	3273	1395
L07871	6	-46,7765432	-23,5589265	3239	0,1852	2,2472	5118	3778	1340
L07872	4	-46,7943390	-23,5707970	3084	0,1297	1,4981	5148	3623	1525
L07873	2	-46,7774757	-23,5673982	404	0,495	0,7491	647	496	151
L07875	2	-46,7953784	-23,5709567	1397	0,1432	0,7491	2327	1737	590
L07876	2	-46,7974297	-23,5787302	2011	0,0995	0,7491	3189	2432	757
L07877	4	-46,7668646	-23,5424120	3878	0,1031	1,4981	6707	4662	2045
