cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	5	-46,7892932	-23,5625432	2469	0,2025	0,5056	3980	2980	1000
L04882	6	-46,7622355	-23,5407896	6968	0,0861	0,6067	12245	8193	4052
L04884	3	-46,7768615	-23,5345527	2704	0,1109	0,3033	5017	3196	1821
L04885	2	-46,7826750	-23,5381983	1260	0,1587	0,2022	2314	1440	874
L04886	7	-46,7895335	-23,5468438	2582	0,2711	0,7078	4289	2958	1331
L04887	3	-46,7865759	-23,5588349	2116	0,1418	0,3033	3402	2432	970
L04888	2	-46,7837257	-23,5381392	2948	0,0678	0,2022	5115	3417	1698
L04889	11	-46,7839709	-23,5497050	3504	0,3139	1,1122	5847	4096	1751
L04890	1	-46,7857062	-23,5441159	2078	0,0481	0,1011	3496	2466	1030
L04891	5	-46,7852595	-23,5539242	3236	0,1545	0,5056	5266	3868	1398
L04892	5	-46,7859235	-23,5409986	2804	0,1783	0,5056	4642	3272	1370
L04893	6	-46,7881419	-23,5569339	2713	0,2212	0,6067	4514	3206	1308
L04895	6	-46,7827060	-23,5359812	3620	0,1657	0,6067	6120	4150	1970
L04896	3	-46,7721490	-23,5258249	1758	0,1706	0,3033	2865	2061	804
L04897	2	-46,7778650	-23,5250979	1974	0,1013	0,2022	3439	2316	1123
L06550	4	-46,7796148	-23,5151948	1688	0,237	0,4044	2844	2008	836
L06551	3	-46,7771000	-23,5075800	3869	0,0775	0,3033	6029	4477	1552
L06552	1	-46,7581060	-23,5188940	693	0,1443	0,1011	1042	811	231
L06553	2	-46,7539385	-23,5200652	2994	0,0668	0,2022	5085	3706	1379
L06554	6	-46,7658296	-23,5088622	2748	0,2183	0,6067	4561	3301	1260
L06555	5	-46,7658329	-23,5121198	1569	0,3187	0,5056	2667	1924	743
L06556	6	-46,7704264	-23,4988969	4393	0,1366	0,6067	7141	5178	1963
L06557	10	-46,7811232	-23,5182373	3682	0,2716	1,0111	6245	4323	1922
L06558	14	-46,7642982	-23,5079997	4194	0,3338	1,4156	7137	5022	2115
L06559	6	-46,7704809	-23,5182739	2558	0,2346	0,6067	4360	3068	1292
L06560	2	-46,7844325	-23,4788556	1748	0,1144	0,2022	2762	2038	724
L06561	2	-46,7669489	-23,4991193	2073	0,0965	0,2022	3361	2508	853
L06562	1	-46,7576204	-23,5177314	3456	0,0289	0,1011	5988	4164	1824
L06563	15	-46,7693024	-23,5083289	4136	0,3627	1,5167	6724	4877	1847
L06564	1	-46,7839760	-23,5153403	3428	0,0292	0,1011	5256	3981	1275
L06565	1	-46,7626679	-23,5013616	3815	0,0262	0,1011	5982	4520	1462
L06566	14	-46,7796161	-23,5152503	4300	0,3256	1,4156	6748	4939	1809
L06567	5	-46,7760817	-23,4874637	762	0,6562	0,5056	1142	879	263
L06568	3	-46,7675537	-23,5157132	3118	0,0962	0,3033	5134	3660	1474
L06569	1	-46,7678202	-23,5030127	146	0,6849	0,1011	214	163	51
L06570	2	-46,7680894	-23,4974164	1584	0,1263	0,2022	2619	1951	668
L06571	5	-46,8093049	-23,5413420	1024	0,4883	0,5056	1622	1240	382
L06572	64	-46,8111106	-23,5339293	2376	2,6936	6,4712	3877	2809	1068
L06573	19	-46,8012880	-23,5434880	3573	0,5318	1,9211	6134	4184	1950
L06574	24	-46,7947410	-23,5279590	3306	0,726	2,4267	5696	4003	1693
L06575	28	-46,8072777	-23,5372033	4450	0,6292	2,8311	7422	5403	2019
L06576	12	-46,7930553	-23,5359633	2635	0,4554	1,2133	4766	3064	1702
L06577	13	-46,7928300	-23,5455236	3855	0,3372	1,3145	6576	4519	2057
L06578	12	-46,8050626	-23,5249271	2586	0,464	1,2133	4649	3140	1509
L06579	8	-46,8051389	-23,5396170	1810	0,442	0,8089	2905	2193	712
L06580	8	-46,8029684	-23,5393826	2261	0,3538	0,8089	3504	2670	834
L06581	21	-46,8093862	-23,5238239	2043	1,0279	2,1234	3432	2437	995
L06583	11	-46,7956280	-23,5419549	2295	0,4793	1,1122	3822	2680	1142
L06584	20	-46,8001696	-23,5314568	4154	0,4815	2,0222	7178	4916	2262
L06585	5	-46,7963450	-23,5492691	1998	0,2503	0,5056	3103	2350	753
