cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	16	-46,7892932	-23,5625432	2469	0,648	1,0256	3980	2980	1000
L04882	37	-46,7622355	-23,5407896	6968	0,531	2,3718	12245	8193	4052
L04884	28	-46,7768615	-23,5345527	2704	1,0355	1,7949	5017	3196	1821
L04885	9	-46,7826750	-23,5381983	1260	0,7143	0,5769	2314	1440	874
L04886	9	-46,7895335	-23,5468438	2582	0,3486	0,5769	4289	2958	1331
L04887	5	-46,7865759	-23,5588349	2116	0,2363	0,3205	3402	2432	970
L04888	17	-46,7837257	-23,5381392	2948	0,5767	1,0897	5115	3417	1698
L04889	13	-46,7839709	-23,5497050	3504	0,371	0,8333	5847	4096	1751
L04890	9	-46,7857062	-23,5441159	2078	0,4331	0,5769	3496	2466	1030
L04891	18	-46,7852595	-23,5539242	3236	0,5562	1,1538	5266	3868	1398
L04892	16	-46,7859235	-23,5409986	2804	0,5706	1,0256	4642	3272	1370
L04893	5	-46,7881419	-23,5569339	2713	0,1843	0,3205	4514	3206	1308
L04894	2	-46,7828380	-23,5422279	677	0,2954	0,1282	1169	764	405
L04895	29	-46,7827060	-23,5359812	3620	0,8011	1,859	6120	4150	1970
L04896	3	-46,7721490	-23,5258249	1758	0,1706	0,1923	2865	2061	804
L04897	15	-46,7778650	-23,5250979	1974	0,7599	0,9615	3439	2316	1123
L06550	20	-46,7796148	-23,5151948	1688	1,1848	1,2821	2844	2008	836
L06551	7	-46,7771000	-23,5075800	3869	0,1809	0,4487	6029	4477	1552
L06552	1	-46,7581060	-23,5188940	693	0,1443	0,0641	1042	811	231
L06553	13	-46,7539385	-23,5200652	2994	0,4342	0,8333	5085	3706	1379
L06554	11	-46,7658296	-23,5088622	2748	0,4003	0,7051	4561	3301	1260
L06555	10	-46,7658329	-23,5121198	1569	0,6373	0,641	2667	1924	743
L06556	17	-46,7704264	-23,4988969	4393	0,387	1,0897	7141	5178	1963
L06557	19	-46,7811232	-23,5182373	3682	0,516	1,2179	6245	4323	1922
L06558	12	-46,7642982	-23,5079997	4194	0,2861	0,7692	7137	5022	2115
L06559	8	-46,7704809	-23,5182739	2558	0,3127	0,5128	4360	3068	1292
L06560	2	-46,7844325	-23,4788556	1748	0,1144	0,1282	2762	2038	724
L06561	2	-46,7669489	-23,4991193	2073	0,0965	0,1282	3361	2508	853
L06562	5	-46,7576204	-23,5177314	3456	0,1447	0,3205	5988	4164	1824
L06563	15	-46,7693024	-23,5083289	4136	0,3627	0,9615	6724	4877	1847
L06564	15	-46,7839760	-23,5153403	3428	0,4376	0,9615	5256	3981	1275
L06565	5	-46,7626679	-23,5013616	3815	0,1311	0,3205	5982	4520	1462
L06566	28	-46,7796161	-23,5152503	4300	0,6512	1,7949	6748	4939	1809
L06567	1	-46,7760817	-23,4874637	762	0,1312	0,0641	1142	879	263
L06568	9	-46,7675537	-23,5157132	3118	0,2886	0,5769	5134	3660	1474
L06570	12	-46,7680894	-23,4974164	1584	0,7576	0,7692	2619	1951	668
L06571	8	-46,8093049	-23,5413420	1024	0,7812	0,5128	1622	1240	382
L06572	17	-46,8111106	-23,5339293	2376	0,7155	1,0897	3877	2809	1068
