cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05004	234	-46,3398858	-23,5239224	1898	12,3288	3,351	3284	2177	1107
L05005	372	-46,3374620	-23,5315400	2712	13,7168	5,3272	3887	3073	814
L05006	485	-46,3429659	-23,5171323	4353	11,1417	6,9454	7166	4960	2206
L05007	156	-46,3657302	-23,5183636	1727	9,033	2,234	2562	2069	493
L05008	179	-46,3480012	-23,5194955	1425	12,5614	2,5634	2162	1648	514
L05009	283	-46,3438689	-23,5311039	3068	9,2243	4,0527	5266	3500	1766
L05010	427	-46,3548599	-23,5079119	2487	17,1693	6,1149	3712	2891	821
L05011	239	-46,3355387	-23,5095882	2193	10,8983	3,4226	3230	2499	731
L05012	437	-46,3478159	-23,5347259	3710	11,779	6,2581	5686	4285	1401
L05013	295	-46,3523801	-23,5361385	2444	12,0704	4,2245	3666	2799	867
L05014	369	-46,3413652	-23,5201693	4048	9,1156	5,2843	6165	4558	1607
L05015	382	-46,3578871	-23,5206354	3339	11,4406	5,4704	4775	3812	963
L05016	282	-46,3426396	-23,5419679	2519	11,1949	4,0384	3712	2877	835
L05017	218	-46,3521940	-23,5473900	2085	10,4556	3,1219	3004	2369	635
L05018	160	-46,3340150	-23,5331037	1040	15,3846	2,2913	1434	1162	272
L05019	123	-46,3380376	-23,5311420	967	12,7198	1,7614	1349	1085	264
L05020	121	-46,3439856	-23,5296432	1312	9,2226	1,7328	2160	1485	675
L05021	153	-46,3410776	-23,5373743	1467	10,4294	2,191	2132	1696	436
L05022	142	-46,3516373	-23,5462355	1489	9,5366	2,0335	2141	1686	455
L05023	142	-46,3597600	-23,5182320	1142	12,4343	2,0335	1546	1282	264
L05024	61	-46,3421440	-23,5199230	723	8,4371	0,8736	1083	794	289
L05025	158	-46,3456720	-23,5280468	1543	10,2398	2,2626	2612	1734	878
L05026	188	-46,3518949	-23,5262154	2001	9,3953	2,6923	2939	2281	658
L05027	144	-46,3337364	-23,5187973	1576	9,1371	2,0622	2332	1806	526
L05028	127	-46,3458377	-23,5532285	1369	9,2768	1,8187	2064	1576	488
L05029	202	-46,3465347	-23,5526892	2761	7,3162	2,8927	4129	3176	953
L05031	296	-46,3388400	-23,5346484	2608	11,3497	4,2389	3697	2911	786
L05032	52	-46,3459069	-23,5530722	733	7,0941	0,7447	1123	861	262
L05033	556	-46,3621137	-23,5149420	3199	17,3804	7,9622	4835	3684	1151
