cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05005	1	-46,3374620	-23,5315400	2770	0,0361	0,8264	3887	3073	814
L05006	11	-46,3429659	-23,5171323	4423	0,2487	9,0909	7166	4960	2206
L05007	4	-46,3657302	-23,5183636	1819	0,2199	3,3058	2562	2069	493
L05008	3	-46,3480012	-23,5194955	1452	0,2066	2,4793	2162	1648	514
L05009	2	-46,3438689	-23,5311039	3097	0,0646	1,6529	5266	3500	1766
L05010	54	-46,3548599	-23,5079119	2516	2,1463	44,6281	3712	2891	821
L05011	4	-46,3355387	-23,5095882	2259	0,1771	3,3058	3230	2499	731
L05012	1	-46,3478159	-23,5347259	3804	0,0263	0,8264	5686	4285	1401
L05014	5	-46,3413652	-23,5201693	4103	0,1219	4,1322	6165	4558	1607
L05015	6	-46,3578871	-23,5206354	3354	0,1789	4,9587	4775	3812	963
L05016	3	-46,3426396	-23,5419679	2593	0,1157	2,4793	3712	2877	835
L05017	1	-46,3521940	-23,5473900	2118	0,0472	0,8264	3004	2369	635
L05018	1	-46,3340150	-23,5331037	1069	0,0935	0,8264	1434	1162	272
L05020	1	-46,3439856	-23,5296432	1328	0,0753	0,8264	2160	1485	675
L05022	1	-46,3516373	-23,5462355	1530	0,0654	0,8264	2141	1686	455
L05023	2	-46,3597600	-23,5182320	1168	0,1712	1,6529	1546	1282	264
L05025	3	-46,3456720	-23,5280468	1546	0,194	2,4793	2612	1734	878
L05026	3	-46,3518949	-23,5262154	2014	0,149	2,4793	2939	2281	658
L05027	3	-46,3337364	-23,5187973	1615	0,1858	2,4793	2332	1806	526
L05028	1	-46,3458377	-23,5532285	1414	0,0707	0,8264	2064	1576	488
L05029	1	-46,3465347	-23,5526892	2807	0,0356	0,8264	4129	3176	953
L05031	2	-46,3388400	-23,5346484	2639	0,0758	1,6529	3697	2911	786
L05033	8	-46,3621137	-23,5149420	3295	0,2428	6,6116	4835	3684	1151
