cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04187	12	-46,4133491	-23,7109861	1336	0,8982	4,6332	2112	1500	612
L04188	17	-46,4315564	-23,6947299	2619	0,6491	6,5637	3820	3001	819
L04189	5	-46,4253910	-23,7034609	1090	0,4587	1,9305	1508	1219	289
L04191	6	-46,4042130	-23,7107790	2528	0,2373	2,3166	4177	2799	1378
L04192	8	-46,4077570	-23,6996264	1318	0,607	3,0888	1979	1470	509
L04193	3	-46,3922839	-23,6967820	1829	0,164	1,1583	2560	2035	525
L04194	2	-46,3893940	-23,7115049	1843	0,1085	0,7722	2622	2066	556
L04195	2	-46,4333438	-23,7067628	1299	0,154	0,7722	1750	1405	345
L04196	7	-46,3974190	-23,7075510	2194	0,3191	2,7027	3394	2445	949
L04197	7	-46,3898385	-23,6912630	4055	0,1726	2,7027	5826	4531	1295
L04199	1	-46,3608767	-23,7080268	926	0,108	0,3861	1291	1035	256
L04200	24	-46,4166922	-23,6842644	2149	1,1168	9,2664	3300	2549	751
L04201	7	-46,3601464	-23,6848485	1952	0,3586	2,7027	2853	2172	681
L04202	3	-46,3695608	-23,6523401	2609	0,115	1,1583	3748	2868	880
L04203	35	-46,4372270	-23,6916086	2824	1,2394	13,5135	4135	3230	905
L04204	3	-46,3704210	-23,6836850	3245	0,0924	1,1583	4887	3590	1297
L04205	11	-46,4021856	-23,7287372	579	1,8998	4,2471	796	653	143
L04206	4	-46,3948722	-23,6796626	1069	0,3742	1,5444	1544	1208	336
L04207	4	-46,4045549	-23,6999970	1004	0,3984	1,5444	1388	1119	269
L04208	1	-46,3872488	-23,7039363	560	0,1786	0,3861	728	618	110
L04209	8	-46,4164611	-23,7063938	983	0,8138	3,0888	1540	1093	447
L04210	8	-46,4164611	-23,7063938	882	0,907	3,0888	1333	990	343
L04211	5	-46,3891285	-23,7184961	1588	0,3149	1,9305	2171	1750	421
L04213	4	-46,3960395	-23,6800620	710	0,5634	1,5444	930	783	147
L04214	1	-46,3475630	-23,6719567	919	0,1088	0,3861	1341	1037	304
L04215	12	-46,4139228	-23,7040963	1613	0,744	4,6332	2552	1785	767
L04216	2	-46,4089211	-23,7079720	537	0,3724	0,7722	913	601	312
L09380	8	-46,4103340	-23,7198310	651	1,2289	3,0888	952	735	217
L09381	9	-46,4248765	-23,7184978	1507	0,5972	3,4749	2236	1713	523
L09386	4	-46,4212925	-23,7163444	1693	0,2363	1,5444	2810	1893	917
L09387	3	-46,4459091	-23,7498986	1354	0,2216	1,1583	1935	1527	408
L09388	8	-46,4149600	-23,7212222	1955	0,4092	3,0888	3204	2191	1013
L09390	12	-46,4400229	-23,7505292	1997	0,6009	4,6332	2753	2209	544
L09394	3	-46,4169012	-23,7135811	996	0,3012	1,1583	1770	1107	663
L09397	6	-46,4225190	-23,7320150	2034	0,295	2,3166	2987	2278	709
L09404	4	-46,4168270	-23,7138590	1425	0,2807	1,5444	2604	1584	1020
