cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04189	3	-46,4253910	-23,7034609	1090	0,2752	5,1724	1508	1219	289
L04191	8	-46,4042130	-23,7107790	2528	0,3165	13,7931	4177	2799	1378
L04192	3	-46,4077570	-23,6996264	1318	0,2276	5,1724	1979	1470	509
L04195	3	-46,4333438	-23,7067628	1299	0,2309	5,1724	1750	1405	345
L04196	4	-46,3974190	-23,7075510	2194	0,1823	6,8966	3394	2445	949
L04197	1	-46,3898385	-23,6912630	4055	0,0247	1,7241	5826	4531	1295
L04198	2	-46,3692090	-23,6589453	1917	0,1043	3,4483	2704	2135	569
L04200	2	-46,4166922	-23,6842644	2149	0,0931	3,4483	3300	2549	751
L04201	1	-46,3601464	-23,6848485	1952	0,0512	1,7241	2853	2172	681
L04202	2	-46,3695608	-23,6523401	2609	0,0767	3,4483	3748	2868	880
L04206	1	-46,3948722	-23,6796626	1069	0,0935	1,7241	1544	1208	336
L04207	4	-46,4045549	-23,6999970	1004	0,3984	6,8966	1388	1119	269
L04209	1	-46,4164611	-23,7063938	983	0,1017	1,7241	1540	1093	447
L04210	1	-46,4164611	-23,7063938	882	0,1134	1,7241	1333	990	343
L04211	11	-46,3891285	-23,7184961	1588	0,6927	18,9655	2171	1750	421
L04214	1	-46,3475630	-23,6719567	919	0,1088	1,7241	1341	1037	304
L04215	1	-46,4139228	-23,7040963	1613	0,062	1,7241	2552	1785	767
L09381	1	-46,4248765	-23,7184978	1507	0,0664	1,7241	2236	1713	523
L09390	1	-46,4400229	-23,7505292	1997	0,0501	1,7241	2753	2209	544
L09394	3	-46,4169012	-23,7135811	996	0,3012	5,1724	1770	1107	663
L09397	3	-46,4225190	-23,7320150	2034	0,1475	5,1724	2987	2278	709
L09404	1	-46,4168270	-23,7138590	1425	0,0702	1,7241	2604	1584	1020
