cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04187	1	-46,4133491	-23,7109861	1336	0,0749	1,0753	2112	1500	612
L04188	1	-46,4315564	-23,6947299	2619	0,0382	1,0753	3820	3001	819
L04191	2	-46,4042130	-23,7107790	2528	0,0791	2,1505	4177	2799	1378
L04192	1	-46,4077570	-23,6996264	1318	0,0759	1,0753	1979	1470	509
L04193	5	-46,3922839	-23,6967820	1829	0,2734	5,3763	2560	2035	525
L04194	3	-46,3893940	-23,7115049	1843	0,1628	3,2258	2622	2066	556
L04197	1	-46,3898385	-23,6912630	4055	0,0247	1,0753	5826	4531	1295
L04198	2	-46,3692090	-23,6589453	1917	0,1043	2,1505	2704	2135	569
L04199	33	-46,3608767	-23,7080268	926	3,5637	35,4839	1291	1035	256
L04201	5	-46,3601464	-23,6848485	1952	0,2561	5,3763	2853	2172	681
L04202	2	-46,3695608	-23,6523401	2609	0,0767	2,1505	3748	2868	880
L04204	21	-46,3704210	-23,6836850	3245	0,6471	22,5806	4887	3590	1297
L04206	2	-46,3948722	-23,6796626	1069	0,1871	2,1505	1544	1208	336
L04213	1	-46,3960395	-23,6800620	710	0,1408	1,0753	930	783	147
L04214	2	-46,3475630	-23,6719567	919	0,2176	2,1505	1341	1037	304
L04216	1	-46,4089211	-23,7079720	537	0,1862	1,0753	913	601	312
L09381	1	-46,4248765	-23,7184978	1507	0,0664	1,0753	2236	1713	523
L09386	2	-46,4212925	-23,7163444	1693	0,1181	2,1505	2810	1893	917
L09388	5	-46,4149600	-23,7212222	1955	0,2558	5,3763	3204	2191	1013
L09390	1	-46,4400229	-23,7505292	1997	0,0501	1,0753	2753	2209	544
L09404	1	-46,4168270	-23,7138590	1425	0,0702	1,0753	2604	1584	1020
