cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04187	3	-46,4133491	-23,7109861	1336	0,2246	0,8	2112	1500	612
L04188	1	-46,4315564	-23,6947299	2619	0,0382	0,2667	3820	3001	819
L04189	5	-46,4253910	-23,7034609	1090	0,4587	1,3333	1508	1219	289
L04190	82	-46,4334859	-23,7066142	787	10,4193	21,8667	1080	890	190
L04191	12	-46,4042130	-23,7107790	2528	0,4747	3,2	4177	2799	1378
L04192	11	-46,4077570	-23,6996264	1318	0,8346	2,9333	1979	1470	509
L04193	11	-46,3922839	-23,6967820	1829	0,6014	2,9333	2560	2035	525
L04194	6	-46,3893940	-23,7115049	1843	0,3256	1,6	2622	2066	556
L04195	41	-46,4333438	-23,7067628	1299	3,1563	10,9333	1750	1405	345
L04196	8	-46,3974190	-23,7075510	2194	0,3646	2,1333	3394	2445	949
L04197	15	-46,3898385	-23,6912630	4055	0,3699	4,0	5826	4531	1295
L04198	8	-46,3692090	-23,6589453	1917	0,4173	2,1333	2704	2135	569
L04199	1	-46,3608767	-23,7080268	926	0,108	0,2667	1291	1035	256
L04200	12	-46,4166922	-23,6842644	2149	0,5584	3,2	3300	2549	751
L04201	5	-46,3601464	-23,6848485	1952	0,2561	1,3333	2853	2172	681
L04202	8	-46,3695608	-23,6523401	2609	0,3066	2,1333	3748	2868	880
L04203	4	-46,4372270	-23,6916086	2824	0,1416	1,0667	4135	3230	905
L04204	9	-46,3704210	-23,6836850	3245	0,2773	2,4	4887	3590	1297
L04205	2	-46,4021856	-23,7287372	579	0,3454	0,5333	796	653	143
L04206	1	-46,3948722	-23,6796626	1069	0,0935	0,2667	1544	1208	336
L04207	1	-46,4045549	-23,6999970	1004	0,0996	0,2667	1388	1119	269
L04208	4	-46,3872488	-23,7039363	560	0,7143	1,0667	728	618	110
L04209	4	-46,4164611	-23,7063938	983	0,4069	1,0667	1540	1093	447
L04210	3	-46,4164611	-23,7063938	882	0,3401	0,8	1333	990	343
L04211	12	-46,3891285	-23,7184961	1588	0,7557	3,2	2171	1750	421
L04212	4	-46,3734056	-23,6576942	184	2,1739	1,0667	251	204	47
L04213	1	-46,3960395	-23,6800620	710	0,1408	0,2667	930	783	147
L04214	3	-46,3475630	-23,6719567	919	0,3264	0,8	1341	1037	304
L04215	17	-46,4139228	-23,7040963	1613	1,0539	4,5333	2552	1785	767
L04216	2	-46,4089211	-23,7079720	537	0,3724	0,5333	913	601	312
L09380	2	-46,4103340	-23,7198310	651	0,3072	0,5333	952	735	217
L09381	18	-46,4248765	-23,7184978	1507	1,1944	4,8	2236	1713	523
L09386	17	-46,4212925	-23,7163444	1693	1,0041	4,5333	2810	1893	917
L09388	12	-46,4149600	-23,7212222	1955	0,6138	3,2	3204	2191	1013
L09390	1	-46,4400229	-23,7505292	1997	0,0501	0,2667	2753	2209	544
L09394	8	-46,4169012	-23,7135811	996	0,8032	2,1333	1770	1107	663
L09397	3	-46,4225190	-23,7320150	2034	0,1475	0,8	2987	2278	709
L09404	18	-46,4168270	-23,7138590	1425	1,2632	4,8	2604	1584	1020
