cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L02759	2	-46,2266205	-23,3098224	850	0,2353	3,5714	1251	939	312
L02761	2	-46,2141716	-23,3285823	1339	0,1494	3,5714	1979	1548	431
L02762	3	-46,2190937	-23,3137689	2399	0,1251	5,3571	3683	2649	1034
L02763	6	-46,2314288	-23,3235797	1647	0,3643	10,7143	2602	1830	772
L02764	1	-46,2154641	-23,3066696	1006	0,0994	1,7857	1480	1179	301
L02765	10	-46,2298002	-23,3203479	2483	0,4027	17,8571	3752	2708	1044
L02766	5	-46,2311470	-23,3108209	1367	0,3658	8,9286	1904	1519	385
L02767	1	-46,2304522	-23,3251491	2986	0,0335	1,7857	4467	3311	1156
L02768	2	-46,2299752	-23,3384336	1690	0,1183	3,5714	2302	1892	410
L02769	1	-46,2289310	-23,3190810	1107	0,0903	1,7857	1633	1257	376
L02770	2	-46,2169677	-23,3028955	1749	0,1144	3,5714	2646	2020	626
L02771	5	-46,2334449	-23,3163963	1370	0,365	8,9286	1946	1516	430
L02772	2	-46,2289178	-23,3105002	2052	0,0975	3,5714	2897	2275	622
L02773	9	-46,2337303	-23,3260627	2003	0,4493	16,0714	3140	2285	855
L02775	1	-46,2060042	-23,3144801	885	0,113	1,7857	1330	969	361
L02776	1	-46,2190937	-23,3137689	1348	0,0742	1,7857	1950	1498	452
L02778	2	-46,2195564	-23,3054865	1352	0,1479	3,5714	1981	1521	460
L02779	1	-46,2300165	-23,3206619	1015	0,0985	1,7857	1670	1126	544
