cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09509	4	-46,8787049	-23,4084473	1069	0,3742	5,4054	1461	1189	272
L09511	14	-46,8818690	-23,4104207	3552	0,3941	18,9189	4750	3850	900
L09515	1	-46,8589229	-23,4289764	2988	0,0335	1,3514	3966	3268	698
L09519	2	-46,8276545	-23,4319422	3246	0,0616	2,7027	4373	3521	852
L09523	3	-46,8949833	-23,4059415	4462	0,0672	4,0541	5803	4774	1029
L09524	6	-46,8908320	-23,4088358	2699	0,2223	8,1081	3567	2949	618
L09526	6	-46,8525275	-23,4223560	3550	0,169	8,1081	4773	3892	881
L09527	3	-46,8892924	-23,4057990	2438	0,1231	4,0541	3374	2585	789
L09530	25	-46,8750886	-23,4187938	1587	1,5753	33,7838	2118	1757	361
L09531	2	-46,9135403	-23,4456821	2823	0,0708	2,7027	4031	2988	1043
L09533	1	-46,8230108	-23,4274247	1741	0,0574	1,3514	2397	1936	461
L09565	7	-46,8769870	-23,4072540	2359	0,2967	9,4595	3177	2591	586
