cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03685	1	-46,5292770	-23,6590789	1497	0,0668	0,5208	2446	1722	724
L03689	1	-46,5269000	-23,6727000	4721	0,0212	0,5208	8875	5641	3234
L03690	1	-46,5349000	-23,6759000	2800	0,0357	0,5208	4922	3416	1506
L03691	1	-46,5232962	-23,6903498	4751	0,021	0,5208	8306	5804	2502
L03692	1	-46,5166000	-23,6822000	3427	0,0292	0,5208	6183	4059	2124
L03696	1	-46,5383930	-23,6678199	2770	0,0361	0,5208	4696	3280	1416
L03697	1	-46,5192583	-23,6775461	2074	0,0482	0,5208	3538	2436	1102
L03703	1	-46,5221959	-23,6903517	1807	0,0553	0,5208	2927	2201	726
L03706	1	-46,5375262	-23,6826839	1984	0,0504	0,5208	3161	2444	717
L06087	1	-46,4945307	-23,6267546	1193	0,0838	0,5208	1933	1521	412
L06090	2	-46,4918726	-23,6400932	1163	0,172	1,0417	1836	1430	406
L06092	1	-46,5111599	-23,6266900	1389	0,072	0,5208	2360	1740	620
L06094	2	-46,4922158	-23,6441023	3465	0,0577	1,0417	5423	4272	1151
L06097	2	-46,4879000	-23,6256000	1949	0,1026	1,0417	3518	2434	1084
L06099	1	-46,5013000	-23,6437000	2932	0,0341	0,5208	5134	3515	1619
L06100	1	-46,5073552	-23,6341587	2046	0,0489	0,5208	3860	2480	1380
L06101	1	-46,5080459	-23,6460779	2412	0,0415	0,5208	4120	2805	1315
L06105	2	-46,4917749	-23,6345261	2306	0,0867	1,0417	4035	2812	1223
L06108	1	-46,5064691	-23,6341241	2727	0,0367	0,5208	4421	3304	1117
L06109	1	-46,4972026	-23,6435472	2098	0,0477	0,5208	3350	2576	774
L06113	1	-46,5199072	-23,6443238	2466	0,0406	0,5208	3916	2946	970
L06115	2	-46,5227420	-23,6388599	2450	0,0816	1,0417	4038	2916	1122
L06117	1	-46,5148760	-23,6247890	1401	0,0714	0,5208	2380	1735	645
L06119	2	-46,5238040	-23,6164609	1658	0,1206	1,0417	2860	2020	840
L06122	1	-46,5294649	-23,6215610	3291	0,0304	0,5208	5646	4021	1625
L06124	1	-46,5339902	-23,6361724	1369	0,073	0,5208	2410	1698	712
L06126	3	-46,5387763	-23,6237507	2126	0,1411	1,5625	3636	2473	1163
L06127	1	-46,5285616	-23,6277749	1574	0,0635	0,5208	2562	1940	622
L06128	1	-46,5201280	-23,6293101	1403	0,0713	0,5208	2386	1681	705
L06132	6	-46,5148760	-23,6247890	2112	0,2841	3,125	3899	2603	1296
L06133	8	-46,5212740	-23,6295550	2702	0,2961	4,1667	4819	3349	1470
L07310	3	-46,5332450	-23,6511590	4444	0,0675	1,5625	7346	5196	2150
L07312	1	-46,5426561	-23,6522360	3356	0,0298	0,5208	5761	3920	1841
L07319	1	-46,5497609	-23,6732736	1939	0,0516	0,5208	3381	2449	932
L07327	1	-46,5575920	-23,6489274	1982	0,0505	0,5208	3346	2383	963
L07329	1	-46,5540119	-23,6613705	4886	0,0205	0,5208	8401	5789	2612
L07332	1	-46,5109420	-23,6774380	2689	0,0372	0,5208	4329	3216	1113
L07333	1	-46,5077074	-23,6863873	3250	0,0308	0,5208	5862	3988	1874
L07334	2	-46,5059879	-23,6939677	4009	0,0499	1,0417	7082	4878	2204
L07336	2	-46,5043984	-23,6903378	2918	0,0685	1,0417	4997	3464	1533
L07337	12	-46,5097000	-23,7133000	3747	0,3203	6,25	5839	4445	1394
L07338	3	-46,5020431	-23,7128793	1213	0,2473	1,5625	2003	1468	535
L07339	5	-46,5032712	-23,7132446	1804	0,2772	2,6042	3119	2185	934
L07340	2	-46,5113909	-23,6829130	2520	0,0794	1,0417	4213	3051	1162
L07342	6	-46,5122000	-23,7097000	4165	0,1441	3,125	6703	4962	1741
L07343	7	-46,5115057	-23,7042909	4097	0,1709	3,6458	6904	4968	1936
L07345	4	-46,5098318	-23,7066288	2903	0,1378	2,0833	4714	3555	1159
L07347	1	-46,5085417	-23,7119745	687	0,1456	0,5208	1216	820	396
L07349	1	-46,5172580	-23,6963450	3385	0,0295	0,5208	5412	4026	1386
L07350	2	-46,5129799	-23,6669307	2479	0,0807	1,0417	4853	2911	1942
L07351	1	-46,5101158	-23,6961781	217	0,4608	0,5208	343	260	83
L09406	8	-46,5014404	-23,7060406	1240	0,6452	4,1667	1973	1532	441
L09407	9	-46,5002559	-23,7125334	1201	0,7494	4,6875	1959	1446	513
L09409	2	-46,4982014	-23,6963427	1029	0,1944	1,0417	1583	1236	347
L09410	3	-46,4944917	-23,7423372	3615	0,083	1,5625	5500	4167	1333
L09412	1	-46,4974920	-23,6703999	2215	0,0451	0,5208	3680	2554	1126
L09413	1	-46,4941589	-23,6933187	4226	0,0237	0,5208	6822	5002	1820
L09414	3	-46,4915639	-23,6674570	3719	0,0807	1,5625	6180	4647	1533
L09415	5	-46,4982444	-23,7019928	2243	0,2229	2,6042	3410	2615	795
L09416	12	-46,5010249	-23,7061886	2916	0,4115	6,25	5036	3500	1536
L09417	22	-46,4969697	-23,7099379	3159	0,6964	11,4583	5055	3838	1217
L09418	4	-46,4874264	-23,7274119	2703	0,148	2,0833	4501	3294	1207
L09420	3	-46,5015388	-23,6971990	5154	0,0582	1,5625	8241	6026	2215
L09421	1	-46,4571000	-23,7598300	901	0,111	0,5208	1918	1357	561
L09422	1	-46,5017000	-23,6746000	2670	0,0375	0,5208	4570	3216	1354
L09427	1	-46,4796460	-23,7335140	1572	0,0636	0,5208	2714	2070	644
L09428	2	-46,4874189	-23,6700220	2398	0,0834	1,0417	3819	2922	897
L09429	1	-46,4936175	-23,7010656	1723	0,058	0,5208	2669	2066	603
L09430	1	-46,4955600	-23,6916613	1875	0,0533	0,5208	2904	2199	705
L09432	2	-46,5011458	-23,6641775	2021	0,099	1,0417	3184	2416	768
L09433	1	-46,4956959	-23,7399046	1815	0,0551	0,5208	2615	2077	538
L09434	1	-46,4882000	-23,6744950	1865	0,0536	0,5208	2931	2222	709
