cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	2	-46,5472926	-23,6613284	2642	0,0757	1,0638	4663	3132	1531
L03686	4	-46,5240382	-23,6623668	1796	0,2227	2,1277	2962	2115	847
L03688	2	-46,5308269	-23,6555940	2368	0,0845	1,0638	4436	2691	1745
L03689	3	-46,5269000	-23,6727000	4721	0,0635	1,5957	8875	5641	3234
L03690	2	-46,5349000	-23,6759000	2800	0,0714	1,0638	4922	3416	1506
L03691	4	-46,5232962	-23,6903498	4751	0,0842	2,1277	8306	5804	2502
L03692	2	-46,5166000	-23,6822000	3427	0,0584	1,0638	6183	4059	2124
L03693	1	-46,5251174	-23,6862552	2200	0,0455	0,5319	3900	2615	1285
L03694	1	-46,5264000	-23,6911000	2284	0,0438	0,5319	4037	2750	1287
L03695	1	-46,5313544	-23,6980846	1145	0,0873	0,5319	1844	1424	420
L03696	1	-46,5383930	-23,6678199	2770	0,0361	0,5319	4696	3280	1416
L03697	2	-46,5192583	-23,6775461	2074	0,0964	1,0638	3538	2436	1102
L03698	1	-46,5188129	-23,6615529	1958	0,0511	0,5319	3804	2310	1494
L03699	4	-46,5165000	-23,6898000	2367	0,169	2,1277	4273	2849	1424
L03701	1	-46,5265560	-23,6846650	1234	0,081	0,5319	1941	1470	471
L03702	2	-46,5364163	-23,6615619	4065	0,0492	1,0638	6875	4735	2140
L03708	1	-46,5241598	-23,6974643	1097	0,0912	0,5319	1758	1396	362
L03709	1	-46,5322814	-23,6683688	931	0,1074	0,5319	1490	1142	348
L03711	1	-46,5308067	-23,6974851	1132	0,0883	0,5319	1777	1452	325
L06088	1	-46,4942573	-23,6473472	1798	0,0556	0,5319	2822	2226	596
L06091	1	-46,5080122	-23,6465096	1035	0,0966	0,5319	1757	1283	474
L06092	2	-46,5111599	-23,6266900	1389	0,144	1,0638	2360	1740	620
L06094	1	-46,4922158	-23,6441023	3465	0,0289	0,5319	5423	4272	1151
L06098	6	-46,4994551	-23,6488793	3382	0,1774	3,1915	5474	3929	1545
L06099	1	-46,5013000	-23,6437000	2932	0,0341	0,5319	5134	3515	1619
L06101	1	-46,5080459	-23,6460779	2412	0,0415	0,5319	4120	2805	1315
L06102	2	-46,4923889	-23,6391620	2968	0,0674	1,0638	5079	3554	1525
L06103	1	-46,5252059	-23,6451453	1827	0,0547	0,5319	3558	2151	1407
L06104	1	-46,5014410	-23,6424999	2350	0,0426	0,5319	3801	2799	1002
L06106	1	-46,4968579	-23,6495890	902	0,1109	0,5319	1373	1093	280
L06107	1	-46,5037973	-23,6515281	2089	0,0479	0,5319	3096	2430	666
L06108	1	-46,5064691	-23,6341241	2727	0,0367	0,5319	4421	3304	1117
L06109	2	-46,4972026	-23,6435472	2098	0,0953	1,0638	3350	2576	774
L06112	1	-46,4919707	-23,6340482	1459	0,0685	0,5319	2370	1828	542
L06115	1	-46,5227420	-23,6388599	2450	0,0408	0,5319	4038	2916	1122
L06117	2	-46,5148760	-23,6247890	1401	0,1428	1,0638	2380	1735	645
L06119	1	-46,5238040	-23,6164609	1658	0,0603	0,5319	2860	2020	840
L06120	1	-46,5287000	-23,6418000	2220	0,045	0,5319	3930	2663	1267
L06121	1	-46,5368700	-23,6241300	4773	0,021	0,5319	8252	5753	2499
L06122	2	-46,5294649	-23,6215610	3291	0,0608	1,0638	5646	4021	1625
L06123	2	-46,5288114	-23,6203323	4008	0,0499	1,0638	7114	4935	2179
L06125	1	-46,5234738	-23,6251669	194	0,5155	0,5319	282	233	49
L06126	2	-46,5387763	-23,6237507	2126	0,0941	1,0638	3636	2473	1163
L06129	3	-46,5198409	-23,6221528	2533	0,1184	1,5957	4540	3136	1404
L06131	2	-46,5160440	-23,6343094	1609	0,1243	1,0638	2862	1955	907
L06132	1	-46,5148760	-23,6247890	2112	0,0473	0,5319	3899	2603	1296
L06133	1	-46,5212740	-23,6295550	2702	0,037	0,5319	4819	3349	1470
L06134	1	-46,5210260	-23,6332880	1926	0,0519	0,5319	3248	2365	883
L07310	1	-46,5332450	-23,6511590	4444	0,0225	0,5319	7346	5196	2150
L07311	1	-46,5446951	-23,6406770	4302	0,0232	0,5319	7489	5213	2276
L07312	1	-46,5426561	-23,6522360	3356	0,0298	0,5319	5761	3920	1841
L07313	1	-46,5430762	-23,6811036	2002	0,05	0,5319	3584	2414	1170
L07314	1	-46,5522500	-23,6783300	1845	0,0542	0,5319	3267	2198	1069
L07316	1	-46,5505332	-23,6617621	1092	0,0916	0,5319	1707	1315	392
L07317	1	-46,5483876	-23,6767556	3195	0,0313	0,5319	5641	3856	1785
L07318	2	-46,5615766	-23,6519061	3063	0,0653	1,0638	5693	3801	1892
L07319	2	-46,5497609	-23,6732736	1939	0,1031	1,0638	3381	2449	932
L07322	3	-46,5530360	-23,6482590	1960	0,1531	1,5957	3490	2398	1092
L07323	1	-46,5563889	-23,6524699	2149	0,0465	0,5319	3610	2622	988
L07324	2	-46,5484802	-23,6650650	1407	0,1421	1,0638	2222	1687	535
L07325	1	-46,5497200	-23,6764379	1703	0,0587	0,5319	3020	2077	943
L07329	3	-46,5540119	-23,6613705	4886	0,0614	1,5957	8401	5789	2612
L07332	2	-46,5109420	-23,6774380	2689	0,0744	1,0638	4329	3216	1113
L07333	1	-46,5077074	-23,6863873	3250	0,0308	0,5319	5862	3988	1874
L07334	3	-46,5059879	-23,6939677	4009	0,0748	1,5957	7082	4878	2204
L07335	1	-46,5109296	-23,6991859	2469	0,0405	0,5319	4072	2975	1097
L07336	1	-46,5043984	-23,6903378	2918	0,0343	0,5319	4997	3464	1533
L07337	2	-46,5097000	-23,7133000	3747	0,0534	1,0638	5839	4445	1394
L07339	2	-46,5032712	-23,7132446	1804	0,1109	1,0638	3119	2185	934
L07341	1	-46,5135165	-23,6985986	3886	0,0257	0,5319	6026	4526	1500
L07343	5	-46,5115057	-23,7042909	4097	0,122	2,6596	6904	4968	1936
L07344	4	-46,5069000	-23,6705000	2111	0,1895	2,1277	3784	2446	1338
L07345	1	-46,5098318	-23,7066288	2903	0,0344	0,5319	4714	3555	1159
L07346	1	-46,5134270	-23,6677330	1539	0,065	0,5319	2479	1826	653
L07349	2	-46,5172580	-23,6963450	3385	0,0591	1,0638	5412	4026	1386
L07350	2	-46,5129799	-23,6669307	2479	0,0807	1,0638	4853	2911	1942
L09406	1	-46,5014404	-23,7060406	1240	0,0806	0,5319	1973	1532	441
