cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L06088	2	-46,4942573	-23,6473472	1798	0,1112	2,5641	2822	2226	596
L06089	1	-46,4987173	-23,6329472	1945	0,0514	1,2821	3145	2384	761
L06090	1	-46,4918726	-23,6400932	1163	0,086	1,2821	1836	1430	406
L06092	4	-46,5111599	-23,6266900	1389	0,288	5,1282	2360	1740	620
L06093	6	-46,4972330	-23,6346420	2642	0,2271	7,6923	4659	3233	1426
L06094	1	-46,4922158	-23,6441023	3465	0,0289	1,2821	5423	4272	1151
L06095	3	-46,5015367	-23,6309869	2533	0,1184	3,8462	4558	3042	1516
L06096	1	-46,5184840	-23,6394570	2221	0,045	1,2821	4161	2678	1483
L06098	2	-46,4994551	-23,6488793	3382	0,0591	2,5641	5474	3929	1545
L06100	5	-46,5073552	-23,6341587	2046	0,2444	6,4103	3860	2480	1380
L06102	2	-46,4923889	-23,6391620	2968	0,0674	2,5641	5079	3554	1525
L06104	1	-46,5014410	-23,6424999	2350	0,0426	1,2821	3801	2799	1002
L06105	1	-46,4917749	-23,6345261	2306	0,0434	1,2821	4035	2812	1223
L06106	2	-46,4968579	-23,6495890	902	0,2217	2,5641	1373	1093	280
L06108	6	-46,5064691	-23,6341241	2727	0,22	7,6923	4421	3304	1117
L06116	1	-46,5226930	-23,6386110	1600	0,0625	1,2821	2714	1905	809
L06121	2	-46,5368700	-23,6241300	4773	0,0419	2,5641	8252	5753	2499
L06123	2	-46,5288114	-23,6203323	4008	0,0499	2,5641	7114	4935	2179
L06126	1	-46,5387763	-23,6237507	2126	0,047	1,2821	3636	2473	1163
L06127	2	-46,5285616	-23,6277749	1574	0,1271	2,5641	2562	1940	622
L06128	1	-46,5201280	-23,6293101	1403	0,0713	1,2821	2386	1681	705
L06130	1	-46,5282091	-23,6339736	2491	0,0401	1,2821	4243	3034	1209
L06131	1	-46,5160440	-23,6343094	1609	0,0622	1,2821	2862	1955	907
L06132	2	-46,5148760	-23,6247890	2112	0,0947	2,5641	3899	2603	1296
L06133	12	-46,5212740	-23,6295550	2702	0,4441	15,3846	4819	3349	1470
L06134	4	-46,5210260	-23,6332880	1926	0,2077	5,1282	3248	2365	883
L06136	1	-46,5186613	-23,6230737	2268	0,0441	1,2821	3803	2874	929
L07310	1	-46,5332450	-23,6511590	4444	0,0225	1,2821	7346	5196	2150
L07326	3	-46,5576078	-23,6563468	1738	0,1726	3,8462	2744	2019	725
L07342	2	-46,5122000	-23,7097000	4165	0,048	2,5641	6703	4962	1741
L09410	1	-46,4944917	-23,7423372	3615	0,0277	1,2821	5500	4167	1333
L09411	1	-46,5013444	-23,6779317	2496	0,0401	1,2821	3903	2934	969
L09413	1	-46,4941589	-23,6933187	4226	0,0237	1,2821	6822	5002	1820
L09420	1	-46,5015388	-23,6971990	5154	0,0194	1,2821	8241	6026	2215
