cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	1	-46,5472926	-23,6613284	2642	0,0379	0,1681	4663	3132	1531
L03688	2	-46,5308269	-23,6555940	2368	0,0845	0,3361	4436	2691	1745
L03690	1	-46,5349000	-23,6759000	2800	0,0357	0,1681	4922	3416	1506
L03695	1	-46,5313544	-23,6980846	1145	0,0873	0,1681	1844	1424	420
L03697	1	-46,5192583	-23,6775461	2074	0,0482	0,1681	3538	2436	1102
L03698	5	-46,5188129	-23,6615529	1958	0,2554	0,8403	3804	2310	1494
L03700	1	-46,5251147	-23,6739179	2882	0,0347	0,1681	4744	3451	1293
L06086	3	-46,5156392	-23,6505006	3074	0,0976	0,5042	4848	3702	1146
L06087	1	-46,4945307	-23,6267546	1193	0,0838	0,1681	1933	1521	412
L06088	23	-46,4942573	-23,6473472	1798	1,2792	3,8655	2822	2226	596
L06090	1	-46,4918726	-23,6400932	1163	0,086	0,1681	1836	1430	406
L06091	1	-46,5080122	-23,6465096	1035	0,0966	0,1681	1757	1283	474
L06092	3	-46,5111599	-23,6266900	1389	0,216	0,5042	2360	1740	620
L06094	13	-46,4922158	-23,6441023	3465	0,3752	2,1849	5423	4272	1151
L06096	2	-46,5184840	-23,6394570	2221	0,09	0,3361	4161	2678	1483
L06097	2	-46,4879000	-23,6256000	1949	0,1026	0,3361	3518	2434	1084
L06098	2	-46,4994551	-23,6488793	3382	0,0591	0,3361	5474	3929	1545
L06102	2	-46,4923889	-23,6391620	2968	0,0674	0,3361	5079	3554	1525
L06104	1	-46,5014410	-23,6424999	2350	0,0426	0,1681	3801	2799	1002
L06105	1	-46,4917749	-23,6345261	2306	0,0434	0,1681	4035	2812	1223
L06108	1	-46,5064691	-23,6341241	2727	0,0367	0,1681	4421	3304	1117
L06109	6	-46,4972026	-23,6435472	2098	0,286	1,0084	3350	2576	774
L06115	3	-46,5227420	-23,6388599	2450	0,1224	0,5042	4038	2916	1122
L06116	3	-46,5226930	-23,6386110	1600	0,1875	0,5042	2714	1905	809
L06117	3	-46,5148760	-23,6247890	1401	0,2141	0,5042	2380	1735	645
L06118	17	-46,5366400	-23,6365360	1259	1,3503	2,8571	2598	1505	1093
L06119	6	-46,5238040	-23,6164609	1658	0,3619	1,0084	2860	2020	840
L06120	1	-46,5287000	-23,6418000	2220	0,045	0,1681	3930	2663	1267
L06121	175	-46,5368700	-23,6241300	4773	3,6665	29,4118	8252	5753	2499
L06122	11	-46,5294649	-23,6215610	3291	0,3342	1,8487	5646	4021	1625
L06123	10	-46,5288114	-23,6203323	4008	0,2495	1,6807	7114	4935	2179
L06124	8	-46,5339902	-23,6361724	1369	0,5844	1,3445	2410	1698	712
L06126	212	-46,5387763	-23,6237507	2126	9,9718	35,6303	3636	2473	1163
L06127	12	-46,5285616	-23,6277749	1574	0,7624	2,0168	2562	1940	622
L06128	2	-46,5201280	-23,6293101	1403	0,1426	0,3361	2386	1681	705
L06129	3	-46,5198409	-23,6221528	2533	0,1184	0,5042	4540	3136	1404
L06130	2	-46,5282091	-23,6339736	2491	0,0803	0,3361	4243	3034	1209
L06131	1	-46,5160440	-23,6343094	1609	0,0622	0,1681	2862	1955	907
L06132	2	-46,5148760	-23,6247890	2112	0,0947	0,3361	3899	2603	1296
L06133	3	-46,5212740	-23,6295550	2702	0,111	0,5042	4819	3349	1470
L06134	2	-46,5210260	-23,6332880	1926	0,1038	0,3361	3248	2365	883
L06135	2	-46,5168228	-23,6340800	501	0,3992	0,3361	770	604	166
L06136	1	-46,5186613	-23,6230737	2268	0,0441	0,1681	3803	2874	929
L07310	5	-46,5332450	-23,6511590	4444	0,1125	0,8403	7346	5196	2150
L07311	6	-46,5446951	-23,6406770	4302	0,1395	1,0084	7489	5213	2276
L07313	1	-46,5430762	-23,6811036	2002	0,05	0,1681	3584	2414	1170
L07318	6	-46,5615766	-23,6519061	3063	0,1959	1,0084	5693	3801	1892
L07320	1	-46,5477273	-23,6651315	3005	0,0333	0,1681	5172	3606	1566
L07322	4	-46,5530360	-23,6482590	1960	0,2041	0,6723	3490	2398	1092
L07328	1	-46,5445125	-23,6543114	1654	0,0605	0,1681	3287	1970	1317
L07329	2	-46,5540119	-23,6613705	4886	0,0409	0,3361	8401	5789	2612
L07333	1	-46,5077074	-23,6863873	3250	0,0308	0,1681	5862	3988	1874
L07334	1	-46,5059879	-23,6939677	4009	0,0249	0,1681	7082	4878	2204
L07336	1	-46,5043984	-23,6903378	2918	0,0343	0,1681	4997	3464	1533
L07343	2	-46,5115057	-23,7042909	4097	0,0488	0,3361	6904	4968	1936
L07346	1	-46,5134270	-23,6677330	1539	0,065	0,1681	2479	1826	653
L09414	1	-46,4915639	-23,6674570	3719	0,0269	0,1681	6180	4647	1533
L09421	4	-46,4571000	-23,7598300	901	0,444	0,6723	1918	1357	561
L09422	2	-46,5017000	-23,6746000	2670	0,0749	0,3361	4570	3216	1354
L09423	1	-46,4852195	-23,6739363	1230	0,0813	0,1681	1934	1490	444
L09425	1	-46,4942373	-23,6786357	3164	0,0316	0,1681	4922	3787	1135
L09431	1	-46,5018766	-23,6701162	1686	0,0593	0,1681	2598	1971	627
