cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	22	-46,5472926	-23,6613284	2642	0,8327	0,4482	4663	3132	1531
L03685	63	-46,5292770	-23,6590789	1497	4,2084	1,2836	2446	1722	724
L03686	45	-46,5240382	-23,6623668	1796	2,5056	0,9169	2962	2115	847
L03687	17	-46,5245513	-23,6976196	1290	1,3178	0,3464	2113	1632	481
L03688	126	-46,5308269	-23,6555940	2368	5,3209	2,5672	4436	2691	1745
L03689	117	-46,5269000	-23,6727000	4721	2,4783	2,3839	8875	5641	3234
L03690	64	-46,5349000	-23,6759000	2800	2,2857	1,304	4922	3416	1506
L03691	66	-46,5232962	-23,6903498	4751	1,3892	1,3447	8306	5804	2502
L03692	57	-46,5166000	-23,6822000	3427	1,6633	1,1614	6183	4059	2124
L03693	25	-46,5251174	-23,6862552	2200	1,1364	0,5094	3900	2615	1285
L03694	22	-46,5264000	-23,6911000	2284	0,9632	0,4482	4037	2750	1287
L03695	16	-46,5313544	-23,6980846	1145	1,3974	0,326	1844	1424	420
L03696	112	-46,5383930	-23,6678199	2770	4,0433	2,282	4696	3280	1416
L03697	46	-46,5192583	-23,6775461	2074	2,2179	0,9372	3538	2436	1102
L03698	85	-46,5188129	-23,6615529	1958	4,3412	1,7319	3804	2310	1494
L03699	29	-46,5165000	-23,6898000	2367	1,2252	0,5909	4273	2849	1424
L03700	76	-46,5251147	-23,6739179	2882	2,6371	1,5485	4744	3451	1293
L03701	13	-46,5265560	-23,6846650	1234	1,0535	0,2649	1941	1470	471
L03702	175	-46,5364163	-23,6615619	4065	4,305	3,5656	6875	4735	2140
L03703	27	-46,5221959	-23,6903517	1807	1,4942	0,5501	2927	2201	726
L03704	11	-46,5170856	-23,6916018	722	1,5235	0,2241	1178	873	305
L03705	7	-46,5141937	-23,6853234	198	3,5354	0,1426	326	249	77
L03706	30	-46,5375262	-23,6826839	1984	1,5121	0,6112	3161	2444	717
L03707	3	-46,5272875	-23,6881245	385	0,7792	0,0611	589	471	118
L03708	12	-46,5241598	-23,6974643	1097	1,0939	0,2445	1758	1396	362
L03709	22	-46,5322814	-23,6683688	931	2,3631	0,4482	1490	1142	348
L03710	30	-46,5193267	-23,6763585	1242	2,4155	0,6112	2023	1502	521
L03711	19	-46,5308067	-23,6974851	1132	1,6784	0,3871	1777	1452	325
L03712	67	-46,5305110	-23,6599040	1797	3,7284	1,3651	3401	2072	1329
L06086	46	-46,5156392	-23,6505006	3074	1,4964	0,9372	4848	3702	1146
L06087	11	-46,4945307	-23,6267546	1193	0,922	0,2241	1933	1521	412
L06088	13	-46,4942573	-23,6473472	1798	0,723	0,2649	2822	2226	596
L06089	34	-46,4987173	-23,6329472	1945	1,7481	0,6927	3145	2384	761
L06090	13	-46,4918726	-23,6400932	1163	1,1178	0,2649	1836	1430	406
L06091	13	-46,5080122	-23,6465096	1035	1,256	0,2649	1757	1283	474
L06092	18	-46,5111599	-23,6266900	1389	1,2959	0,3667	2360	1740	620
L06093	20	-46,4972330	-23,6346420	2642	0,757	0,4075	4659	3233	1426
L06094	25	-46,4922158	-23,6441023	3465	0,7215	0,5094	5423	4272	1151
L06095	33	-46,5015367	-23,6309869	2533	1,3028	0,6724	4558	3042	1516
L06096	16	-46,5184840	-23,6394570	2221	0,7204	0,326	4161	2678	1483
L06097	13	-46,4879000	-23,6256000	1949	0,667	0,2649	3518	2434	1084
