cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	3	-46,5472926	-23,6613284	2642	0,1136	2,9126	4663	3132	1531
L03685	1	-46,5292770	-23,6590789	1497	0,0668	0,9709	2446	1722	724
L03686	3	-46,5240382	-23,6623668	1796	0,167	2,9126	2962	2115	847
L03688	1	-46,5308269	-23,6555940	2368	0,0422	0,9709	4436	2691	1745
L03689	3	-46,5269000	-23,6727000	4721	0,0635	2,9126	8875	5641	3234
L03692	2	-46,5166000	-23,6822000	3427	0,0584	1,9417	6183	4059	2124
L03696	1	-46,5383930	-23,6678199	2770	0,0361	0,9709	4696	3280	1416
L03697	2	-46,5192583	-23,6775461	2074	0,0964	1,9417	3538	2436	1102
L03698	2	-46,5188129	-23,6615529	1958	0,1021	1,9417	3804	2310	1494
L03701	2	-46,5265560	-23,6846650	1234	0,1621	1,9417	1941	1470	471
L03702	5	-46,5364163	-23,6615619	4065	0,123	4,8544	6875	4735	2140
L03706	2	-46,5375262	-23,6826839	1984	0,1008	1,9417	3161	2444	717
L03712	2	-46,5305110	-23,6599040	1797	0,1113	1,9417	3401	2072	1329
L06098	3	-46,4994551	-23,6488793	3382	0,0887	2,9126	5474	3929	1545
L06100	1	-46,5073552	-23,6341587	2046	0,0489	0,9709	3860	2480	1380
L06104	2	-46,5014410	-23,6424999	2350	0,0851	1,9417	3801	2799	1002
L06110	1	-46,5091100	-23,6477673	2188	0,0457	0,9709	3427	2564	863
L06118	1	-46,5366400	-23,6365360	1259	0,0794	0,9709	2598	1505	1093
L06121	3	-46,5368700	-23,6241300	4773	0,0629	2,9126	8252	5753	2499
L06127	1	-46,5285616	-23,6277749	1574	0,0635	0,9709	2562	1940	622
L06129	3	-46,5198409	-23,6221528	2533	0,1184	2,9126	4540	3136	1404
L06132	1	-46,5148760	-23,6247890	2112	0,0473	0,9709	3899	2603	1296
L07310	2	-46,5332450	-23,6511590	4444	0,045	1,9417	7346	5196	2150
L07311	9	-46,5446951	-23,6406770	4302	0,2092	8,7379	7489	5213	2276
L07312	2	-46,5426561	-23,6522360	3356	0,0596	1,9417	5761	3920	1841
L07313	2	-46,5430762	-23,6811036	2002	0,0999	1,9417	3584	2414	1170
L07314	5	-46,5522500	-23,6783300	1845	0,271	4,8544	3267	2198	1069
L07319	3	-46,5497609	-23,6732736	1939	0,1547	2,9126	3381	2449	932
L07320	4	-46,5477273	-23,6651315	3005	0,1331	3,8835	5172	3606	1566
L07321	5	-46,5462836	-23,6406202	3346	0,1494	4,8544	6048	4040	2008
L07322	2	-46,5530360	-23,6482590	1960	0,102	1,9417	3490	2398	1092
L07327	1	-46,5575920	-23,6489274	1982	0,0505	0,9709	3346	2383	963
L07332	1	-46,5109420	-23,6774380	2689	0,0372	0,9709	4329	3216	1113
L07333	2	-46,5077074	-23,6863873	3250	0,0615	1,9417	5862	3988	1874
L07334	2	-46,5059879	-23,6939677	4009	0,0499	1,9417	7082	4878	2204
L07335	2	-46,5109296	-23,6991859	2469	0,081	1,9417	4072	2975	1097
L07339	1	-46,5032712	-23,7132446	1804	0,0554	0,9709	3119	2185	934
L07343	1	-46,5115057	-23,7042909	4097	0,0244	0,9709	6904	4968	1936
L07344	2	-46,5069000	-23,6705000	2111	0,0947	1,9417	3784	2446	1338
L07345	1	-46,5098318	-23,7066288	2903	0,0344	0,9709	4714	3555	1159
L07349	1	-46,5172580	-23,6963450	3385	0,0295	0,9709	5412	4026	1386
L09408	1	-46,4999330	-23,6882180	683	0,1464	0,9709	1029	816	213
L09413	1	-46,4941589	-23,6933187	4226	0,0237	0,9709	6822	5002	1820
L09414	2	-46,4915639	-23,6674570	3719	0,0538	1,9417	6180	4647	1533
L09417	5	-46,4969697	-23,7099379	3159	0,1583	4,8544	5055	3838	1217
L09428	1	-46,4874189	-23,6700220	2398	0,0417	0,9709	3819	2922	897
