cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	1	-46,5472926	-23,6613284	2642	0,0379	3,4483	4663	3132	1531
L03689	1	-46,5269000	-23,6727000	4721	0,0212	3,4483	8875	5641	3234
L03690	1	-46,5349000	-23,6759000	2800	0,0357	3,4483	4922	3416	1506
L03691	1	-46,5232962	-23,6903498	4751	0,021	3,4483	8306	5804	2502
L03692	1	-46,5166000	-23,6822000	3427	0,0292	3,4483	6183	4059	2124
L03698	1	-46,5188129	-23,6615529	1958	0,0511	3,4483	3804	2310	1494
L06091	1	-46,5080122	-23,6465096	1035	0,0966	3,4483	1757	1283	474
L06098	1	-46,4994551	-23,6488793	3382	0,0296	3,4483	5474	3929	1545
L06099	1	-46,5013000	-23,6437000	2932	0,0341	3,4483	5134	3515	1619
L06101	3	-46,5080459	-23,6460779	2412	0,1244	10,3448	4120	2805	1315
L06103	1	-46,5252059	-23,6451453	1827	0,0547	3,4483	3558	2151	1407
L06110	2	-46,5091100	-23,6477673	2188	0,0914	6,8966	3427	2564	863
L07315	1	-46,5453296	-23,6559683	1744	0,0573	3,4483	3299	2078	1221
L07317	1	-46,5483876	-23,6767556	3195	0,0313	3,4483	5641	3856	1785
L07320	1	-46,5477273	-23,6651315	3005	0,0333	3,4483	5172	3606	1566
L07326	1	-46,5576078	-23,6563468	1738	0,0575	3,4483	2744	2019	725
L07333	1	-46,5077074	-23,6863873	3250	0,0308	3,4483	5862	3988	1874
L07338	1	-46,5020431	-23,7128793	1213	0,0824	3,4483	2003	1468	535
L07348	2	-46,5095749	-23,6900581	1109	0,1803	6,8966	1821	1358	463
L09416	1	-46,5010249	-23,7061886	2916	0,0343	3,4483	5036	3500	1536
L09417	2	-46,4969697	-23,7099379	3159	0,0633	6,8966	5055	3838	1217
L09418	3	-46,4874264	-23,7274119	2703	0,111	10,3448	4501	3294	1207
