cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03689	1	-46,5269000	-23,6727000	4721	0,0212	1,0638	8875	5641	3234
L03690	1	-46,5349000	-23,6759000	2800	0,0357	1,0638	4922	3416	1506
L03691	1	-46,5232962	-23,6903498	4751	0,021	1,0638	8306	5804	2502
L03692	7	-46,5166000	-23,6822000	3427	0,2043	7,4468	6183	4059	2124
L03696	2	-46,5383930	-23,6678199	2770	0,0722	2,1277	4696	3280	1416
L03698	1	-46,5188129	-23,6615529	1958	0,0511	1,0638	3804	2310	1494
L03699	1	-46,5165000	-23,6898000	2367	0,0422	1,0638	4273	2849	1424
L03711	1	-46,5308067	-23,6974851	1132	0,0883	1,0638	1777	1452	325
L06086	1	-46,5156392	-23,6505006	3074	0,0325	1,0638	4848	3702	1146
L06089	1	-46,4987173	-23,6329472	1945	0,0514	1,0638	3145	2384	761
L06092	2	-46,5111599	-23,6266900	1389	0,144	2,1277	2360	1740	620
L06094	1	-46,4922158	-23,6441023	3465	0,0289	1,0638	5423	4272	1151
L06095	1	-46,5015367	-23,6309869	2533	0,0395	1,0638	4558	3042	1516
L06097	1	-46,4879000	-23,6256000	1949	0,0513	1,0638	3518	2434	1084
L06098	2	-46,4994551	-23,6488793	3382	0,0591	2,1277	5474	3929	1545
L06102	1	-46,4923889	-23,6391620	2968	0,0337	1,0638	5079	3554	1525
L06106	1	-46,4968579	-23,6495890	902	0,1109	1,0638	1373	1093	280
L06108	1	-46,5064691	-23,6341241	2727	0,0367	1,0638	4421	3304	1117
L06109	1	-46,4972026	-23,6435472	2098	0,0477	1,0638	3350	2576	774
L06121	1	-46,5368700	-23,6241300	4773	0,021	1,0638	8252	5753	2499
L06126	1	-46,5387763	-23,6237507	2126	0,047	1,0638	3636	2473	1163
L06131	1	-46,5160440	-23,6343094	1609	0,0622	1,0638	2862	1955	907
L06134	1	-46,5210260	-23,6332880	1926	0,0519	1,0638	3248	2365	883
L07310	3	-46,5332450	-23,6511590	4444	0,0675	3,1915	7346	5196	2150
L07315	1	-46,5453296	-23,6559683	1744	0,0573	1,0638	3299	2078	1221
L07317	2	-46,5483876	-23,6767556	3195	0,0626	2,1277	5641	3856	1785
L07318	1	-46,5615766	-23,6519061	3063	0,0326	1,0638	5693	3801	1892
L07323	1	-46,5563889	-23,6524699	2149	0,0465	1,0638	3610	2622	988
L07326	1	-46,5576078	-23,6563468	1738	0,0575	1,0638	2744	2019	725
L07332	1	-46,5109420	-23,6774380	2689	0,0372	1,0638	4329	3216	1113
L07333	11	-46,5077074	-23,6863873	3250	0,3385	11,7021	5862	3988	1874
L07334	6	-46,5059879	-23,6939677	4009	0,1497	6,383	7082	4878	2204
L07335	4	-46,5109296	-23,6991859	2469	0,162	4,2553	4072	2975	1097
L07336	3	-46,5043984	-23,6903378	2918	0,1028	3,1915	4997	3464	1533
L07340	4	-46,5113909	-23,6829130	2520	0,1587	4,2553	4213	3051	1162
L07342	1	-46,5122000	-23,7097000	4165	0,024	1,0638	6703	4962	1741
L07343	3	-46,5115057	-23,7042909	4097	0,0732	3,1915	6904	4968	1936
L07344	3	-46,5069000	-23,6705000	2111	0,1421	3,1915	3784	2446	1338
L07345	2	-46,5098318	-23,7066288	2903	0,0689	2,1277	4714	3555	1159
L07348	2	-46,5095749	-23,6900581	1109	0,1803	2,1277	1821	1358	463
L07351	1	-46,5101158	-23,6961781	217	0,4608	1,0638	343	260	83
L09409	1	-46,4982014	-23,6963427	1029	0,0972	1,0638	1583	1236	347
L09411	1	-46,5013444	-23,6779317	2496	0,0401	1,0638	3903	2934	969
L09416	1	-46,5010249	-23,7061886	2916	0,0343	1,0638	5036	3500	1536
L09417	1	-46,4969697	-23,7099379	3159	0,0317	1,0638	5055	3838	1217
L09418	2	-46,4874264	-23,7274119	2703	0,074	2,1277	4501	3294	1207
L09419	1	-46,4910779	-23,6674979	2616	0,0382	1,0638	4359	3130	1229
L09420	1	-46,5015388	-23,6971990	5154	0,0194	1,0638	8241	6026	2215
L09421	1	-46,4571000	-23,7598300	901	0,111	1,0638	1918	1357	561
L09429	1	-46,4936175	-23,7010656	1723	0,058	1,0638	2669	2066	603
L09432	1	-46,5011458	-23,6641775	2021	0,0495	1,0638	3184	2416	768
L09434	1	-46,4882000	-23,6744950	1865	0,0536	1,0638	2931	2222	709
