cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	15	-46,5472926	-23,6613284	2642	0,5678	2,0161	4663	3132	1531
L03685	3	-46,5292770	-23,6590789	1497	0,2004	0,4032	2446	1722	724
L03686	2	-46,5240382	-23,6623668	1796	0,1114	0,2688	2962	2115	847
L03687	8	-46,5245513	-23,6976196	1290	0,6202	1,0753	2113	1632	481
L03688	3	-46,5308269	-23,6555940	2368	0,1267	0,4032	4436	2691	1745
L03689	10	-46,5269000	-23,6727000	4721	0,2118	1,3441	8875	5641	3234
L03690	1	-46,5349000	-23,6759000	2800	0,0357	0,1344	4922	3416	1506
L03691	27	-46,5232962	-23,6903498	4751	0,5683	3,629	8306	5804	2502
L03692	30	-46,5166000	-23,6822000	3427	0,8754	4,0323	6183	4059	2124
L03693	13	-46,5251174	-23,6862552	2200	0,5909	1,7473	3900	2615	1285
L03694	6	-46,5264000	-23,6911000	2284	0,2627	0,8065	4037	2750	1287
L03695	6	-46,5313544	-23,6980846	1145	0,524	0,8065	1844	1424	420
L03696	3	-46,5383930	-23,6678199	2770	0,1083	0,4032	4696	3280	1416
L03697	3	-46,5192583	-23,6775461	2074	0,1446	0,4032	3538	2436	1102
L03698	1	-46,5188129	-23,6615529	1958	0,0511	0,1344	3804	2310	1494
L03699	25	-46,5165000	-23,6898000	2367	1,0562	3,3602	4273	2849	1424
L03700	4	-46,5251147	-23,6739179	2882	0,1388	0,5376	4744	3451	1293
L03701	6	-46,5265560	-23,6846650	1234	0,4862	0,8065	1941	1470	471
L03703	9	-46,5221959	-23,6903517	1807	0,4981	1,2097	2927	2201	726
L03704	15	-46,5170856	-23,6916018	722	2,0776	2,0161	1178	873	305
L03706	1	-46,5375262	-23,6826839	1984	0,0504	0,1344	3161	2444	717
L03707	3	-46,5272875	-23,6881245	385	0,7792	0,4032	589	471	118
L03708	4	-46,5241598	-23,6974643	1097	0,3646	0,5376	1758	1396	362
L03709	1	-46,5322814	-23,6683688	931	0,1074	0,1344	1490	1142	348
L03710	2	-46,5193267	-23,6763585	1242	0,161	0,2688	2023	1502	521
L03711	1	-46,5308067	-23,6974851	1132	0,0883	0,1344	1777	1452	325
L06086	1	-46,5156392	-23,6505006	3074	0,0325	0,1344	4848	3702	1146
L06087	1	-46,4945307	-23,6267546	1193	0,0838	0,1344	1933	1521	412
L06088	1	-46,4942573	-23,6473472	1798	0,0556	0,1344	2822	2226	596
L06090	1	-46,4918726	-23,6400932	1163	0,086	0,1344	1836	1430	406
L06091	4	-46,5080122	-23,6465096	1035	0,3865	0,5376	1757	1283	474
L06092	1	-46,5111599	-23,6266900	1389	0,072	0,1344	2360	1740	620
L06093	1	-46,4972330	-23,6346420	2642	0,0379	0,1344	4659	3233	1426
L06095	2	-46,5015367	-23,6309869	2533	0,079	0,2688	4558	3042	1516
L06096	1	-46,5184840	-23,6394570	2221	0,045	0,1344	4161	2678	1483
L06097	5	-46,4879000	-23,6256000	1949	0,2565	0,672	3518	2434	1084
L06098	11	-46,4994551	-23,6488793	3382	0,3253	1,4785	5474	3929	1545
L06100	1	-46,5073552	-23,6341587	2046	0,0489	0,1344	3860	2480	1380
L06101	2	-46,5080459	-23,6460779	2412	0,0829	0,2688	4120	2805	1315
L06102	8	-46,4923889	-23,6391620	2968	0,2695	1,0753	5079	3554	1525
L06103	1	-46,5252059	-23,6451453	1827	0,0547	0,1344	3558	2151	1407
L06105	9	-46,4917749	-23,6345261	2306	0,3903	1,2097	4035	2812	1223
L06106	5	-46,4968579	-23,6495890	902	0,5543	0,672	1373	1093	280
L06107	8	-46,5037973	-23,6515281	2089	0,383	1,0753	3096	2430	666
L06108	1	-46,5064691	-23,6341241	2727	0,0367	0,1344	4421	3304	1117
L06109	7	-46,4972026	-23,6435472	2098	0,3337	0,9409	3350	2576	774
L06110	4	-46,5091100	-23,6477673	2188	0,1828	0,5376	3427	2564	863
L06111	3	-46,5165549	-23,6443203	2435	0,1232	0,4032	4294	2858	1436
L06112	3	-46,4919707	-23,6340482	1459	0,2056	0,4032	2370	1828	542
L06113	4	-46,5199072	-23,6443238	2466	0,1622	0,5376	3916	2946	970
L06115	3	-46,5227420	-23,6388599	2450	0,1224	0,4032	4038	2916	1122
L06116	2	-46,5226930	-23,6386110	1600	0,125	0,2688	2714	1905	809
L06117	1	-46,5148760	-23,6247890	1401	0,0714	0,1344	2380	1735	645
L06119	1	-46,5238040	-23,6164609	1658	0,0603	0,1344	2860	2020	840
L06121	1	-46,5368700	-23,6241300	4773	0,021	0,1344	8252	5753	2499
L06122	1	-46,5294649	-23,6215610	3291	0,0304	0,1344	5646	4021	1625
L06128	1	-46,5201280	-23,6293101	1403	0,0713	0,1344	2386	1681	705
L06129	2	-46,5198409	-23,6221528	2533	0,079	0,2688	4540	3136	1404
L06132	4	-46,5148760	-23,6247890	2112	0,1894	0,5376	3899	2603	1296
L06133	1	-46,5212740	-23,6295550	2702	0,037	0,1344	4819	3349	1470
L06134	2	-46,5210260	-23,6332880	1926	0,1038	0,2688	3248	2365	883
L06136	3	-46,5186613	-23,6230737	2268	0,1323	0,4032	3803	2874	929
L07310	2	-46,5332450	-23,6511590	4444	0,045	0,2688	7346	5196	2150
L07311	4	-46,5446951	-23,6406770	4302	0,093	0,5376	7489	5213	2276
L07315	2	-46,5453296	-23,6559683	1744	0,1147	0,2688	3299	2078	1221
L07317	1	-46,5483876	-23,6767556	3195	0,0313	0,1344	5641	3856	1785
L07318	1	-46,5615766	-23,6519061	3063	0,0326	0,1344	5693	3801	1892
L07319	3	-46,5497609	-23,6732736	1939	0,1547	0,4032	3381	2449	932
L07320	5	-46,5477273	-23,6651315	3005	0,1664	0,672	5172	3606	1566
L07321	3	-46,5462836	-23,6406202	3346	0,0897	0,4032	6048	4040	2008
L07322	2	-46,5530360	-23,6482590	1960	0,102	0,2688	3490	2398	1092
L07323	4	-46,5563889	-23,6524699	2149	0,1861	0,5376	3610	2622	988
L07325	4	-46,5497200	-23,6764379	1703	0,2349	0,5376	3020	2077	943
L07327	3	-46,5575920	-23,6489274	1982	0,1514	0,4032	3346	2383	963
L07329	1	-46,5540119	-23,6613705	4886	0,0205	0,1344	8401	5789	2612
L07332	9	-46,5109420	-23,6774380	2689	0,3347	1,2097	4329	3216	1113
L07333	6	-46,5077074	-23,6863873	3250	0,1846	0,8065	5862	3988	1874
L07334	12	-46,5059879	-23,6939677	4009	0,2993	1,6129	7082	4878	2204
L07335	6	-46,5109296	-23,6991859	2469	0,243	0,8065	4072	2975	1097
L07336	17	-46,5043984	-23,6903378	2918	0,5826	2,2849	4997	3464	1533
L07337	12	-46,5097000	-23,7133000	3747	0,3203	1,6129	5839	4445	1394
L07338	1	-46,5020431	-23,7128793	1213	0,0824	0,1344	2003	1468	535
L07340	14	-46,5113909	-23,6829130	2520	0,5556	1,8817	4213	3051	1162
L07341	52	-46,5135165	-23,6985986	3886	1,3381	6,9892	6026	4526	1500
L07342	13	-46,5122000	-23,7097000	4165	0,3121	1,7473	6703	4962	1741
L07343	14	-46,5115057	-23,7042909	4097	0,3417	1,8817	6904	4968	1936
L07344	2	-46,5069000	-23,6705000	2111	0,0947	0,2688	3784	2446	1338
L07345	6	-46,5098318	-23,7066288	2903	0,2067	0,8065	4714	3555	1159
L07346	1	-46,5134270	-23,6677330	1539	0,065	0,1344	2479	1826	653
L07347	1	-46,5085417	-23,7119745	687	0,1456	0,1344	1216	820	396
L07348	16	-46,5095749	-23,6900581	1109	1,4427	2,1505	1821	1358	463
L07349	70	-46,5172580	-23,6963450	3385	2,0679	9,4086	5412	4026	1386
L07350	6	-46,5129799	-23,6669307	2479	0,242	0,8065	4853	2911	1942
L07351	1	-46,5101158	-23,6961781	217	0,4608	0,1344	343	260	83
L09406	6	-46,5014404	-23,7060406	1240	0,4839	0,8065	1973	1532	441
L09407	1	-46,5002559	-23,7125334	1201	0,0833	0,1344	1959	1446	513
L09408	1	-46,4999330	-23,6882180	683	0,1464	0,1344	1029	816	213
L09409	1	-46,4982014	-23,6963427	1029	0,0972	0,1344	1583	1236	347
L09410	7	-46,4944917	-23,7423372	3615	0,1936	0,9409	5500	4167	1333
L09411	2	-46,5013444	-23,6779317	2496	0,0801	0,2688	3903	2934	969
L09412	2	-46,4974920	-23,6703999	2215	0,0903	0,2688	3680	2554	1126
L09413	13	-46,4941589	-23,6933187	4226	0,3076	1,7473	6822	5002	1820
L09414	7	-46,4915639	-23,6674570	3719	0,1882	0,9409	6180	4647	1533
L09415	3	-46,4982444	-23,7019928	2243	0,1337	0,4032	3410	2615	795
L09416	4	-46,5010249	-23,7061886	2916	0,1372	0,5376	5036	3500	1536
L09417	6	-46,4969697	-23,7099379	3159	0,1899	0,8065	5055	3838	1217
L09418	11	-46,4874264	-23,7274119	2703	0,407	1,4785	4501	3294	1207
L09419	6	-46,4910779	-23,6674979	2616	0,2294	0,8065	4359	3130	1229
L09420	8	-46,5015388	-23,6971990	5154	0,1552	1,0753	8241	6026	2215
L09421	2	-46,4571000	-23,7598300	901	0,222	0,2688	1918	1357	561
L09422	10	-46,5017000	-23,6746000	2670	0,3745	1,3441	4570	3216	1354
L09423	2	-46,4852195	-23,6739363	1230	0,1626	0,2688	1934	1490	444
L09424	4	-46,4983968	-23,6853445	2965	0,1349	0,5376	4929	3490	1439
L09425	6	-46,4942373	-23,6786357	3164	0,1896	0,8065	4922	3787	1135
L09426	2	-46,4925756	-23,6731443	1054	0,1898	0,2688	1529	1240	289
L09427	8	-46,4796460	-23,7335140	1572	0,5089	1,0753	2714	2070	644
L09428	5	-46,4874189	-23,6700220	2398	0,2085	0,672	3819	2922	897
L09430	6	-46,4955600	-23,6916613	1875	0,32	0,8065	2904	2199	705
L09431	4	-46,5018766	-23,6701162	1686	0,2372	0,5376	2598	1971	627
L09432	6	-46,5011458	-23,6641775	2021	0,2969	0,8065	3184	2416	768
L09434	5	-46,4882000	-23,6744950	1865	0,2681	0,672	2931	2222	709
L09436	3	-46,5048938	-23,6752093	1135	0,2643	0,4032	1714	1326	388
