cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03686	2	-46,5240382	-23,6623668	1796	0,1114	2,1739	2962	2115	847
L03688	2	-46,5308269	-23,6555940	2368	0,0845	2,1739	4436	2691	1745
L03691	1	-46,5232962	-23,6903498	4751	0,021	1,087	8306	5804	2502
L03696	4	-46,5383930	-23,6678199	2770	0,1444	4,3478	4696	3280	1416
L03697	1	-46,5192583	-23,6775461	2074	0,0482	1,087	3538	2436	1102
L03702	1	-46,5364163	-23,6615619	4065	0,0246	1,087	6875	4735	2140
L03712	2	-46,5305110	-23,6599040	1797	0,1113	2,1739	3401	2072	1329
L06087	4	-46,4945307	-23,6267546	1193	0,3353	4,3478	1933	1521	412
L06092	3	-46,5111599	-23,6266900	1389	0,216	3,2609	2360	1740	620
L06093	1	-46,4972330	-23,6346420	2642	0,0379	1,087	4659	3233	1426
L06094	1	-46,4922158	-23,6441023	3465	0,0289	1,087	5423	4272	1151
L06095	1	-46,5015367	-23,6309869	2533	0,0395	1,087	4558	3042	1516
L06096	2	-46,5184840	-23,6394570	2221	0,09	2,1739	4161	2678	1483
L06097	2	-46,4879000	-23,6256000	1949	0,1026	2,1739	3518	2434	1084
L06099	1	-46,5013000	-23,6437000	2932	0,0341	1,087	5134	3515	1619
L06100	1	-46,5073552	-23,6341587	2046	0,0489	1,087	3860	2480	1380
L06101	1	-46,5080459	-23,6460779	2412	0,0415	1,087	4120	2805	1315
L06103	2	-46,5252059	-23,6451453	1827	0,1095	2,1739	3558	2151	1407
L06104	1	-46,5014410	-23,6424999	2350	0,0426	1,087	3801	2799	1002
L06109	1	-46,4972026	-23,6435472	2098	0,0477	1,087	3350	2576	774
L06110	3	-46,5091100	-23,6477673	2188	0,1371	3,2609	3427	2564	863
L06112	1	-46,4919707	-23,6340482	1459	0,0685	1,087	2370	1828	542
L06115	2	-46,5227420	-23,6388599	2450	0,0816	2,1739	4038	2916	1122
L06116	2	-46,5226930	-23,6386110	1600	0,125	2,1739	2714	1905	809
L06119	1	-46,5238040	-23,6164609	1658	0,0603	1,087	2860	2020	840
L06121	3	-46,5368700	-23,6241300	4773	0,0629	3,2609	8252	5753	2499
L06125	1	-46,5234738	-23,6251669	194	0,5155	1,087	282	233	49
L06129	1	-46,5198409	-23,6221528	2533	0,0395	1,087	4540	3136	1404
L06131	2	-46,5160440	-23,6343094	1609	0,1243	2,1739	2862	1955	907
L06132	1	-46,5148760	-23,6247890	2112	0,0473	1,087	3899	2603	1296
L06134	2	-46,5210260	-23,6332880	1926	0,1038	2,1739	3248	2365	883
L06136	3	-46,5186613	-23,6230737	2268	0,1323	3,2609	3803	2874	929
L07310	2	-46,5332450	-23,6511590	4444	0,045	2,1739	7346	5196	2150
L07311	2	-46,5446951	-23,6406770	4302	0,0465	2,1739	7489	5213	2276
L07315	2	-46,5453296	-23,6559683	1744	0,1147	2,1739	3299	2078	1221
L07317	1	-46,5483876	-23,6767556	3195	0,0313	1,087	5641	3856	1785
L07318	1	-46,5615766	-23,6519061	3063	0,0326	1,087	5693	3801	1892
L07320	3	-46,5477273	-23,6651315	3005	0,0998	3,2609	5172	3606	1566
L07328	3	-46,5445125	-23,6543114	1654	0,1814	3,2609	3287	1970	1317
L07329	4	-46,5540119	-23,6613705	4886	0,0819	4,3478	8401	5789	2612
L07333	1	-46,5077074	-23,6863873	3250	0,0308	1,087	5862	3988	1874
L07334	1	-46,5059879	-23,6939677	4009	0,0249	1,087	7082	4878	2204
L07335	1	-46,5109296	-23,6991859	2469	0,0405	1,087	4072	2975	1097
L07342	1	-46,5122000	-23,7097000	4165	0,024	1,087	6703	4962	1741
L09410	1	-46,4944917	-23,7423372	3615	0,0277	1,087	5500	4167	1333
L09413	3	-46,4941589	-23,6933187	4226	0,071	3,2609	6822	5002	1820
L09418	2	-46,4874264	-23,7274119	2703	0,074	2,1739	4501	3294	1207
L09419	1	-46,4910779	-23,6674979	2616	0,0382	1,087	4359	3130	1229
L09424	2	-46,4983968	-23,6853445	2965	0,0675	2,1739	4929	3490	1439
L09428	2	-46,4874189	-23,6700220	2398	0,0834	2,1739	3819	2922	897
L09433	2	-46,4956959	-23,7399046	1815	0,1102	2,1739	2615	2077	538
L09434	1	-46,4882000	-23,6744950	1865	0,0536	1,087	2931	2222	709
