cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03686	2	-46,5240382	-23,6623668	1796	0,1114	1,5748	2962	2115	847
L03687	2	-46,5245513	-23,6976196	1290	0,155	1,5748	2113	1632	481
L03688	4	-46,5308269	-23,6555940	2368	0,1689	3,1496	4436	2691	1745
L03690	2	-46,5349000	-23,6759000	2800	0,0714	1,5748	4922	3416	1506
L03691	1	-46,5232962	-23,6903498	4751	0,021	0,7874	8306	5804	2502
L03692	1	-46,5166000	-23,6822000	3427	0,0292	0,7874	6183	4059	2124
L03698	4	-46,5188129	-23,6615529	1958	0,2043	3,1496	3804	2310	1494
L03699	2	-46,5165000	-23,6898000	2367	0,0845	1,5748	4273	2849	1424
L03702	3	-46,5364163	-23,6615619	4065	0,0738	2,3622	6875	4735	2140
L03706	1	-46,5375262	-23,6826839	1984	0,0504	0,7874	3161	2444	717
L03708	2	-46,5241598	-23,6974643	1097	0,1823	1,5748	1758	1396	362
L03712	1	-46,5305110	-23,6599040	1797	0,0556	0,7874	3401	2072	1329
L06086	3	-46,5156392	-23,6505006	3074	0,0976	2,3622	4848	3702	1146
L06087	2	-46,4945307	-23,6267546	1193	0,1676	1,5748	1933	1521	412
L06090	2	-46,4918726	-23,6400932	1163	0,172	1,5748	1836	1430	406
L06095	3	-46,5015367	-23,6309869	2533	0,1184	2,3622	4558	3042	1516
L06096	2	-46,5184840	-23,6394570	2221	0,09	1,5748	4161	2678	1483
L06097	4	-46,4879000	-23,6256000	1949	0,2052	3,1496	3518	2434	1084
L06098	1	-46,4994551	-23,6488793	3382	0,0296	0,7874	5474	3929	1545
L06099	2	-46,5013000	-23,6437000	2932	0,0682	1,5748	5134	3515	1619
L06100	1	-46,5073552	-23,6341587	2046	0,0489	0,7874	3860	2480	1380
L06101	2	-46,5080459	-23,6460779	2412	0,0829	1,5748	4120	2805	1315
L06104	1	-46,5014410	-23,6424999	2350	0,0426	0,7874	3801	2799	1002
L06105	4	-46,4917749	-23,6345261	2306	0,1735	3,1496	4035	2812	1223
L06108	1	-46,5064691	-23,6341241	2727	0,0367	0,7874	4421	3304	1117
L06109	1	-46,4972026	-23,6435472	2098	0,0477	0,7874	3350	2576	774
L06111	3	-46,5165549	-23,6443203	2435	0,1232	2,3622	4294	2858	1436
L06112	1	-46,4919707	-23,6340482	1459	0,0685	0,7874	2370	1828	542
L06113	2	-46,5199072	-23,6443238	2466	0,0811	1,5748	3916	2946	970
L06115	1	-46,5227420	-23,6388599	2450	0,0408	0,7874	4038	2916	1122
L06117	1	-46,5148760	-23,6247890	1401	0,0714	0,7874	2380	1735	645
L06120	4	-46,5287000	-23,6418000	2220	0,1802	3,1496	3930	2663	1267
L06121	1	-46,5368700	-23,6241300	4773	0,021	0,7874	8252	5753	2499
L06124	1	-46,5339902	-23,6361724	1369	0,073	0,7874	2410	1698	712
L06127	1	-46,5285616	-23,6277749	1574	0,0635	0,7874	2562	1940	622
L06128	1	-46,5201280	-23,6293101	1403	0,0713	0,7874	2386	1681	705
L06129	1	-46,5198409	-23,6221528	2533	0,0395	0,7874	4540	3136	1404
L06131	1	-46,5160440	-23,6343094	1609	0,0622	0,7874	2862	1955	907
L06136	3	-46,5186613	-23,6230737	2268	0,1323	2,3622	3803	2874	929
L07310	1	-46,5332450	-23,6511590	4444	0,0225	0,7874	7346	5196	2150
L07312	1	-46,5426561	-23,6522360	3356	0,0298	0,7874	5761	3920	1841
L07316	2	-46,5505332	-23,6617621	1092	0,1832	1,5748	1707	1315	392
L07317	1	-46,5483876	-23,6767556	3195	0,0313	0,7874	5641	3856	1785
L07318	5	-46,5615766	-23,6519061	3063	0,1632	3,937	5693	3801	1892
L07319	1	-46,5497609	-23,6732736	1939	0,0516	0,7874	3381	2449	932
L07320	4	-46,5477273	-23,6651315	3005	0,1331	3,1496	5172	3606	1566
L07323	4	-46,5563889	-23,6524699	2149	0,1861	3,1496	3610	2622	988
L07324	2	-46,5484802	-23,6650650	1407	0,1421	1,5748	2222	1687	535
L07329	2	-46,5540119	-23,6613705	4886	0,0409	1,5748	8401	5789	2612
L07334	1	-46,5059879	-23,6939677	4009	0,0249	0,7874	7082	4878	2204
L07340	1	-46,5113909	-23,6829130	2520	0,0397	0,7874	4213	3051	1162
L07345	1	-46,5098318	-23,7066288	2903	0,0344	0,7874	4714	3555	1159
L07347	1	-46,5085417	-23,7119745	687	0,1456	0,7874	1216	820	396
L09410	2	-46,4944917	-23,7423372	3615	0,0553	1,5748	5500	4167	1333
L09411	1	-46,5013444	-23,6779317	2496	0,0401	0,7874	3903	2934	969
L09413	2	-46,4941589	-23,6933187	4226	0,0473	1,5748	6822	5002	1820
L09414	3	-46,4915639	-23,6674570	3719	0,0807	2,3622	6180	4647	1533
L09416	2	-46,5010249	-23,7061886	2916	0,0686	1,5748	5036	3500	1536
L09417	2	-46,4969697	-23,7099379	3159	0,0633	1,5748	5055	3838	1217
L09419	2	-46,4910779	-23,6674979	2616	0,0765	1,5748	4359	3130	1229
L09420	5	-46,5015388	-23,6971990	5154	0,097	3,937	8241	6026	2215
L09422	1	-46,5017000	-23,6746000	2670	0,0375	0,7874	4570	3216	1354
L09424	1	-46,4983968	-23,6853445	2965	0,0337	0,7874	4929	3490	1439
L09425	3	-46,4942373	-23,6786357	3164	0,0948	2,3622	4922	3787	1135
L09433	1	-46,4956959	-23,7399046	1815	0,0551	0,7874	2615	2077	538
