cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03690	1	-46,5349000	-23,6759000	2800	0,0357	0,3922	4922	3416	1506
L03691	1	-46,5232962	-23,6903498	4751	0,021	0,3922	8306	5804	2502
L03696	1	-46,5383930	-23,6678199	2770	0,0361	0,3922	4696	3280	1416
L03700	1	-46,5251147	-23,6739179	2882	0,0347	0,3922	4744	3451	1293
L03702	2	-46,5364163	-23,6615619	4065	0,0492	0,7843	6875	4735	2140
L06086	1	-46,5156392	-23,6505006	3074	0,0325	0,3922	4848	3702	1146
L06088	42	-46,4942573	-23,6473472	1798	2,3359	16,4706	2822	2226	596
L06089	2	-46,4987173	-23,6329472	1945	0,1028	0,7843	3145	2384	761
L06090	1	-46,4918726	-23,6400932	1163	0,086	0,3922	1836	1430	406
L06092	1	-46,5111599	-23,6266900	1389	0,072	0,3922	2360	1740	620
L06093	1	-46,4972330	-23,6346420	2642	0,0379	0,3922	4659	3233	1426
L06094	49	-46,4922158	-23,6441023	3465	1,4141	19,2157	5423	4272	1151
L06097	1	-46,4879000	-23,6256000	1949	0,0513	0,3922	3518	2434	1084
L06098	20	-46,4994551	-23,6488793	3382	0,5914	7,8431	5474	3929	1545
L06099	4	-46,5013000	-23,6437000	2932	0,1364	1,5686	5134	3515	1619
L06100	2	-46,5073552	-23,6341587	2046	0,0978	0,7843	3860	2480	1380
L06101	1	-46,5080459	-23,6460779	2412	0,0415	0,3922	4120	2805	1315
L06102	10	-46,4923889	-23,6391620	2968	0,3369	3,9216	5079	3554	1525
L06104	5	-46,5014410	-23,6424999	2350	0,2128	1,9608	3801	2799	1002
L06105	1	-46,4917749	-23,6345261	2306	0,0434	0,3922	4035	2812	1223
L06106	17	-46,4968579	-23,6495890	902	1,8847	6,6667	1373	1093	280
L06107	3	-46,5037973	-23,6515281	2089	0,1436	1,1765	3096	2430	666
L06108	4	-46,5064691	-23,6341241	2727	0,1467	1,5686	4421	3304	1117
L06109	15	-46,4972026	-23,6435472	2098	0,715	5,8824	3350	2576	774
L06110	1	-46,5091100	-23,6477673	2188	0,0457	0,3922	3427	2564	863
L06111	2	-46,5165549	-23,6443203	2435	0,0821	0,7843	4294	2858	1436
L06112	2	-46,4919707	-23,6340482	1459	0,1371	0,7843	2370	1828	542
L06113	5	-46,5199072	-23,6443238	2466	0,2028	1,9608	3916	2946	970
L06115	4	-46,5227420	-23,6388599	2450	0,1633	1,5686	4038	2916	1122
L06119	2	-46,5238040	-23,6164609	1658	0,1206	0,7843	2860	2020	840
L06120	1	-46,5287000	-23,6418000	2220	0,045	0,3922	3930	2663	1267
L06123	2	-46,5288114	-23,6203323	4008	0,0499	0,7843	7114	4935	2179
L06126	1	-46,5387763	-23,6237507	2126	0,047	0,3922	3636	2473	1163
L06129	1	-46,5198409	-23,6221528	2533	0,0395	0,3922	4540	3136	1404
L06131	1	-46,5160440	-23,6343094	1609	0,0622	0,3922	2862	1955	907
L06133	1	-46,5212740	-23,6295550	2702	0,037	0,3922	4819	3349	1470
L06135	1	-46,5168228	-23,6340800	501	0,1996	0,3922	770	604	166
L06136	1	-46,5186613	-23,6230737	2268	0,0441	0,3922	3803	2874	929
L07310	1	-46,5332450	-23,6511590	4444	0,0225	0,3922	7346	5196	2150
L07311	3	-46,5446951	-23,6406770	4302	0,0697	1,1765	7489	5213	2276
L07313	2	-46,5430762	-23,6811036	2002	0,0999	0,7843	3584	2414	1170
L07318	1	-46,5615766	-23,6519061	3063	0,0326	0,3922	5693	3801	1892
L07324	1	-46,5484802	-23,6650650	1407	0,0711	0,3922	2222	1687	535
L07327	6	-46,5575920	-23,6489274	1982	0,3027	2,3529	3346	2383	963
L07329	1	-46,5540119	-23,6613705	4886	0,0205	0,3922	8401	5789	2612
L07333	3	-46,5077074	-23,6863873	3250	0,0923	1,1765	5862	3988	1874
L07337	1	-46,5097000	-23,7133000	3747	0,0267	0,3922	5839	4445	1394
L07338	1	-46,5020431	-23,7128793	1213	0,0824	0,3922	2003	1468	535
L07341	3	-46,5135165	-23,6985986	3886	0,0772	1,1765	6026	4526	1500
L07343	2	-46,5115057	-23,7042909	4097	0,0488	0,7843	6904	4968	1936
L07344	1	-46,5069000	-23,6705000	2111	0,0474	0,3922	3784	2446	1338
L07345	1	-46,5098318	-23,7066288	2903	0,0344	0,3922	4714	3555	1159
L07346	1	-46,5134270	-23,6677330	1539	0,065	0,3922	2479	1826	653
L07349	2	-46,5172580	-23,6963450	3385	0,0591	0,7843	5412	4026	1386
L09406	1	-46,5014404	-23,7060406	1240	0,0806	0,3922	1973	1532	441
L09407	1	-46,5002559	-23,7125334	1201	0,0833	0,3922	1959	1446	513
L09416	1	-46,5010249	-23,7061886	2916	0,0343	0,3922	5036	3500	1536
L09417	2	-46,4969697	-23,7099379	3159	0,0633	0,7843	5055	3838	1217
L09418	1	-46,4874264	-23,7274119	2703	0,037	0,3922	4501	3294	1207
L09419	1	-46,4910779	-23,6674979	2616	0,0382	0,3922	4359	3130	1229
L09420	1	-46,5015388	-23,6971990	5154	0,0194	0,3922	8241	6026	2215
L09423	1	-46,4852195	-23,6739363	1230	0,0813	0,3922	1934	1490	444
L09424	2	-46,4983968	-23,6853445	2965	0,0675	0,7843	4929	3490	1439
L09432	1	-46,5011458	-23,6641775	2021	0,0495	0,3922	3184	2416	768
L09434	1	-46,4882000	-23,6744950	1865	0,0536	0,3922	2931	2222	709
L09436	1	-46,5048938	-23,6752093	1135	0,0881	0,3922	1714	1326	388
