cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04124	36	-46,2977269	-23,5421139	538	6,6914	0,3526	788	624	164
L04127	91	-46,3326411	-23,6602549	1138	7,9965	0,8912	1606	1327	279
L04128	46	-46,3247304	-23,6314102	618	7,4434	0,4505	811	692	119
L04129	135	-46,3091568	-23,5571754	1957	6,8983	1,3221	3094	2264	830
L04130	89	-46,3161640	-23,6243193	1319	6,7475	0,8716	1931	1507	424
L04131	188	-46,2941819	-23,5408900	2692	6,9837	1,8412	4141	3094	1047
L04132	272	-46,3117067	-23,5500152	4216	6,4516	2,6638	6614	4774	1840
L04133	208	-46,3152694	-23,6420695	3164	6,574	2,037	4621	3566	1055
L04134	187	-46,3013357	-23,5401480	3587	5,2133	1,8314	5567	4013	1554
L04135	53	-46,3032478	-23,6852651	719	7,3713	0,519	1164	827	337
L04136	234	-46,2850343	-23,4919334	2434	9,6138	2,2916	3841	2894	947
L04137	61	-46,3072456	-23,6640300	754	8,0902	0,5974	1121	867	254
L04138	218	-46,2968453	-23,5156554	3019	7,2209	2,135	4571	3465	1106
L04139	113	-46,3192188	-23,6456847	1171	9,6499	1,1066	1809	1372	437
L04140	80	-46,3106329	-23,5850537	1653	4,8397	0,7835	2549	1831	718
L04141	64	-46,3112319	-23,5448570	1408	4,5455	0,6268	2350	1567	783
L04142	196	-46,3034010	-23,5859659	3346	5,8577	1,9195	4735	3775	960
L04143	206	-46,2933830	-23,5539549	2718	7,5791	2,0174	4079	3126	953
L04144	97	-46,3108750	-23,5448837	1507	6,4366	0,95	2581	1720	861
L04145	228	-46,2915923	-23,5601470	3474	6,563	2,2329	4950	3924	1026
L04146	161	-46,2879270	-23,5096825	2617	6,1521	1,5767	4018	2961	1057
L04147	110	-46,2939310	-23,5382590	1643	6,6951	1,0773	2513	1864	649
L04148	358	-46,2963348	-23,5017492	3794	9,436	3,506	6119	4544	1575
L04149	259	-46,2914290	-23,5123440	3556	7,2835	2,5365	5253	4084	1169
L04150	121	-46,2955967	-23,6222771	1873	6,4602	1,185	2867	2106	761
L04151	188	-46,3005562	-23,5474194	2832	6,6384	1,8412	4265	3237	1028
L04152	19	-46,2956716	-23,5577692	280	6,7857	0,1861	418	317	101
L04153	103	-46,2877817	-23,5407707	1331	7,7385	1,0087	1890	1517	373
L04154	82	-46,3077450	-23,6018350	1040	7,8846	0,8031	1377	1206	171
L04155	32	-46,2837387	-23,5140863	325	9,8462	0,3134	481	376	105
L04156	34	-46,2903545	-23,5127263	486	6,9959	0,333	696	552	144
L04157	16	-46,3140813	-23,6427720	276	5,7971	0,1567	363	312	51
L04158	149	-46,2964165	-23,5491266	2014	7,3982	1,4592	2897	2329	568
L04159	50	-46,3028730	-23,5933680	804	6,2189	0,4897	1101	922	179
L04160	138	-46,2787505	-23,4978456	2106	6,5527	1,3515	3068	2433	635
L04161	81	-46,2735876	-23,4946734	970	8,3505	0,7933	1414	1136	278
L04162	54	-46,3031317	-23,5440960	659	8,1942	0,5288	989	763	226
L04163	63	-46,2944994	-23,5160188	1001	6,2937	0,617	1463	1138	325
L04164	8	-46,3047552	-23,6292353	158	5,0633	0,0783	201	171	30
L04165	53	-46,3204744	-23,6437523	772	6,8653	0,519	1079	880	199
L04166	47	-46,2875639	-23,5607649	749	6,275	0,4603	1011	840	171
L04167	12	-46,2922190	-23,6228640	197	6,0914	0,1175	305	222	83
L04168	67	-46,3031981	-23,5539692	889	7,5366	0,6562	1298	1033	265
L04169	24	-46,2892480	-23,4961670	273	8,7912	0,235	391	318	73
L04170	54	-46,2981911	-23,5521847	541	9,9815	0,5288	784	651	133
L04171	105	-46,2924510	-23,5058280	1278	8,216	1,0283	1894	1485	409
L04172	36	-46,3104243	-23,5607084	569	6,3269	0,3526	788	634	154
L04173	116	-46,2959592	-23,5518309	1314	8,828	1,136	1972	1546	426
L04174	13	-46,3166610	-23,6206680	158	8,2278	0,1273	224	186	38
L04175	38	-46,3136639	-23,5567900	581	6,5404	0,3721	787	673	114
L04176	118	-46,3114638	-23,5443102	2154	5,4782	1,1556	3282	2422	860
L10543	159	-46,3245881	-23,5290611	2068	7,6886	1,5571	3117	2381	736
L10544	18	-46,3141865	-23,5216173	93	19,3548	0,1763	157	118	39
L10545	144	-46,3054836	-23,5250879	2310	6,2338	1,4102	3544	2634	910
L10546	213	-46,3175100	-23,5411730	3079	6,9178	2,086	4770	3564	1206
L10547	135	-46,3259981	-23,6499285	2172	6,2155	1,3221	3255	2425	830
L10548	281	-46,3187486	-23,4956455	4035	6,9641	2,7519	5886	4584	1302
L10549	71	-46,3107670	-23,5095680	1338	5,3064	0,6953	1938	1503	435
L10550	169	-46,3304087	-23,6335105	2810	6,0142	1,6551	4091	3153	938
L10551	214	-46,3178740	-23,5578133	3312	6,4614	2,0958	5088	3760	1328
L10552	251	-46,3373224	-23,5696480	3525	7,1206	2,4581	5269	4050	1219
L10553	201	-46,3125577	-23,5306375	3014	6,6689	1,9685	4689	3437	1252
L10554	296	-46,3049699	-23,5032817	2981	9,9296	2,8988	4610	3565	1045
L10555	94	-46,3005843	-23,4991611	724	12,9834	0,9206	1179	909	270
L10556	114	-46,3287546	-23,5427534	1819	6,2672	1,1164	2547	2053	494
L10557	199	-46,3046586	-23,5028176	2165	9,1917	1,9489	3291	2604	687
L10558	33	-46,3311689	-23,5703609	461	7,1584	0,3232	637	532	105
L10559	182	-46,3153510	-23,5344139	3197	5,6928	1,7824	5150	3592	1558
L10560	178	-46,3268062	-23,5531106	2109	8,44	1,7432	3186	2462	724
L10561	99	-46,3235350	-23,5272529	1353	7,3171	0,9695	2065	1547	518
L10562	77	-46,3049750	-23,5227690	1353	5,6911	0,7541	2042	1528	514
L10563	107	-46,3142398	-23,4989458	1067	10,0281	1,0479	1628	1272	356
L10564	153	-46,3355307	-23,5642295	2934	5,2147	1,4984	4364	3287	1077
L10565	194	-46,3144790	-23,4989110	2810	6,9039	1,8999	4113	3198	915
L10566	222	-46,3129335	-23,5453758	3767	5,8933	2,1741	5983	4222	1761
L10567	200	-46,3199281	-23,5008806	2917	6,8564	1,9587	4295	3366	929
L10568	79	-46,3052385	-23,5227589	928	8,5129	0,7737	1407	1098	309
L10569	106	-46,3380520	-23,5690285	1411	7,5124	1,0381	2152	1661	491
L10570	121	-46,3125749	-23,4982300	1435	8,4321	1,185	2071	1702	369
L10571	24	-46,3078123	-23,4996750	175	13,7143	0,235	279	220	59
L10572	17	-46,3188776	-23,6081533	338	5,0296	0,1665	466	372	94
L10573	50	-46,3215471	-23,5363534	704	7,1023	0,4897	995	796	199
L10574	55	-46,3144730	-23,5406123	876	6,2785	0,5386	1324	993	331
L10575	53	-46,3245881	-23,5290611	678	7,8171	0,519	1033	778	255
L10576	90	-46,3053889	-23,5076949	865	10,4046	0,8814	1340	1034	306
L10577	62	-46,3206365	-23,4998412	768	8,0729	0,6072	1160	889	271
L10578	39	-46,3338733	-23,5944272	512	7,6172	0,3819	707	578	129
