cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04127	3	-46,3326411	-23,6602549	1138	0,2636	2,5	1606	1327	279
L04130	2	-46,3161640	-23,6243193	1319	0,1516	1,6667	1931	1507	424
L04132	2	-46,3117067	-23,5500152	4216	0,0474	1,6667	6614	4774	1840
L04133	10	-46,3152694	-23,6420695	3164	0,3161	8,3333	4621	3566	1055
L04134	1	-46,3013357	-23,5401480	3587	0,0279	0,8333	5567	4013	1554
L04135	1	-46,3032478	-23,6852651	719	0,1391	0,8333	1164	827	337
L04136	1	-46,2850343	-23,4919334	2434	0,0411	0,8333	3841	2894	947
L04137	6	-46,3072456	-23,6640300	754	0,7958	5,0	1121	867	254
L04139	6	-46,3192188	-23,6456847	1171	0,5124	5,0	1809	1372	437
L04140	1	-46,3106329	-23,5850537	1653	0,0605	0,8333	2549	1831	718
L04141	1	-46,3112319	-23,5448570	1408	0,071	0,8333	2350	1567	783
L04147	1	-46,2939310	-23,5382590	1643	0,0609	0,8333	2513	1864	649
L04148	1	-46,2963348	-23,5017492	3794	0,0264	0,8333	6119	4544	1575
L04150	6	-46,2955967	-23,6222771	1873	0,3203	5,0	2867	2106	761
L04151	1	-46,3005562	-23,5474194	2832	0,0353	0,8333	4265	3237	1028
L04153	1	-46,2877817	-23,5407707	1331	0,0751	0,8333	1890	1517	373
L04164	2	-46,3047552	-23,6292353	158	1,2658	1,6667	201	171	30
L04165	3	-46,3204744	-23,6437523	772	0,3886	2,5	1079	880	199
L04166	1	-46,2875639	-23,5607649	749	0,1335	0,8333	1011	840	171
L04167	1	-46,2922190	-23,6228640	197	0,5076	0,8333	305	222	83
L04168	2	-46,3031981	-23,5539692	889	0,225	1,6667	1298	1033	265
L10547	44	-46,3259981	-23,6499285	2172	2,0258	36,6667	3255	2425	830
L10550	16	-46,3304087	-23,6335105	2810	0,5694	13,3333	4091	3153	938
L10551	2	-46,3178740	-23,5578133	3312	0,0604	1,6667	5088	3760	1328
L10552	1	-46,3373224	-23,5696480	3525	0,0284	0,8333	5269	4050	1219
L10566	1	-46,3129335	-23,5453758	3767	0,0265	0,8333	5983	4222	1761
L10573	3	-46,3215471	-23,5363534	704	0,4261	2,5	995	796	199
