cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04124	1	-46,2977269	-23,5421139	538	0,1859	0,1333	788	624	164
L04128	1	-46,3247304	-23,6314102	618	0,1618	0,1333	811	692	119
L04131	1	-46,2941819	-23,5408900	2692	0,0371	0,1333	4141	3094	1047
L04132	6	-46,3117067	-23,5500152	4216	0,1423	0,8	6614	4774	1840
L04133	8	-46,3152694	-23,6420695	3164	0,2528	1,0667	4621	3566	1055
L04134	5	-46,3013357	-23,5401480	3587	0,1394	0,6667	5567	4013	1554
L04136	1	-46,2850343	-23,4919334	2434	0,0411	0,1333	3841	2894	947
L04137	1	-46,3072456	-23,6640300	754	0,1326	0,1333	1121	867	254
L04138	12	-46,2968453	-23,5156554	3019	0,3975	1,6	4571	3465	1106
L04140	1	-46,3106329	-23,5850537	1653	0,0605	0,1333	2549	1831	718
L04141	4	-46,3112319	-23,5448570	1408	0,2841	0,5333	2350	1567	783
L04142	5	-46,3034010	-23,5859659	3346	0,1494	0,6667	4735	3775	960
L04143	7	-46,2933830	-23,5539549	2718	0,2575	0,9333	4079	3126	953
L04144	3	-46,3108750	-23,5448837	1507	0,1991	0,4	2581	1720	861
L04145	4	-46,2915923	-23,5601470	3474	0,1151	0,5333	4950	3924	1026
L04146	16	-46,2879270	-23,5096825	2617	0,6114	2,1333	4018	2961	1057
L04147	3	-46,2939310	-23,5382590	1643	0,1826	0,4	2513	1864	649
L04148	28	-46,2963348	-23,5017492	3794	0,738	3,7333	6119	4544	1575
L04149	13	-46,2914290	-23,5123440	3556	0,3656	1,7333	5253	4084	1169
L04151	2	-46,3005562	-23,5474194	2832	0,0706	0,2667	4265	3237	1028
L04152	2	-46,2956716	-23,5577692	280	0,7143	0,2667	418	317	101
L04153	2	-46,2877817	-23,5407707	1331	0,1503	0,2667	1890	1517	373
L04154	1	-46,3077450	-23,6018350	1040	0,0962	0,1333	1377	1206	171
L04155	1	-46,2837387	-23,5140863	325	0,3077	0,1333	481	376	105
L04158	4	-46,2964165	-23,5491266	2014	0,1986	0,5333	2897	2329	568
L04160	2	-46,2787505	-23,4978456	2106	0,095	0,2667	3068	2433	635
L04161	1	-46,2735876	-23,4946734	970	0,1031	0,1333	1414	1136	278
L04162	1	-46,3031317	-23,5440960	659	0,1517	0,1333	989	763	226
L04163	2	-46,2944994	-23,5160188	1001	0,1998	0,2667	1463	1138	325
L04165	3	-46,3204744	-23,6437523	772	0,3886	0,4	1079	880	199
L04169	1	-46,2892480	-23,4961670	273	0,3663	0,1333	391	318	73
L04171	30	-46,2924510	-23,5058280	1278	2,3474	4,0	1894	1485	409
L04172	2	-46,3104243	-23,5607084	569	0,3515	0,2667	788	634	154
L04173	1	-46,2959592	-23,5518309	1314	0,0761	0,1333	1972	1546	426
L04176	3	-46,3114638	-23,5443102	2154	0,1393	0,4	3282	2422	860
L10543	8	-46,3245881	-23,5290611	2068	0,3868	1,0667	3117	2381	736
L10545	3	-46,3054836	-23,5250879	2310	0,1299	0,4	3544	2634	910
L10546	2	-46,3175100	-23,5411730	3079	0,065	0,2667	4770	3564	1206
L10547	3	-46,3259981	-23,6499285	2172	0,1381	0,4	3255	2425	830
L10548	132	-46,3187486	-23,4956455	4035	3,2714	17,6	5886	4584	1302
L10549	30	-46,3107670	-23,5095680	1338	2,2422	4,0	1938	1503	435
L10550	2	-46,3304087	-23,6335105	2810	0,0712	0,2667	4091	3153	938
L10551	4	-46,3178740	-23,5578133	3312	0,1208	0,5333	5088	3760	1328
L10552	6	-46,3373224	-23,5696480	3525	0,1702	0,8	5269	4050	1219
L10553	9	-46,3125577	-23,5306375	3014	0,2986	1,2	4689	3437	1252
L10554	18	-46,3049699	-23,5032817	2981	0,6038	2,4	4610	3565	1045
L10555	3	-46,3005843	-23,4991611	724	0,4144	0,4	1179	909	270
L10556	2	-46,3287546	-23,5427534	1819	0,11	0,2667	2547	2053	494
L10557	17	-46,3046586	-23,5028176	2165	0,7852	2,2667	3291	2604	687
L10558	1	-46,3311689	-23,5703609	461	0,2169	0,1333	637	532	105
L10559	9	-46,3153510	-23,5344139	3197	0,2815	1,2	5150	3592	1558
L10560	4	-46,3268062	-23,5531106	2109	0,1897	0,5333	3186	2462	724
L10562	3	-46,3049750	-23,5227690	1353	0,2217	0,4	2042	1528	514
L10563	27	-46,3142398	-23,4989458	1067	2,5305	3,6	1628	1272	356
L10564	2	-46,3355307	-23,5642295	2934	0,0682	0,2667	4364	3287	1077
L10565	58	-46,3144790	-23,4989110	2810	2,0641	7,7333	4113	3198	915
L10566	6	-46,3129335	-23,5453758	3767	0,1593	0,8	5983	4222	1761
L10567	133	-46,3199281	-23,5008806	2917	4,5595	17,7333	4295	3366	929
L10568	3	-46,3052385	-23,5227589	928	0,3233	0,4	1407	1098	309
L10569	2	-46,3380520	-23,5690285	1411	0,1417	0,2667	2152	1661	491
L10570	31	-46,3125749	-23,4982300	1435	2,1603	4,1333	2071	1702	369
L10571	2	-46,3078123	-23,4996750	175	1,1429	0,2667	279	220	59
L10576	10	-46,3053889	-23,5076949	865	1,1561	1,3333	1340	1034	306
L10577	42	-46,3206365	-23,4998412	768	5,4688	5,6	1160	889	271
