cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04131	1	-46,2941819	-23,5408900	2692	0,0371	1,5625	4141	3094	1047
L04132	4	-46,3117067	-23,5500152	4216	0,0949	6,25	6614	4774	1840
L04134	1	-46,3013357	-23,5401480	3587	0,0279	1,5625	5567	4013	1554
L04135	1	-46,3032478	-23,6852651	719	0,1391	1,5625	1164	827	337
L04138	1	-46,2968453	-23,5156554	3019	0,0331	1,5625	4571	3465	1106
L04141	1	-46,3112319	-23,5448570	1408	0,071	1,5625	2350	1567	783
L04143	14	-46,2933830	-23,5539549	2718	0,5151	21,875	4079	3126	953
L04144	1	-46,3108750	-23,5448837	1507	0,0664	1,5625	2581	1720	861
L04145	6	-46,2915923	-23,5601470	3474	0,1727	9,375	4950	3924	1026
L04147	1	-46,2939310	-23,5382590	1643	0,0609	1,5625	2513	1864	649
L04149	1	-46,2914290	-23,5123440	3556	0,0281	1,5625	5253	4084	1169
L04151	7	-46,3005562	-23,5474194	2832	0,2472	10,9375	4265	3237	1028
L04152	1	-46,2956716	-23,5577692	280	0,3571	1,5625	418	317	101
L04158	4	-46,2964165	-23,5491266	2014	0,1986	6,25	2897	2329	568
L04163	2	-46,2944994	-23,5160188	1001	0,1998	3,125	1463	1138	325
L04166	6	-46,2875639	-23,5607649	749	0,8011	9,375	1011	840	171
L04172	1	-46,3104243	-23,5607084	569	0,1757	1,5625	788	634	154
L04173	1	-46,2959592	-23,5518309	1314	0,0761	1,5625	1972	1546	426
L04175	1	-46,3136639	-23,5567900	581	0,1721	1,5625	787	673	114
L10545	1	-46,3054836	-23,5250879	2310	0,0433	1,5625	3544	2634	910
L10546	1	-46,3175100	-23,5411730	3079	0,0325	1,5625	4770	3564	1206
L10551	1	-46,3178740	-23,5578133	3312	0,0302	1,5625	5088	3760	1328
L10555	1	-46,3005843	-23,4991611	724	0,1381	1,5625	1179	909	270
L10560	1	-46,3268062	-23,5531106	2109	0,0474	1,5625	3186	2462	724
L10562	2	-46,3049750	-23,5227690	1353	0,1478	3,125	2042	1528	514
L10566	1	-46,3129335	-23,5453758	3767	0,0265	1,5625	5983	4222	1761
L10574	1	-46,3144730	-23,5406123	876	0,1142	1,5625	1324	993	331
