cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04124	4	-46,2977269	-23,5421139	538	0,7435	0,3956	788	624	164
L04128	2	-46,3247304	-23,6314102	618	0,3236	0,1978	811	692	119
L04129	24	-46,3091568	-23,5571754	1957	1,2264	2,3739	3094	2264	830
L04131	20	-46,2941819	-23,5408900	2692	0,7429	1,9782	4141	3094	1047
L04132	20	-46,3117067	-23,5500152	4216	0,4744	1,9782	6614	4774	1840
L04133	18	-46,3152694	-23,6420695	3164	0,5689	1,7804	4621	3566	1055
L04134	28	-46,3013357	-23,5401480	3587	0,7806	2,7695	5567	4013	1554
L04135	6	-46,3032478	-23,6852651	719	0,8345	0,5935	1164	827	337
L04136	3	-46,2850343	-23,4919334	2434	0,1233	0,2967	3841	2894	947
L04137	2	-46,3072456	-23,6640300	754	0,2653	0,1978	1121	867	254
L04138	17	-46,2968453	-23,5156554	3019	0,5631	1,6815	4571	3465	1106
L04139	1	-46,3192188	-23,6456847	1171	0,0854	0,0989	1809	1372	437
L04140	13	-46,3106329	-23,5850537	1653	0,7864	1,2859	2549	1831	718
L04141	7	-46,3112319	-23,5448570	1408	0,4972	0,6924	2350	1567	783
L04142	22	-46,3034010	-23,5859659	3346	0,6575	2,1761	4735	3775	960
L04143	23	-46,2933830	-23,5539549	2718	0,8462	2,275	4079	3126	953
L04144	18	-46,3108750	-23,5448837	1507	1,1944	1,7804	2581	1720	861
L04145	26	-46,2915923	-23,5601470	3474	0,7484	2,5717	4950	3924	1026
L04146	26	-46,2879270	-23,5096825	2617	0,9935	2,5717	4018	2961	1057
L04147	21	-46,2939310	-23,5382590	1643	1,2781	2,0772	2513	1864	649
L04148	24	-46,2963348	-23,5017492	3794	0,6326	2,3739	6119	4544	1575
L04149	32	-46,2914290	-23,5123440	3556	0,8999	3,1652	5253	4084	1169
L04150	11	-46,2955967	-23,6222771	1873	0,5873	1,088	2867	2106	761
L04151	34	-46,3005562	-23,5474194	2832	1,2006	3,363	4265	3237	1028
L04152	1	-46,2956716	-23,5577692	280	0,3571	0,0989	418	317	101
L04153	52	-46,2877817	-23,5407707	1331	3,9068	5,1434	1890	1517	373
L04154	21	-46,3077450	-23,6018350	1040	2,0192	2,0772	1377	1206	171
L04157	1	-46,3140813	-23,6427720	276	0,3623	0,0989	363	312	51
L04158	16	-46,2964165	-23,5491266	2014	0,7944	1,5826	2897	2329	568
L04159	1	-46,3028730	-23,5933680	804	0,1244	0,0989	1101	922	179
L04160	8	-46,2787505	-23,4978456	2106	0,3799	0,7913	3068	2433	635
L04161	5	-46,2735876	-23,4946734	970	0,5155	0,4946	1414	1136	278
L04162	3	-46,3031317	-23,5440960	659	0,4552	0,2967	989	763	226
L04165	3	-46,3204744	-23,6437523	772	0,3886	0,2967	1079	880	199
L04166	9	-46,2875639	-23,5607649	749	1,2016	0,8902	1011	840	171
L04168	6	-46,3031981	-23,5539692	889	0,6749	0,5935	1298	1033	265
L04170	3	-46,2981911	-23,5521847	541	0,5545	0,2967	784	651	133
L04171	3	-46,2924510	-23,5058280	1278	0,2347	0,2967	1894	1485	409
L04172	9	-46,3104243	-23,5607084	569	1,5817	0,8902	788	634	154
L04173	19	-46,2959592	-23,5518309	1314	1,446	1,8793	1972	1546	426
L04175	5	-46,3136639	-23,5567900	581	0,8606	0,4946	787	673	114
L04176	20	-46,3114638	-23,5443102	2154	0,9285	1,9782	3282	2422	860
L10543	1	-46,3245881	-23,5290611	2068	0,0484	0,0989	3117	2381	736
L10545	9	-46,3054836	-23,5250879	2310	0,3896	0,8902	3544	2634	910
L10546	23	-46,3175100	-23,5411730	3079	0,747	2,275	4770	3564	1206
L10547	7	-46,3259981	-23,6499285	2172	0,3223	0,6924	3255	2425	830
L10548	8	-46,3187486	-23,4956455	4035	0,1983	0,7913	5886	4584	1302
