cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04131	3	-46,2941819	-23,5408900	2692	0,1114	4,0541	4141	3094	1047
L04134	1	-46,3013357	-23,5401480	3587	0,0279	1,3514	5567	4013	1554
L04142	1	-46,3034010	-23,5859659	3346	0,0299	1,3514	4735	3775	960
L04151	1	-46,3005562	-23,5474194	2832	0,0353	1,3514	4265	3237	1028
L04158	3	-46,2964165	-23,5491266	2014	0,149	4,0541	2897	2329	568
L04168	1	-46,3031981	-23,5539692	889	0,1125	1,3514	1298	1033	265
L04173	1	-46,2959592	-23,5518309	1314	0,0761	1,3514	1972	1546	426
L04175	1	-46,3136639	-23,5567900	581	0,1721	1,3514	787	673	114
L04176	1	-46,3114638	-23,5443102	2154	0,0464	1,3514	3282	2422	860
L10543	1	-46,3245881	-23,5290611	2068	0,0484	1,3514	3117	2381	736
L10546	5	-46,3175100	-23,5411730	3079	0,1624	6,7568	4770	3564	1206
L10548	1	-46,3187486	-23,4956455	4035	0,0248	1,3514	5886	4584	1302
L10551	9	-46,3178740	-23,5578133	3312	0,2717	12,1622	5088	3760	1328
L10552	1	-46,3373224	-23,5696480	3525	0,0284	1,3514	5269	4050	1219
L10553	1	-46,3125577	-23,5306375	3014	0,0332	1,3514	4689	3437	1252
L10554	2	-46,3049699	-23,5032817	2981	0,0671	2,7027	4610	3565	1045
L10556	21	-46,3287546	-23,5427534	1819	1,1545	28,3784	2547	2053	494
L10557	1	-46,3046586	-23,5028176	2165	0,0462	1,3514	3291	2604	687
L10559	2	-46,3153510	-23,5344139	3197	0,0626	2,7027	5150	3592	1558
L10560	4	-46,3268062	-23,5531106	2109	0,1897	5,4054	3186	2462	724
L10564	1	-46,3355307	-23,5642295	2934	0,0341	1,3514	4364	3287	1077
L10565	1	-46,3144790	-23,4989110	2810	0,0356	1,3514	4113	3198	915
L10566	6	-46,3129335	-23,5453758	3767	0,1593	8,1081	5983	4222	1761
L10570	1	-46,3125749	-23,4982300	1435	0,0697	1,3514	2071	1702	369
L10573	1	-46,3215471	-23,5363534	704	0,142	1,3514	995	796	199
L10575	3	-46,3245881	-23,5290611	678	0,4425	4,0541	1033	778	255
