cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04138	1	-46,2968453	-23,5156554	3019	0,0331	5,0	4571	3465	1106
L04141	1	-46,3112319	-23,5448570	1408	0,071	5,0	2350	1567	783
L04150	1	-46,2955967	-23,6222771	1873	0,0534	5,0	2867	2106	761
L04159	1	-46,3028730	-23,5933680	804	0,1244	5,0	1101	922	179
L04161	1	-46,2735876	-23,4946734	970	0,1031	5,0	1414	1136	278
L10547	8	-46,3259981	-23,6499285	2172	0,3683	40,0	3255	2425	830
L10550	1	-46,3304087	-23,6335105	2810	0,0356	5,0	4091	3153	938
L10554	1	-46,3049699	-23,5032817	2981	0,0335	5,0	4610	3565	1045
L10564	1	-46,3355307	-23,5642295	2934	0,0341	5,0	4364	3287	1077
L10565	1	-46,3144790	-23,4989110	2810	0,0356	5,0	4113	3198	915
L10574	3	-46,3144730	-23,5406123	876	0,3425	15,0	1324	993	331
