cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	2	-46,5496537	-23,7094670	2719	0,0736	0,3515	4433	3083	1350
L03951	2	-46,5496940	-23,7063970	2491	0,0803	0,3515	3975	2934	1041
L03954	1	-46,5351573	-23,7328634	2096	0,0477	0,1757	3226	2330	896
L03955	2	-46,5479655	-23,7159646	3704	0,054	0,3515	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,1757	2513	1740	773
L03957	2	-46,5506560	-23,7109210	1694	0,1181	0,3515	2975	1921	1054
L03958	1	-46,5263510	-23,7177830	2715	0,0368	0,1757	4362	3115	1247
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,1757	4736	3669	1067
L03962	1	-46,5312069	-23,7383016	3438	0,0291	0,1757	4967	3828	1139
L03965	1	-46,5394877	-23,7234957	2748	0,0364	0,1757	4365	3032	1333
L03968	4	-46,5306700	-23,7278770	3349	0,1194	0,703	5325	3948	1377
L03973	1	-46,5302901	-23,7552072	2521	0,0397	0,1757	3630	2891	739
L03975	2	-46,5280659	-23,7398567	3476	0,0575	0,3515	4976	3933	1043
L03980	2	-46,5273141	-23,7298404	2356	0,0849	0,3515	3546	2778	768
L03984	2	-46,5424192	-23,7186662	2052	0,0975	0,3515	3298	2324	974
L03985	3	-46,5345083	-23,7238608	1795	0,1671	0,5272	2614	2044	570
L03986	2	-46,5377560	-23,7343024	1796	0,1114	0,3515	2583	2026	557
L03990	1	-46,5272283	-23,7179138	3130	0,0319	0,1757	4842	3583	1259
L03992	3	-46,5569610	-23,7083270	1295	0,2317	0,5272	1888	1495	393
L03993	4	-46,5479549	-23,7130220	2969	0,1347	0,703	4673	3394	1279
L06771	2	-46,5674510	-23,6934030	3881	0,0515	0,3515	6496	4542	1954
L06772	9	-46,5618680	-23,6746313	2853	0,3155	1,5817	4554	3404	1150
L06773	4	-46,5748460	-23,6838690	3492	0,1145	0,703	5996	4051	1945
L06774	1	-46,5832730	-23,7016620	2367	0,0422	0,1757	3931	2760	1171
L06775	3	-46,5780242	-23,7026208	4021	0,0746	0,5272	6654	4791	1863
L06778	4	-46,5560028	-23,6894088	2428	0,1647	0,703	4375	2778	1597
L06779	3	-46,5811459	-23,6991489	1442	0,208	0,5272	2231	1776	455
