cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	8	-46,5496537	-23,7094670	2719	0,2942	0,6289	4433	3083	1350
L03951	5	-46,5496940	-23,7063970	2491	0,2007	0,3931	3975	2934	1041
L03952	5	-46,5484150	-23,7127260	1407	0,3554	0,3931	2247	1606	641
L03954	1	-46,5351573	-23,7328634	2096	0,0477	0,0786	3226	2330	896
L03955	9	-46,5479655	-23,7159646	3704	0,243	0,7075	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,0786	2513	1740	773
L03957	1	-46,5506560	-23,7109210	1694	0,059	0,0786	2975	1921	1054
L03958	3	-46,5263510	-23,7177830	2715	0,1105	0,2358	4362	3115	1247
L03959	3	-46,5273920	-23,7411880	2811	0,1067	0,2358	4034	3173	861
L03960	16	-46,5340573	-23,7247585	3267	0,4897	1,2579	4736	3669	1067
L03961	2	-46,5301100	-23,7544160	1483	0,1349	0,1572	2089	1676	413
L03962	2	-46,5312069	-23,7383016	3438	0,0582	0,1572	4967	3828	1139
L03963	4	-46,5330960	-23,7239800	2212	0,1808	0,3145	3508	2587	921
L03964	10	-46,5424960	-23,7270120	2712	0,3687	0,7862	4071	2989	1082
L03965	8	-46,5394877	-23,7234957	2748	0,2911	0,6289	4365	3032	1333
L03967	3	-46,5362210	-23,7382845	1295	0,2317	0,2358	1805	1457	348
L03968	14	-46,5306700	-23,7278770	3349	0,418	1,1006	5325	3948	1377
L03969	1	-46,5401449	-23,7130179	2329	0,0429	0,0786	3843	2637	1206
L03970	4	-46,5591090	-23,7130393	1529	0,2616	0,3145	2468	1753	715
L03971	1	-46,5376257	-23,7371831	1611	0,0621	0,0786	2398	1785	613
L03972	2	-46,5384635	-23,7367389	3177	0,063	0,1572	4773	3598	1175
L03973	6	-46,5302901	-23,7552072	2521	0,238	0,4717	3630	2891	739
L03974	7	-46,5439337	-23,7269223	1479	0,4733	0,5503	2130	1697	433
L03975	1	-46,5280659	-23,7398567	3476	0,0288	0,0786	4976	3933	1043
L03977	4	-46,5361406	-23,7345754	1817	0,2201	0,3145	2574	2054	520
L03978	8	-46,5388049	-23,7229366	1360	0,5882	0,6289	2077	1587	490
L03979	2	-46,5264294	-23,7170860	4315	0,0463	0,1572	6708	4915	1793
L03980	3	-46,5273141	-23,7298404	2356	0,1273	0,2358	3546	2778	768
L03982	2	-46,5433437	-23,7247021	846	0,2364	0,1572	1363	989	374
L03983	1	-46,5413193	-23,7305837	1326	0,0754	0,0786	2005	1540	465
L03984	3	-46,5424192	-23,7186662	2052	0,1462	0,2358	3298	2324	974
L03985	2	-46,5345083	-23,7238608	1795	0,1114	0,1572	2614	2044	570
L03986	2	-46,5377560	-23,7343024	1796	0,1114	0,1572	2583	2026	557
L03987	6	-46,5378519	-23,7282051	2915	0,2058	0,4717	4176	3268	908
L03988	2	-46,5384489	-23,7370328	1853	0,1079	0,1572	2732	2033	699
L03989	10	-46,5339255	-23,7156101	3243	0,3084	0,7862	4680	3762	918
L03990	2	-46,5272283	-23,7179138	3130	0,0639	0,1572	4842	3583	1259
L03992	1	-46,5569610	-23,7083270	1295	0,0772	0,0786	1888	1495	393
L03993	2	-46,5479549	-23,7130220	2969	0,0674	0,1572	4673	3394	1279
L06770	12	-46,5525212	-23,6901319	2732	0,4392	0,9434	4186	3204	982
L06771	6	-46,5674510	-23,6934030	3881	0,1546	0,4717	6496	4542	1954
L06772	52	-46,5618680	-23,6746313	2853	1,8226	4,0881	4554	3404	1150
L06773	17	-46,5748460	-23,6838690	3492	0,4868	1,3365	5996	4051	1945
L06774	2	-46,5832730	-23,7016620	2367	0,0845	0,1572	3931	2760	1171
L06775	5	-46,5780242	-23,7026208	4021	0,1243	0,3931	6654	4791	1863
L06776	1	-46,5705760	-23,7003330	2294	0,0436	0,0786	3776	2792	984
L06777	46	-46,5578080	-23,6812590	2740	1,6788	3,6164	4871	3184	1687
L06778	31	-46,5560028	-23,6894088	2428	1,2768	2,4371	4375	2778	1597
L06780	4	-46,5852412	-23,6994162	2168	0,1845	0,3145	3391	2466	925
L06781	5	-46,5702617	-23,6948544	2315	0,216	0,3931	4248	2749	1499
L06782	86	-46,5625426	-23,6854896	2462	3,4931	6,761	4176	2798	1378
L06783	4	-46,5712670	-23,6858200	2290	0,1747	0,3145	3711	2766	945
L06784	5	-46,5801575	-23,6989963	2320	0,2155	0,3931	3782	2738	1044
L06785	8	-46,5772394	-23,6793819	2129	0,3758	0,6289	3489	2499	990
L06786	9	-46,5711486	-23,7069243	3657	0,2461	0,7075	5768	4341	1427
L06787	14	-46,5857821	-23,6687471	3985	0,3513	1,1006	7098	4840	2258
L06788	3	-46,5966010	-23,6599440	1374	0,2183	0,2358	2362	1824	538
L06789	56	-46,5687518	-23,6525327	2723	2,0566	4,4025	4876	3195	1681
L06790	8	-46,5800360	-23,6669640	2828	0,2829	0,6289	5256	3498	1758
