cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	2	-46,5496537	-23,7094670	2719	0,0736	0,8333	4433	3083	1350
L03951	1	-46,5496940	-23,7063970	2491	0,0401	0,4167	3975	2934	1041
L03955	1	-46,5479655	-23,7159646	3704	0,027	0,4167	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,4167	2513	1740	773
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,4167	4736	3669	1067
L03962	1	-46,5312069	-23,7383016	3438	0,0291	0,4167	4967	3828	1139
L03964	1	-46,5424960	-23,7270120	2712	0,0369	0,4167	4071	2989	1082
L03966	1	-46,5239690	-23,7253840	2604	0,0384	0,4167	3744	2918	826
L03974	1	-46,5439337	-23,7269223	1479	0,0676	0,4167	2130	1697	433
L03977	1	-46,5361406	-23,7345754	1817	0,055	0,4167	2574	2054	520
L03985	1	-46,5345083	-23,7238608	1795	0,0557	0,4167	2614	2044	570
L03989	1	-46,5339255	-23,7156101	3243	0,0308	0,4167	4680	3762	918
L03992	1	-46,5569610	-23,7083270	1295	0,0772	0,4167	1888	1495	393
L06770	4	-46,5525212	-23,6901319	2732	0,1464	1,6667	4186	3204	982
L06774	22	-46,5832730	-23,7016620	2367	0,9294	9,1667	3931	2760	1171
L06775	4	-46,5780242	-23,7026208	4021	0,0995	1,6667	6654	4791	1863
L06776	1	-46,5705760	-23,7003330	2294	0,0436	0,4167	3776	2792	984
L06777	4	-46,5578080	-23,6812590	2740	0,146	1,6667	4871	3184	1687
L06778	5	-46,5560028	-23,6894088	2428	0,2059	2,0833	4375	2778	1597
L06779	1	-46,5811459	-23,6991489	1442	0,0693	0,4167	2231	1776	455
L06780	7	-46,5852412	-23,6994162	2168	0,3229	2,9167	3391	2466	925
L06781	1	-46,5702617	-23,6948544	2315	0,0432	0,4167	4248	2749	1499
L06782	2	-46,5625426	-23,6854896	2462	0,0812	0,8333	4176	2798	1378
L06784	4	-46,5801575	-23,6989963	2320	0,1724	1,6667	3782	2738	1044
L06786	1	-46,5711486	-23,7069243	3657	0,0273	0,4167	5768	4341	1427
L06787	1	-46,5857821	-23,6687471	3985	0,0251	0,4167	7098	4840	2258
L06789	2	-46,5687518	-23,6525327	2723	0,0734	0,8333	4876	3195	1681
L06790	1	-46,5800360	-23,6669640	2828	0,0354	0,4167	5256	3498	1758
L06791	3	-46,5618751	-23,6641932	4022	0,0746	1,25	6778	4774	2004
L06793	1	-46,5725179	-23,6552713	4018	0,0249	0,4167	7632	4758	2874
L06794	1	-46,5925299	-23,6659899	3276	0,0305	0,4167	5420	4081	1339
L06799	1	-46,5709372	-23,6527605	2910	0,0344	0,4167	4988	3366	1622
L06802	1	-46,5678450	-23,6664150	2222	0,045	0,4167	3481	2675	806
L07082	2	-46,5686640	-23,7226012	3863	0,0518	0,8333	5863	4522	1341
L07083	12	-46,5671770	-23,7246305	3792	0,3165	5,0	6107	4279	1828
L07084	1	-46,5728440	-23,7385800	4259	0,0235	0,4167	6239	4738	1501
L07085	2	-46,5763830	-23,7413500	3754	0,0533	0,8333	5378	4236	1142
L07086	3	-46,5847430	-23,7228060	2973	0,1009	1,25	4724	3378	1346
L07087	4	-46,5731743	-23,7229215	2752	0,1453	1,6667	4216	3212	1004
L07088	5	-46,5719400	-23,7418360	3694	0,1354	2,0833	5522	4136	1386
L07089	4	-46,5942676	-23,7150856	3415	0,1171	1,6667	5267	3929	1338
L07090	4	-46,5837930	-23,7111350	2839	0,1409	1,6667	4468	3370	1098
L07091	1	-46,5887880	-23,7158080	3501	0,0286	0,4167	5333	4005	1328
L07092	3	-46,5714550	-23,7164980	3092	0,097	1,25	4678	3646	1032
L07095	5	-46,5681980	-23,7215630	3744	0,1335	2,0833	6253	4293	1960
L07096	1	-46,5611610	-23,7212380	2261	0,0442	0,4167	3603	2557	1046
L07099	1	-46,5857789	-23,7063229	1693	0,0591	0,4167	2856	1965	891
L07100	1	-46,5757068	-23,7415408	3689	0,0271	0,4167	5557	4244	1313
L07102	2	-46,5823690	-23,7207720	1435	0,1394	0,8333	2151	1688	463
L07103	1	-46,5948529	-23,7182953	615	0,1626	0,4167	953	727	226
L07105	3	-46,5815984	-23,7168713	1196	0,2508	1,25	1779	1404	375
L07106	1	-46,5763029	-23,7195979	2231	0,0448	0,4167	3695	2552	1143
L07107	2	-46,5951889	-23,7196223	2490	0,0803	0,8333	3729	2866	863
L10346	1	-46,5543780	-23,7293500	3227	0,031	0,4167	5146	3697	1449
L10347	20	-46,5970620	-23,7702100	2991	0,6687	8,3333	4561	3449	1112
L10348	1	-46,5766199	-23,7553818	2714	0,0368	0,4167	3794	3023	771
L10349	1	-46,5993840	-23,7504530	3523	0,0284	0,4167	5191	3964	1227
L10350	2	-46,6055310	-23,7555600	2925	0,0684	0,8333	4526	3389	1137
L10352	1	-46,6073310	-23,7448240	4841	0,0207	0,4167	7276	5564	1712
L10353	1	-46,5661672	-23,7428574	1854	0,0539	0,4167	2860	2125	735
L10357	1	-46,5900996	-23,7353646	2391	0,0418	0,4167	3475	2726	749
