cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	2	-46,5496537	-23,7094670	2719	0,0736	1,9048	4433	3083	1350
L03951	4	-46,5496940	-23,7063970	2491	0,1606	3,8095	3975	2934	1041
L03952	1	-46,5484150	-23,7127260	1407	0,0711	0,9524	2247	1606	641
L03956	2	-46,5568820	-23,7075360	1533	0,1305	1,9048	2513	1740	773
L03958	2	-46,5263510	-23,7177830	2715	0,0737	1,9048	4362	3115	1247
L03960	2	-46,5340573	-23,7247585	3267	0,0612	1,9048	4736	3669	1067
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,9524	3508	2587	921
L03965	3	-46,5394877	-23,7234957	2748	0,1092	2,8571	4365	3032	1333
L03968	1	-46,5306700	-23,7278770	3349	0,0299	0,9524	5325	3948	1377
L03969	1	-46,5401449	-23,7130179	2329	0,0429	0,9524	3843	2637	1206
L03970	2	-46,5591090	-23,7130393	1529	0,1308	1,9048	2468	1753	715
L03975	1	-46,5280659	-23,7398567	3476	0,0288	0,9524	4976	3933	1043
L03979	1	-46,5264294	-23,7170860	4315	0,0232	0,9524	6708	4915	1793
L03980	5	-46,5273141	-23,7298404	2356	0,2122	4,7619	3546	2778	768
L03984	3	-46,5424192	-23,7186662	2052	0,1462	2,8571	3298	2324	974
L03985	1	-46,5345083	-23,7238608	1795	0,0557	0,9524	2614	2044	570
L03993	1	-46,5479549	-23,7130220	2969	0,0337	0,9524	4673	3394	1279
L06770	2	-46,5525212	-23,6901319	2732	0,0732	1,9048	4186	3204	982
L06771	2	-46,5674510	-23,6934030	3881	0,0515	1,9048	6496	4542	1954
L06773	3	-46,5748460	-23,6838690	3492	0,0859	2,8571	5996	4051	1945
L06776	2	-46,5705760	-23,7003330	2294	0,0872	1,9048	3776	2792	984
L06777	1	-46,5578080	-23,6812590	2740	0,0365	0,9524	4871	3184	1687
L06781	1	-46,5702617	-23,6948544	2315	0,0432	0,9524	4248	2749	1499
L06783	1	-46,5712670	-23,6858200	2290	0,0437	0,9524	3711	2766	945
L06787	2	-46,5857821	-23,6687471	3985	0,0502	1,9048	7098	4840	2258
L06789	1	-46,5687518	-23,6525327	2723	0,0367	0,9524	4876	3195	1681
L06790	2	-46,5800360	-23,6669640	2828	0,0707	1,9048	5256	3498	1758
L06791	1	-46,5618751	-23,6641932	4022	0,0249	0,9524	6778	4774	2004
L06793	1	-46,5725179	-23,6552713	4018	0,0249	0,9524	7632	4758	2874
L06798	2	-46,5727839	-23,6615519	1529	0,1308	1,9048	2554	1828	726
L06799	4	-46,5709372	-23,6527605	2910	0,1375	3,8095	4988	3366	1622
L06801	3	-46,5644658	-23,6605513	2935	0,1022	2,8571	5176	3395	1781
L06803	2	-46,5720030	-23,6577680	1682	0,1189	1,9048	2689	2000	689
L07082	2	-46,5686640	-23,7226012	3863	0,0518	1,9048	5863	4522	1341
L07083	7	-46,5671770	-23,7246305	3792	0,1846	6,6667	6107	4279	1828
L07084	1	-46,5728440	-23,7385800	4259	0,0235	0,9524	6239	4738	1501
L07086	1	-46,5847430	-23,7228060	2973	0,0336	0,9524	4724	3378	1346
L07088	1	-46,5719400	-23,7418360	3694	0,0271	0,9524	5522	4136	1386
L07092	2	-46,5714550	-23,7164980	3092	0,0647	1,9048	4678	3646	1032
L07094	1	-46,5773288	-23,7251947	3149	0,0318	0,9524	4908	3601	1307
L07096	2	-46,5611610	-23,7212380	2261	0,0885	1,9048	3603	2557	1046
L07101	1	-46,5653120	-23,7243480	1289	0,0776	0,9524	1938	1496	442
L07106	4	-46,5763029	-23,7195979	2231	0,1793	3,8095	3695	2552	1143
L10344	5	-46,5492480	-23,7482930	2752	0,1817	4,7619	4043	3185	858
L10346	3	-46,5543780	-23,7293500	3227	0,093	2,8571	5146	3697	1449
L10357	1	-46,5900996	-23,7353646	2391	0,0418	0,9524	3475	2726	749
L10358	2	-46,5571470	-23,7345289	2075	0,0964	1,9048	3401	2355	1046
L10362	2	-46,5559354	-23,7398712	1020	0,1961	1,9048	1566	1183	383
L10369	2	-46,5492121	-23,7487340	2216	0,0903	1,9048	3255	2547	708
L10374	1	-46,5696532	-23,7431300	2807	0,0356	0,9524	4026	3117	909
L10380	1	-46,5501460	-23,7386150	1142	0,0876	0,9524	1691	1322	369
L10520	1	-46,5420768	-23,7092800	3962	0,0252	0,9524	6082	4575	1507
L10523	1	-46,5458154	-23,6922331	3407	0,0294	0,9524	5818	4061	1757
L10541	1	-46,5593550	-23,6972650	3833	0,0261	0,9524	5926	4389	1537
