cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	0,1205	524	411	113
L03950	18	-46,5496537	-23,7094670	2719	0,662	2,1687	4433	3083	1350
L03951	20	-46,5496940	-23,7063970	2491	0,8029	2,4096	3975	2934	1041
L03952	2	-46,5484150	-23,7127260	1407	0,1421	0,241	2247	1606	641
L03953	1	-46,5500645	-23,7171301	211	0,4739	0,1205	314	243	71
L03955	15	-46,5479655	-23,7159646	3704	0,405	1,8072	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,1205	2513	1740	773
L03957	2	-46,5506560	-23,7109210	1694	0,1181	0,241	2975	1921	1054
L03958	2	-46,5263510	-23,7177830	2715	0,0737	0,241	4362	3115	1247
L03959	3	-46,5273920	-23,7411880	2811	0,1067	0,3614	4034	3173	861
L03960	2	-46,5340573	-23,7247585	3267	0,0612	0,241	4736	3669	1067
L03962	1	-46,5312069	-23,7383016	3438	0,0291	0,1205	4967	3828	1139
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,1205	3508	2587	921
L03964	1	-46,5424960	-23,7270120	2712	0,0369	0,1205	4071	2989	1082
L03966	1	-46,5239690	-23,7253840	2604	0,0384	0,1205	3744	2918	826
L03968	11	-46,5306700	-23,7278770	3349	0,3285	1,3253	5325	3948	1377
L03969	3	-46,5401449	-23,7130179	2329	0,1288	0,3614	3843	2637	1206
L03971	1	-46,5376257	-23,7371831	1611	0,0621	0,1205	2398	1785	613
L03972	4	-46,5384635	-23,7367389	3177	0,1259	0,4819	4773	3598	1175
L03973	1	-46,5302901	-23,7552072	2521	0,0397	0,1205	3630	2891	739
L03975	3	-46,5280659	-23,7398567	3476	0,0863	0,3614	4976	3933	1043
L03976	1	-46,5487753	-23,7073646	40	2,5	0,1205	60	46	14
L03977	1	-46,5361406	-23,7345754	1817	0,055	0,1205	2574	2054	520
L03978	3	-46,5388049	-23,7229366	1360	0,2206	0,3614	2077	1587	490
L03979	3	-46,5264294	-23,7170860	4315	0,0695	0,3614	6708	4915	1793
L03980	2	-46,5273141	-23,7298404	2356	0,0849	0,241	3546	2778	768
L03982	1	-46,5433437	-23,7247021	846	0,1182	0,1205	1363	989	374
L03983	2	-46,5413193	-23,7305837	1326	0,1508	0,241	2005	1540	465
L03984	4	-46,5424192	-23,7186662	2052	0,1949	0,4819	3298	2324	974
L03985	1	-46,5345083	-23,7238608	1795	0,0557	0,1205	2614	2044	570
L03986	2	-46,5377560	-23,7343024	1796	0,1114	0,241	2583	2026	557
L03989	15	-46,5339255	-23,7156101	3243	0,4625	1,8072	4680	3762	918
L03992	5	-46,5569610	-23,7083270	1295	0,3861	0,6024	1888	1495	393
L03993	19	-46,5479549	-23,7130220	2969	0,6399	2,2892	4673	3394	1279
L06770	28	-46,5525212	-23,6901319	2732	1,0249	3,3735	4186	3204	982
L06771	4	-46,5674510	-23,6934030	3881	0,1031	0,4819	6496	4542	1954
L06772	24	-46,5618680	-23,6746313	2853	0,8412	2,8916	4554	3404	1150
L06773	4	-46,5748460	-23,6838690	3492	0,1145	0,4819	5996	4051	1945
L06774	1	-46,5832730	-23,7016620	2367	0,0422	0,1205	3931	2760	1171
L06775	3	-46,5780242	-23,7026208	4021	0,0746	0,3614	6654	4791	1863
L06776	1	-46,5705760	-23,7003330	2294	0,0436	0,1205	3776	2792	984
L06777	14	-46,5578080	-23,6812590	2740	0,5109	1,6867	4871	3184	1687
L06778	4	-46,5560028	-23,6894088	2428	0,1647	0,4819	4375	2778	1597
L06779	10	-46,5811459	-23,6991489	1442	0,6935	1,2048	2231	1776	455
L06781	9	-46,5702617	-23,6948544	2315	0,3888	1,0843	4248	2749	1499
L06782	11	-46,5625426	-23,6854896	2462	0,4468	1,3253	4176	2798	1378
L06783	6	-46,5712670	-23,6858200	2290	0,262	0,7229	3711	2766	945
L06784	4	-46,5801575	-23,6989963	2320	0,1724	0,4819	3782	2738	1044
L06786	8	-46,5711486	-23,7069243	3657	0,2188	0,9639	5768	4341	1427
L06787	8	-46,5857821	-23,6687471	3985	0,2008	0,9639	7098	4840	2258
L06788	14	-46,5966010	-23,6599440	1374	1,0189	1,6867	2362	1824	538
