cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03952	1	-46,5484150	-23,7127260	1407	0,0711	0,7576	2247	1606	641
L03959	5	-46,5273920	-23,7411880	2811	0,1779	3,7879	4034	3173	861
L03962	9	-46,5312069	-23,7383016	3438	0,2618	6,8182	4967	3828	1139
L03963	2	-46,5330960	-23,7239800	2212	0,0904	1,5152	3508	2587	921
L03966	1	-46,5239690	-23,7253840	2604	0,0384	0,7576	3744	2918	826
L03968	1	-46,5306700	-23,7278770	3349	0,0299	0,7576	5325	3948	1377
L03971	1	-46,5376257	-23,7371831	1611	0,0621	0,7576	2398	1785	613
L03972	3	-46,5384635	-23,7367389	3177	0,0944	2,2727	4773	3598	1175
L03975	9	-46,5280659	-23,7398567	3476	0,2589	6,8182	4976	3933	1043
L03977	4	-46,5361406	-23,7345754	1817	0,2201	3,0303	2574	2054	520
L03980	4	-46,5273141	-23,7298404	2356	0,1698	3,0303	3546	2778	768
L03985	2	-46,5345083	-23,7238608	1795	0,1114	1,5152	2614	2044	570
L03990	1	-46,5272283	-23,7179138	3130	0,0319	0,7576	4842	3583	1259
L03993	1	-46,5479549	-23,7130220	2969	0,0337	0,7576	4673	3394	1279
L06771	2	-46,5674510	-23,6934030	3881	0,0515	1,5152	6496	4542	1954
L06772	1	-46,5618680	-23,6746313	2853	0,0351	0,7576	4554	3404	1150
L06774	1	-46,5832730	-23,7016620	2367	0,0422	0,7576	3931	2760	1171
L06775	2	-46,5780242	-23,7026208	4021	0,0497	1,5152	6654	4791	1863
L06777	3	-46,5578080	-23,6812590	2740	0,1095	2,2727	4871	3184	1687
L06779	2	-46,5811459	-23,6991489	1442	0,1387	1,5152	2231	1776	455
L06781	1	-46,5702617	-23,6948544	2315	0,0432	0,7576	4248	2749	1499
L06783	1	-46,5712670	-23,6858200	2290	0,0437	0,7576	3711	2766	945
L06786	1	-46,5711486	-23,7069243	3657	0,0273	0,7576	5768	4341	1427
L06787	2	-46,5857821	-23,6687471	3985	0,0502	1,5152	7098	4840	2258
L06790	1	-46,5800360	-23,6669640	2828	0,0354	0,7576	5256	3498	1758
L06792	1	-46,6048300	-23,6606410	4869	0,0205	0,7576	8857	5905	2952
L06793	2	-46,5725179	-23,6552713	4018	0,0498	1,5152	7632	4758	2874
L06794	1	-46,5925299	-23,6659899	3276	0,0305	0,7576	5420	4081	1339
L06798	1	-46,5727839	-23,6615519	1529	0,0654	0,7576	2554	1828	726
L06799	1	-46,5709372	-23,6527605	2910	0,0344	0,7576	4988	3366	1622
L06800	1	-46,6082220	-23,6667266	3115	0,0321	0,7576	5224	3876	1348
L07082	3	-46,5686640	-23,7226012	3863	0,0777	2,2727	5863	4522	1341
L07083	3	-46,5671770	-23,7246305	3792	0,0791	2,2727	6107	4279	1828
L07087	1	-46,5731743	-23,7229215	2752	0,0363	0,7576	4216	3212	1004
L07088	1	-46,5719400	-23,7418360	3694	0,0271	0,7576	5522	4136	1386
L07093	4	-46,5714110	-23,7317630	2984	0,134	3,0303	4389	3383	1006
L07094	3	-46,5773288	-23,7251947	3149	0,0953	2,2727	4908	3601	1307
L07095	2	-46,5681980	-23,7215630	3744	0,0534	1,5152	6253	4293	1960
L07097	1	-46,5762215	-23,7400399	595	0,1681	0,7576	895	664	231
L10343	2	-46,5304577	-23,7819645	3566	0,0561	1,5152	5636	4031	1605
L10346	1	-46,5543780	-23,7293500	3227	0,031	0,7576	5146	3697	1449
L10349	1	-46,5993840	-23,7504530	3523	0,0284	0,7576	5191	3964	1227
L10351	1	-46,5603201	-23,8287735	2169	0,0461	0,7576	3580	2495	1085
L10357	3	-46,5900996	-23,7353646	2391	0,1255	2,2727	3475	2726	749
L10359	1	-46,5557359	-23,7401940	2813	0,0355	0,7576	4567	3224	1343
L10368	1	-46,5788159	-23,7338980	5018	0,0199	0,7576	7686	5820	1866
L10369	1	-46,5492121	-23,7487340	2216	0,0451	0,7576	3255	2547	708
L10370	2	-46,6108760	-23,7710540	1747	0,1145	1,5152	2563	2039	524
L10372	1	-46,5300873	-23,7829370	970	0,1031	0,7576	1598	1112	486
L10378	1	-46,6014671	-23,7521553	338	0,2959	0,7576	491	380	111
L10380	1	-46,5501460	-23,7386150	1142	0,0876	0,7576	1691	1322	369
L10520	1	-46,5420768	-23,7092800	3962	0,0252	0,7576	6082	4575	1507
L10523	2	-46,5458154	-23,6922331	3407	0,0587	1,5152	5818	4061	1757
L10524	1	-46,5355563	-23,7044171	3127	0,032	0,7576	5066	3586	1480
L10526	3	-46,5296551	-23,7104398	2840	0,1056	2,2727	4594	3397	1197
L10527	3	-46,5569558	-23,6958244	1672	0,1794	2,2727	3021	1921	1100
L10528	4	-46,5316499	-23,7062854	2075	0,1928	3,0303	3292	2480	812
L10529	1	-46,5210263	-23,7073137	1344	0,0744	0,7576	1988	1558	430
L10534	3	-46,5303661	-23,7028651	690	0,4348	2,2727	1029	812	217
L10535	4	-46,5355464	-23,7067193	3281	0,1219	3,0303	5216	3764	1452
L10537	2	-46,5217845	-23,7079025	1919	0,1042	1,5152	3018	2266	752
L10538	3	-46,5268109	-23,7075040	3193	0,094	2,2727	5028	3738	1290
L10539	1	-46,5417310	-23,7077940	868	0,1152	0,7576	1298	1013	285
L10541	2	-46,5593550	-23,6972650	3833	0,0522	1,5152	5926	4389	1537
