cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03955	3	-46,5479655	-23,7159646	3704	0,081	3,1579	6126	4304	1822
L03957	1	-46,5506560	-23,7109210	1694	0,059	1,0526	2975	1921	1054
L03960	1	-46,5340573	-23,7247585	3267	0,0306	1,0526	4736	3669	1067
L03962	1	-46,5312069	-23,7383016	3438	0,0291	1,0526	4967	3828	1139
L03965	2	-46,5394877	-23,7234957	2748	0,0728	2,1053	4365	3032	1333
L03966	3	-46,5239690	-23,7253840	2604	0,1152	3,1579	3744	2918	826
L03968	1	-46,5306700	-23,7278770	3349	0,0299	1,0526	5325	3948	1377
L03971	3	-46,5376257	-23,7371831	1611	0,1862	3,1579	2398	1785	613
L03972	2	-46,5384635	-23,7367389	3177	0,063	2,1053	4773	3598	1175
L03979	2	-46,5264294	-23,7170860	4315	0,0463	2,1053	6708	4915	1793
L03983	2	-46,5413193	-23,7305837	1326	0,1508	2,1053	2005	1540	465
L03984	3	-46,5424192	-23,7186662	2052	0,1462	3,1579	3298	2324	974
L03985	1	-46,5345083	-23,7238608	1795	0,0557	1,0526	2614	2044	570
L03987	2	-46,5378519	-23,7282051	2915	0,0686	2,1053	4176	3268	908
L03990	1	-46,5272283	-23,7179138	3130	0,0319	1,0526	4842	3583	1259
L03993	1	-46,5479549	-23,7130220	2969	0,0337	1,0526	4673	3394	1279
L06772	1	-46,5618680	-23,6746313	2853	0,0351	1,0526	4554	3404	1150
L06773	2	-46,5748460	-23,6838690	3492	0,0573	2,1053	5996	4051	1945
L06776	1	-46,5705760	-23,7003330	2294	0,0436	1,0526	3776	2792	984
L06782	1	-46,5625426	-23,6854896	2462	0,0406	1,0526	4176	2798	1378
L06783	1	-46,5712670	-23,6858200	2290	0,0437	1,0526	3711	2766	945
L06789	1	-46,5687518	-23,6525327	2723	0,0367	1,0526	4876	3195	1681
L06793	3	-46,5725179	-23,6552713	4018	0,0747	3,1579	7632	4758	2874
L06799	2	-46,5709372	-23,6527605	2910	0,0687	2,1053	4988	3366	1622
L07082	3	-46,5686640	-23,7226012	3863	0,0777	3,1579	5863	4522	1341
L07083	3	-46,5671770	-23,7246305	3792	0,0791	3,1579	6107	4279	1828
L07084	1	-46,5728440	-23,7385800	4259	0,0235	1,0526	6239	4738	1501
L07085	1	-46,5763830	-23,7413500	3754	0,0266	1,0526	5378	4236	1142
L07086	3	-46,5847430	-23,7228060	2973	0,1009	3,1579	4724	3378	1346
L07088	1	-46,5719400	-23,7418360	3694	0,0271	1,0526	5522	4136	1386
L07091	2	-46,5887880	-23,7158080	3501	0,0571	2,1053	5333	4005	1328
L07092	1	-46,5714550	-23,7164980	3092	0,0323	1,0526	4678	3646	1032
L07093	1	-46,5714110	-23,7317630	2984	0,0335	1,0526	4389	3383	1006
L07094	6	-46,5773288	-23,7251947	3149	0,1905	6,3158	4908	3601	1307
L07095	3	-46,5681980	-23,7215630	3744	0,0801	3,1579	6253	4293	1960
L07098	3	-46,5883300	-23,7165890	1688	0,1777	3,1579	2567	1999	568
L07099	1	-46,5857789	-23,7063229	1693	0,0591	1,0526	2856	1965	891
L07100	1	-46,5757068	-23,7415408	3689	0,0271	1,0526	5557	4244	1313
L07102	2	-46,5823690	-23,7207720	1435	0,1394	2,1053	2151	1688	463
L07104	1	-46,5764950	-23,7301489	351	0,2849	1,0526	507	396	111
L07105	2	-46,5815984	-23,7168713	1196	0,1672	2,1053	1779	1404	375
L10349	3	-46,5993840	-23,7504530	3523	0,0852	3,1579	5191	3964	1227
L10352	2	-46,6073310	-23,7448240	4841	0,0413	2,1053	7276	5564	1712
L10359	1	-46,5557359	-23,7401940	2813	0,0355	1,0526	4567	3224	1343
L10361	1	-46,6036593	-23,7549526	2572	0,0389	1,0526	3935	3025	910
L10364	2	-46,5776197	-23,7559880	3311	0,0604	2,1053	4933	3777	1156
L10368	2	-46,5788159	-23,7338980	5018	0,0399	2,1053	7686	5820	1866
L10520	2	-46,5420768	-23,7092800	3962	0,0505	2,1053	6082	4575	1507
L10525	1	-46,5421281	-23,7051226	3529	0,0283	1,0526	6224	3976	2248
L10528	1	-46,5316499	-23,7062854	2075	0,0482	1,0526	3292	2480	812
L10530	1	-46,5335771	-23,7063680	501	0,1996	1,0526	866	614	252
L10535	2	-46,5355464	-23,7067193	3281	0,061	2,1053	5216	3764	1452
L10541	1	-46,5593550	-23,6972650	3833	0,0261	1,0526	5926	4389	1537
