cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	3	-46,5415630	-23,7144040	356	0,8427	1,1111	524	411	113
L03950	2	-46,5496537	-23,7094670	2719	0,0736	0,7407	4433	3083	1350
L03951	3	-46,5496940	-23,7063970	2491	0,1204	1,1111	3975	2934	1041
L03955	4	-46,5479655	-23,7159646	3704	0,108	1,4815	6126	4304	1822
L03956	3	-46,5568820	-23,7075360	1533	0,1957	1,1111	2513	1740	773
L03957	2	-46,5506560	-23,7109210	1694	0,1181	0,7407	2975	1921	1054
L03959	2	-46,5273920	-23,7411880	2811	0,0711	0,7407	4034	3173	861
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,3704	4736	3669	1067
L03968	2	-46,5306700	-23,7278770	3349	0,0597	0,7407	5325	3948	1377
L03969	1	-46,5401449	-23,7130179	2329	0,0429	0,3704	3843	2637	1206
L03970	1	-46,5591090	-23,7130393	1529	0,0654	0,3704	2468	1753	715
L03973	3	-46,5302901	-23,7552072	2521	0,119	1,1111	3630	2891	739
L03974	1	-46,5439337	-23,7269223	1479	0,0676	0,3704	2130	1697	433
L03982	1	-46,5433437	-23,7247021	846	0,1182	0,3704	1363	989	374
L03989	1	-46,5339255	-23,7156101	3243	0,0308	0,3704	4680	3762	918
L03992	2	-46,5569610	-23,7083270	1295	0,1544	0,7407	1888	1495	393
L06770	11	-46,5525212	-23,6901319	2732	0,4026	4,0741	4186	3204	982
L06771	2	-46,5674510	-23,6934030	3881	0,0515	0,7407	6496	4542	1954
L06772	9	-46,5618680	-23,6746313	2853	0,3155	3,3333	4554	3404	1150
L06773	3	-46,5748460	-23,6838690	3492	0,0859	1,1111	5996	4051	1945
L06775	2	-46,5780242	-23,7026208	4021	0,0497	0,7407	6654	4791	1863
L06777	18	-46,5578080	-23,6812590	2740	0,6569	6,6667	4871	3184	1687
L06778	16	-46,5560028	-23,6894088	2428	0,659	5,9259	4375	2778	1597
L06781	1	-46,5702617	-23,6948544	2315	0,0432	0,3704	4248	2749	1499
L06782	53	-46,5625426	-23,6854896	2462	2,1527	19,6296	4176	2798	1378
L06787	1	-46,5857821	-23,6687471	3985	0,0251	0,3704	7098	4840	2258
L06789	4	-46,5687518	-23,6525327	2723	0,1469	1,4815	4876	3195	1681
L06791	4	-46,5618751	-23,6641932	4022	0,0995	1,4815	6778	4774	2004
L06793	6	-46,5725179	-23,6552713	4018	0,1493	2,2222	7632	4758	2874
L06796	1	-46,5960661	-23,6699573	1290	0,0775	0,3704	2156	1623	533
L06797	1	-46,5983816	-23,6565152	2510	0,0398	0,3704	4078	3127	951
L06798	3	-46,5727839	-23,6615519	1529	0,1962	1,1111	2554	1828	726
L06799	6	-46,5709372	-23,6527605	2910	0,2062	2,2222	4988	3366	1622
L06801	3	-46,5644658	-23,6605513	2935	0,1022	1,1111	5176	3395	1781
L06802	2	-46,5678450	-23,6664150	2222	0,09	0,7407	3481	2675	806
L06803	6	-46,5720030	-23,6577680	1682	0,3567	2,2222	2689	2000	689
L07082	3	-46,5686640	-23,7226012	3863	0,0777	1,1111	5863	4522	1341
L07083	5	-46,5671770	-23,7246305	3792	0,1319	1,8519	6107	4279	1828
L07086	2	-46,5847430	-23,7228060	2973	0,0673	0,7407	4724	3378	1346
L07087	1	-46,5731743	-23,7229215	2752	0,0363	0,3704	4216	3212	1004
L07088	1	-46,5719400	-23,7418360	3694	0,0271	0,3704	5522	4136	1386
L07089	1	-46,5942676	-23,7150856	3415	0,0293	0,3704	5267	3929	1338
L07090	1	-46,5837930	-23,7111350	2839	0,0352	0,3704	4468	3370	1098
L07091	1	-46,5887880	-23,7158080	3501	0,0286	0,3704	5333	4005	1328
L07092	3	-46,5714550	-23,7164980	3092	0,097	1,1111	4678	3646	1032
L07094	1	-46,5773288	-23,7251947	3149	0,0318	0,3704	4908	3601	1307
L07095	10	-46,5681980	-23,7215630	3744	0,2671	3,7037	6253	4293	1960
L07096	1	-46,5611610	-23,7212380	2261	0,0442	0,3704	3603	2557	1046
L07102	1	-46,5823690	-23,7207720	1435	0,0697	0,3704	2151	1688	463
L07105	2	-46,5815984	-23,7168713	1196	0,1672	0,7407	1779	1404	375
L10343	1	-46,5304577	-23,7819645	3566	0,028	0,3704	5636	4031	1605
L10344	1	-46,5492480	-23,7482930	2752	0,0363	0,3704	4043	3185	858
L10346	3	-46,5543780	-23,7293500	3227	0,093	1,1111	5146	3697	1449
L10352	1	-46,6073310	-23,7448240	4841	0,0207	0,3704	7276	5564	1712
L10353	1	-46,5661672	-23,7428574	1854	0,0539	0,3704	2860	2125	735
L10358	3	-46,5571470	-23,7345289	2075	0,1446	1,1111	3401	2355	1046
L10369	2	-46,5492121	-23,7487340	2216	0,0903	0,7407	3255	2547	708
L10370	1	-46,6108760	-23,7710540	1747	0,0572	0,3704	2563	2039	524
L10376	2	-46,5989358	-23,7755274	1916	0,1044	0,7407	2813	2210	603
L10377	2	-46,5214577	-23,7753688	1230	0,1626	0,7407	1781	1398	383
L10520	3	-46,5420768	-23,7092800	3962	0,0757	1,1111	6082	4575	1507
L10521	2	-46,5457520	-23,6942020	2792	0,0716	0,7407	4355	3244	1111
L10522	2	-46,5420990	-23,6924220	3505	0,0571	0,7407	5982	4058	1924
L10523	5	-46,5458154	-23,6922331	3407	0,1468	1,8519	5818	4061	1757
L10525	9	-46,5421281	-23,7051226	3529	0,255	3,3333	6224	3976	2248
L10527	4	-46,5569558	-23,6958244	1672	0,2392	1,4815	3021	1921	1100
L10536	4	-46,5452788	-23,6890829	2084	0,1919	1,4815	3575	2454	1121
L10541	7	-46,5593550	-23,6972650	3833	0,1826	2,5926	5926	4389	1537
