cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	9	-46,5496537	-23,7094670	2719	0,331	1,0369	4433	3083	1350
L03951	4	-46,5496940	-23,7063970	2491	0,1606	0,4608	3975	2934	1041
L03952	1	-46,5484150	-23,7127260	1407	0,0711	0,1152	2247	1606	641
L03954	2	-46,5351573	-23,7328634	2096	0,0954	0,2304	3226	2330	896
L03955	4	-46,5479655	-23,7159646	3704	0,108	0,4608	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,1152	2513	1740	773
L03957	1	-46,5506560	-23,7109210	1694	0,059	0,1152	2975	1921	1054
L03958	1	-46,5263510	-23,7177830	2715	0,0368	0,1152	4362	3115	1247
L03959	4	-46,5273920	-23,7411880	2811	0,1423	0,4608	4034	3173	861
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,1152	4736	3669	1067
L03961	1	-46,5301100	-23,7544160	1483	0,0674	0,1152	2089	1676	413
L03962	10	-46,5312069	-23,7383016	3438	0,2909	1,1521	4967	3828	1139
L03964	6	-46,5424960	-23,7270120	2712	0,2212	0,6912	4071	2989	1082
L03965	3	-46,5394877	-23,7234957	2748	0,1092	0,3456	4365	3032	1333
L03967	5	-46,5362210	-23,7382845	1295	0,3861	0,576	1805	1457	348
L03968	3	-46,5306700	-23,7278770	3349	0,0896	0,3456	5325	3948	1377
L03969	4	-46,5401449	-23,7130179	2329	0,1717	0,4608	3843	2637	1206
L03971	5	-46,5376257	-23,7371831	1611	0,3104	0,576	2398	1785	613
L03972	5	-46,5384635	-23,7367389	3177	0,1574	0,576	4773	3598	1175
L03973	2	-46,5302901	-23,7552072	2521	0,0793	0,2304	3630	2891	739
L03974	1	-46,5439337	-23,7269223	1479	0,0676	0,1152	2130	1697	433
L03975	11	-46,5280659	-23,7398567	3476	0,3165	1,2673	4976	3933	1043
L03977	4	-46,5361406	-23,7345754	1817	0,2201	0,4608	2574	2054	520
L03979	1	-46,5264294	-23,7170860	4315	0,0232	0,1152	6708	4915	1793
L03980	2	-46,5273141	-23,7298404	2356	0,0849	0,2304	3546	2778	768
L03983	2	-46,5413193	-23,7305837	1326	0,1508	0,2304	2005	1540	465
L03984	3	-46,5424192	-23,7186662	2052	0,1462	0,3456	3298	2324	974
L03986	4	-46,5377560	-23,7343024	1796	0,2227	0,4608	2583	2026	557
