cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	3	-46,5496537	-23,7094670	2719	0,1103	3,4884	4433	3083	1350
L03951	1	-46,5496940	-23,7063970	2491	0,0401	1,1628	3975	2934	1041
L03958	1	-46,5263510	-23,7177830	2715	0,0368	1,1628	4362	3115	1247
L03962	2	-46,5312069	-23,7383016	3438	0,0582	2,3256	4967	3828	1139
L03964	19	-46,5424960	-23,7270120	2712	0,7006	22,093	4071	2989	1082
L03968	2	-46,5306700	-23,7278770	3349	0,0597	2,3256	5325	3948	1377
L03969	2	-46,5401449	-23,7130179	2329	0,0859	2,3256	3843	2637	1206
L03970	1	-46,5591090	-23,7130393	1529	0,0654	1,1628	2468	1753	715
L03972	2	-46,5384635	-23,7367389	3177	0,063	2,3256	4773	3598	1175
L03974	11	-46,5439337	-23,7269223	1479	0,7437	12,7907	2130	1697	433
L03975	3	-46,5280659	-23,7398567	3476	0,0863	3,4884	4976	3933	1043
L03980	1	-46,5273141	-23,7298404	2356	0,0424	1,1628	3546	2778	768
L03982	7	-46,5433437	-23,7247021	846	0,8274	8,1395	1363	989	374
L03983	2	-46,5413193	-23,7305837	1326	0,1508	2,3256	2005	1540	465
L03984	3	-46,5424192	-23,7186662	2052	0,1462	3,4884	3298	2324	974
L03985	2	-46,5345083	-23,7238608	1795	0,1114	2,3256	2614	2044	570
L03987	3	-46,5378519	-23,7282051	2915	0,1029	3,4884	4176	3268	908
L06773	1	-46,5748460	-23,6838690	3492	0,0286	1,1628	5996	4051	1945
L06779	1	-46,5811459	-23,6991489	1442	0,0693	1,1628	2231	1776	455
L06784	1	-46,5801575	-23,6989963	2320	0,0431	1,1628	3782	2738	1044
L06799	1	-46,5709372	-23,6527605	2910	0,0344	1,1628	4988	3366	1622
L06800	1	-46,6082220	-23,6667266	3115	0,0321	1,1628	5224	3876	1348
L07082	1	-46,5686640	-23,7226012	3863	0,0259	1,1628	5863	4522	1341
L07092	1	-46,5714550	-23,7164980	3092	0,0323	1,1628	4678	3646	1032
L07098	2	-46,5883300	-23,7165890	1688	0,1185	2,3256	2567	1999	568
L07099	1	-46,5857789	-23,7063229	1693	0,0591	1,1628	2856	1965	891
L10346	1	-46,5543780	-23,7293500	3227	0,031	1,1628	5146	3697	1449
L10359	3	-46,5557359	-23,7401940	2813	0,1066	3,4884	4567	3224	1343
L10368	1	-46,5788159	-23,7338980	5018	0,0199	1,1628	7686	5820	1866
L10520	2	-46,5420768	-23,7092800	3962	0,0505	2,3256	6082	4575	1507
L10521	1	-46,5457520	-23,6942020	2792	0,0358	1,1628	4355	3244	1111
L10523	1	-46,5458154	-23,6922331	3407	0,0294	1,1628	5818	4061	1757
L10526	2	-46,5296551	-23,7104398	2840	0,0704	2,3256	4594	3397	1197
