cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03958	1	-46,5263510	-23,7177830	2715	0,0368	5,8824	4362	3115	1247
L03977	1	-46,5361406	-23,7345754	1817	0,055	5,8824	2574	2054	520
L06778	1	-46,5560028	-23,6894088	2428	0,0412	5,8824	4375	2778	1597
L06794	2	-46,5925299	-23,6659899	3276	0,0611	11,7647	5420	4081	1339
L07096	1	-46,5611610	-23,7212380	2261	0,0442	5,8824	3603	2557	1046
L07102	1	-46,5823690	-23,7207720	1435	0,0697	5,8824	2151	1688	463
L10344	2	-46,5492480	-23,7482930	2752	0,0727	11,7647	4043	3185	858
L10348	1	-46,5766199	-23,7553818	2714	0,0368	5,8824	3794	3023	771
L10349	1	-46,5993840	-23,7504530	3523	0,0284	5,8824	5191	3964	1227
L10352	1	-46,6073310	-23,7448240	4841	0,0207	5,8824	7276	5564	1712
L10359	1	-46,5557359	-23,7401940	2813	0,0355	5,8824	4567	3224	1343
L10360	1	-46,6120933	-23,7447783	6857	0,0146	5,8824	10591	7930	2661
L10380	1	-46,5501460	-23,7386150	1142	0,0876	5,8824	1691	1322	369
L10525	1	-46,5421281	-23,7051226	3529	0,0283	5,8824	6224	3976	2248
L10538	1	-46,5268109	-23,7075040	3193	0,0313	5,8824	5028	3738	1290
