cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	0,346	524	411	113
L03950	5	-46,5496537	-23,7094670	2719	0,1839	1,7301	4433	3083	1350
L03951	5	-46,5496940	-23,7063970	2491	0,2007	1,7301	3975	2934	1041
L03952	3	-46,5484150	-23,7127260	1407	0,2132	1,0381	2247	1606	641
L03955	8	-46,5479655	-23,7159646	3704	0,216	2,7682	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,346	2513	1740	773
L03957	1	-46,5506560	-23,7109210	1694	0,059	0,346	2975	1921	1054
L03958	1	-46,5263510	-23,7177830	2715	0,0368	0,346	4362	3115	1247
L03960	2	-46,5340573	-23,7247585	3267	0,0612	0,692	4736	3669	1067
L03962	2	-46,5312069	-23,7383016	3438	0,0582	0,692	4967	3828	1139
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,346	3508	2587	921
L03965	1	-46,5394877	-23,7234957	2748	0,0364	0,346	4365	3032	1333
L03966	1	-46,5239690	-23,7253840	2604	0,0384	0,346	3744	2918	826
L03967	1	-46,5362210	-23,7382845	1295	0,0772	0,346	1805	1457	348
L03968	3	-46,5306700	-23,7278770	3349	0,0896	1,0381	5325	3948	1377
L03969	1	-46,5401449	-23,7130179	2329	0,0429	0,346	3843	2637	1206
L03970	5	-46,5591090	-23,7130393	1529	0,327	1,7301	2468	1753	715
L03972	1	-46,5384635	-23,7367389	3177	0,0315	0,346	4773	3598	1175
L03975	3	-46,5280659	-23,7398567	3476	0,0863	1,0381	4976	3933	1043
L03978	4	-46,5388049	-23,7229366	1360	0,2941	1,3841	2077	1587	490
L03979	5	-46,5264294	-23,7170860	4315	0,1159	1,7301	6708	4915	1793
L03980	1	-46,5273141	-23,7298404	2356	0,0424	0,346	3546	2778	768
L03984	5	-46,5424192	-23,7186662	2052	0,2437	1,7301	3298	2324	974
L03985	1	-46,5345083	-23,7238608	1795	0,0557	0,346	2614	2044	570
L03987	1	-46,5378519	-23,7282051	2915	0,0343	0,346	4176	3268	908
L03988	1	-46,5384489	-23,7370328	1853	0,054	0,346	2732	2033	699
L03989	2	-46,5339255	-23,7156101	3243	0,0617	0,692	4680	3762	918
L03991	1	-46,5300750	-23,7251281	221	0,4525	0,346	363	272	91
L03992	2	-46,5569610	-23,7083270	1295	0,1544	0,692	1888	1495	393
L03993	2	-46,5479549	-23,7130220	2969	0,0674	0,692	4673	3394	1279
L06770	2	-46,5525212	-23,6901319	2732	0,0732	0,692	4186	3204	982
L06771	1	-46,5674510	-23,6934030	3881	0,0258	0,346	6496	4542	1954
L06772	3	-46,5618680	-23,6746313	2853	0,1052	1,0381	4554	3404	1150
L06773	4	-46,5748460	-23,6838690	3492	0,1145	1,3841	5996	4051	1945
L06774	3	-46,5832730	-23,7016620	2367	0,1267	1,0381	3931	2760	1171
L06777	1	-46,5578080	-23,6812590	2740	0,0365	0,346	4871	3184	1687
L06778	2	-46,5560028	-23,6894088	2428	0,0824	0,692	4375	2778	1597
L06780	3	-46,5852412	-23,6994162	2168	0,1384	1,0381	3391	2466	925
L06781	3	-46,5702617	-23,6948544	2315	0,1296	1,0381	4248	2749	1499
L06782	3	-46,5625426	-23,6854896	2462	0,1219	1,0381	4176	2798	1378
L06783	1	-46,5712670	-23,6858200	2290	0,0437	0,346	3711	2766	945
L06784	1	-46,5801575	-23,6989963	2320	0,0431	0,346	3782	2738	1044
L06785	1	-46,5772394	-23,6793819	2129	0,047	0,346	3489	2499	990
L06786	1	-46,5711486	-23,7069243	3657	0,0273	0,346	5768	4341	1427
L06787	3	-46,5857821	-23,6687471	3985	0,0753	1,0381	7098	4840	2258
