cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	0,2646	524	411	113
L03950	3	-46,5496537	-23,7094670	2719	0,1103	0,7937	4433	3083	1350
L03951	5	-46,5496940	-23,7063970	2491	0,2007	1,3228	3975	2934	1041
L03955	1	-46,5479655	-23,7159646	3704	0,027	0,2646	6126	4304	1822
L03956	3	-46,5568820	-23,7075360	1533	0,1957	0,7937	2513	1740	773
L03962	1	-46,5312069	-23,7383016	3438	0,0291	0,2646	4967	3828	1139
L03975	1	-46,5280659	-23,7398567	3476	0,0288	0,2646	4976	3933	1043
L03979	1	-46,5264294	-23,7170860	4315	0,0232	0,2646	6708	4915	1793
L03989	2	-46,5339255	-23,7156101	3243	0,0617	0,5291	4680	3762	918
L03993	3	-46,5479549	-23,7130220	2969	0,101	0,7937	4673	3394	1279
L06770	1	-46,5525212	-23,6901319	2732	0,0366	0,2646	4186	3204	982
L06771	2	-46,5674510	-23,6934030	3881	0,0515	0,5291	6496	4542	1954
L06772	1	-46,5618680	-23,6746313	2853	0,0351	0,2646	4554	3404	1150
L06773	1	-46,5748460	-23,6838690	3492	0,0286	0,2646	5996	4051	1945
L06775	2	-46,5780242	-23,7026208	4021	0,0497	0,5291	6654	4791	1863
L06776	1	-46,5705760	-23,7003330	2294	0,0436	0,2646	3776	2792	984
L06778	1	-46,5560028	-23,6894088	2428	0,0412	0,2646	4375	2778	1597
L06779	5	-46,5811459	-23,6991489	1442	0,3467	1,3228	2231	1776	455
L06780	2	-46,5852412	-23,6994162	2168	0,0923	0,5291	3391	2466	925
L06781	3	-46,5702617	-23,6948544	2315	0,1296	0,7937	4248	2749	1499
L06782	2	-46,5625426	-23,6854896	2462	0,0812	0,5291	4176	2798	1378
L06784	5	-46,5801575	-23,6989963	2320	0,2155	1,3228	3782	2738	1044
