cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	2	-46,5415630	-23,7144040	356	0,5618	0,6135	524	411	113
L03952	2	-46,5484150	-23,7127260	1407	0,1421	0,6135	2247	1606	641
L03955	4	-46,5479655	-23,7159646	3704	0,108	1,227	6126	4304	1822
L03958	12	-46,5263510	-23,7177830	2715	0,442	3,681	4362	3115	1247
L03960	18	-46,5340573	-23,7247585	3267	0,551	5,5215	4736	3669	1067
L03963	18	-46,5330960	-23,7239800	2212	0,8137	5,5215	3508	2587	921
L03964	1	-46,5424960	-23,7270120	2712	0,0369	0,3067	4071	2989	1082
L03965	6	-46,5394877	-23,7234957	2748	0,2183	1,8405	4365	3032	1333
L03966	15	-46,5239690	-23,7253840	2604	0,576	4,6012	3744	2918	826
L03968	6	-46,5306700	-23,7278770	3349	0,1792	1,8405	5325	3948	1377
L03969	7	-46,5401449	-23,7130179	2329	0,3006	2,1472	3843	2637	1206
L03971	2	-46,5376257	-23,7371831	1611	0,1241	0,6135	2398	1785	613
L03972	1	-46,5384635	-23,7367389	3177	0,0315	0,3067	4773	3598	1175
L03973	3	-46,5302901	-23,7552072	2521	0,119	0,9202	3630	2891	739
L03974	2	-46,5439337	-23,7269223	1479	0,1352	0,6135	2130	1697	433
L03977	3	-46,5361406	-23,7345754	1817	0,1651	0,9202	2574	2054	520
L03978	4	-46,5388049	-23,7229366	1360	0,2941	1,227	2077	1587	490
L03979	21	-46,5264294	-23,7170860	4315	0,4867	6,4417	6708	4915	1793
L03980	12	-46,5273141	-23,7298404	2356	0,5093	3,681	3546	2778	768
L03982	1	-46,5433437	-23,7247021	846	0,1182	0,3067	1363	989	374
L03984	5	-46,5424192	-23,7186662	2052	0,2437	1,5337	3298	2324	974
L03985	6	-46,5345083	-23,7238608	1795	0,3343	1,8405	2614	2044	570
L03986	2	-46,5377560	-23,7343024	1796	0,1114	0,6135	2583	2026	557
L03987	3	-46,5378519	-23,7282051	2915	0,1029	0,9202	4176	3268	908
L03988	1	-46,5384489	-23,7370328	1853	0,054	0,3067	2732	2033	699
L03989	35	-46,5339255	-23,7156101	3243	1,0792	10,7362	4680	3762	918
L03990	9	-46,5272283	-23,7179138	3130	0,2875	2,7607	4842	3583	1259
L06777	1	-46,5578080	-23,6812590	2740	0,0365	0,3067	4871	3184	1687
L06781	1	-46,5702617	-23,6948544	2315	0,0432	0,3067	4248	2749	1499
L06787	1	-46,5857821	-23,6687471	3985	0,0251	0,3067	7098	4840	2258
L06791	3	-46,5618751	-23,6641932	4022	0,0746	0,9202	6778	4774	2004
L06792	2	-46,6048300	-23,6606410	4869	0,0411	0,6135	8857	5905	2952
L06799	1	-46,5709372	-23,6527605	2910	0,0344	0,3067	4988	3366	1622
L07085	1	-46,5763830	-23,7413500	3754	0,0266	0,3067	5378	4236	1142
L07091	1	-46,5887880	-23,7158080	3501	0,0286	0,3067	5333	4005	1328
L07095	1	-46,5681980	-23,7215630	3744	0,0267	0,3067	6253	4293	1960
L07106	1	-46,5763029	-23,7195979	2231	0,0448	0,3067	3695	2552	1143
L10344	3	-46,5492480	-23,7482930	2752	0,109	0,9202	4043	3185	858
L10345	4	-46,5854170	-23,7343969	2469	0,162	1,227	3723	2892	831
L10347	1	-46,5970620	-23,7702100	2991	0,0334	0,3067	4561	3449	1112
L10349	1	-46,5993840	-23,7504530	3523	0,0284	0,3067	5191	3964	1227
L10350	1	-46,6055310	-23,7555600	2925	0,0342	0,3067	4526	3389	1137
L10352	1	-46,6073310	-23,7448240	4841	0,0207	0,3067	7276	5564	1712
L10353	1	-46,5661672	-23,7428574	1854	0,0539	0,3067	2860	2125	735
L10357	3	-46,5900996	-23,7353646	2391	0,1255	0,9202	3475	2726	749
L10358	1	-46,5571470	-23,7345289	2075	0,0482	0,3067	3401	2355	1046
L10359	1	-46,5557359	-23,7401940	2813	0,0355	0,3067	4567	3224	1343
L10360	1	-46,6120933	-23,7447783	6857	0,0146	0,3067	10591	7930	2661
L10368	1	-46,5788159	-23,7338980	5018	0,0199	0,3067	7686	5820	1866
L10370	2	-46,6108760	-23,7710540	1747	0,1145	0,6135	2563	2039	524
L10372	1	-46,5300873	-23,7829370	970	0,1031	0,3067	1598	1112	486
L10375	1	-46,5847755	-23,7339221	1357	0,0737	0,3067	2060	1617	443
L10376	1	-46,5989358	-23,7755274	1916	0,0522	0,3067	2813	2210	603
L10520	3	-46,5420768	-23,7092800	3962	0,0757	0,9202	6082	4575	1507
L10522	1	-46,5420990	-23,6924220	3505	0,0285	0,3067	5982	4058	1924
L10523	1	-46,5458154	-23,6922331	3407	0,0294	0,3067	5818	4061	1757
L10524	5	-46,5355563	-23,7044171	3127	0,1599	1,5337	5066	3586	1480
L10525	3	-46,5421281	-23,7051226	3529	0,085	0,9202	6224	3976	2248
L10526	35	-46,5296551	-23,7104398	2840	1,2324	10,7362	4594	3397	1197
L10527	1	-46,5569558	-23,6958244	1672	0,0598	0,3067	3021	1921	1100
L10528	6	-46,5316499	-23,7062854	2075	0,2892	1,8405	3292	2480	812
L10529	1	-46,5210263	-23,7073137	1344	0,0744	0,3067	1988	1558	430
L10530	1	-46,5335771	-23,7063680	501	0,1996	0,3067	866	614	252
L10532	1	-46,5369300	-23,7009249	2593	0,0386	0,3067	4338	3010	1328
L10535	15	-46,5355464	-23,7067193	3281	0,4572	4,6012	5216	3764	1452
L10538	14	-46,5268109	-23,7075040	3193	0,4385	4,2945	5028	3738	1290
L10539	1	-46,5417310	-23,7077940	868	0,1152	0,3067	1298	1013	285
