cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	29	-46,5736960	-23,6281079	2756	1,0522	4,3413	3936	3031	905
L03828	37	-46,5775486	-23,6354290	4928	0,7508	5,5389	7113	5376	1737
L03829	7	-46,5748539	-23,6017980	1491	0,4695	1,0479	2280	1646	634
L03830	28	-46,5749545	-23,6437552	2969	0,9431	4,1916	4119	3298	821
L03831	14	-46,5695666	-23,6448220	2120	0,6604	2,0958	3238	2331	907
L03832	19	-46,5730347	-23,6211432	1832	1,0371	2,8443	2886	2005	881
L03833	33	-46,5700307	-23,6362136	3592	0,9187	4,9401	5230	3939	1291
L03834	9	-46,5726120	-23,6066308	3267	0,2755	1,3473	4678	3620	1058
L03835	42	-46,5643400	-23,6272959	3646	1,1519	6,2874	5449	4034	1415
L03836	25	-46,5659560	-23,6332439	3644	0,6861	3,7425	5494	3997	1497
L03837	3	-46,5754785	-23,6141958	1032	0,2907	0,4491	1565	1152	413
L03838	6	-46,5763789	-23,6236520	1262	0,4754	0,8982	1776	1415	361
L03839	21	-46,5778738	-23,6374845	2854	0,7358	3,1437	4180	3156	1024
L03840	31	-46,5710495	-23,6231623	4442	0,6979	4,6407	6459	4898	1561
L03841	33	-46,5736010	-23,6093189	4905	0,6728	4,9401	7551	5395	2156
L06294	15	-46,5666428	-23,6154995	3617	0,4147	2,2455	5616	4038	1578
L06295	27	-46,5510457	-23,6209219	4352	0,6204	4,0419	6342	4801	1541
L06296	1	-46,5489418	-23,6072896	1911	0,0523	0,1497	2620	2057	563
L06297	18	-46,5643922	-23,6397657	2942	0,6118	2,6946	4325	3277	1048
L06298	30	-46,5568507	-23,6253877	4341	0,6911	4,491	6342	4836	1506
L06299	28	-46,5628521	-23,6408963	3152	0,8883	4,1916	4453	3494	959
L06300	30	-46,5634737	-23,6294039	3803	0,7889	4,491	5478	4184	1294
L06301	10	-46,5638740	-23,6349540	3090	0,3236	1,497	4317	3380	937
L06302	25	-46,5612820	-23,6181008	3603	0,6939	3,7425	5225	3922	1303
L06303	25	-46,5684560	-23,6423549	3603	0,6939	3,7425	5146	4005	1141
L06304	42	-46,5565462	-23,6338868	5904	0,7114	6,2874	8731	6465	2266
L06305	23	-46,5598285	-23,6426493	3076	0,7477	3,4431	4341	3425	916
L06306	30	-46,5573917	-23,6361303	3829	0,7835	4,491	5574	4192	1382
L06307	15	-46,5517289	-23,6248440	3655	0,4104	2,2455	5277	4011	1266
L06308	12	-46,5483890	-23,6250380	1973	0,6082	1,7964	2787	2185	602
