cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	3	-46,5736960	-23,6281079	2756	0,1089	2,2059	3936	3031	905
L03828	3	-46,5775486	-23,6354290	4928	0,0609	2,2059	7113	5376	1737
L03829	4	-46,5748539	-23,6017980	1491	0,2683	2,9412	2280	1646	634
L03830	3	-46,5749545	-23,6437552	2969	0,101	2,2059	4119	3298	821
L03832	15	-46,5730347	-23,6211432	1832	0,8188	11,0294	2886	2005	881
L03833	4	-46,5700307	-23,6362136	3592	0,1114	2,9412	5230	3939	1291
L03834	8	-46,5726120	-23,6066308	3267	0,2449	5,8824	4678	3620	1058
L03836	8	-46,5659560	-23,6332439	3644	0,2195	5,8824	5494	3997	1497
L03838	1	-46,5763789	-23,6236520	1262	0,0792	0,7353	1776	1415	361
L03839	5	-46,5778738	-23,6374845	2854	0,1752	3,6765	4180	3156	1024
L03840	11	-46,5710495	-23,6231623	4442	0,2476	8,0882	6459	4898	1561
L03841	7	-46,5736010	-23,6093189	4905	0,1427	5,1471	7551	5395	2156
L06294	5	-46,5666428	-23,6154995	3617	0,1382	3,6765	5616	4038	1578
L06295	3	-46,5510457	-23,6209219	4352	0,0689	2,2059	6342	4801	1541
L06297	1	-46,5643922	-23,6397657	2942	0,034	0,7353	4325	3277	1048
L06298	5	-46,5568507	-23,6253877	4341	0,1152	3,6765	6342	4836	1506
L06299	2	-46,5628521	-23,6408963	3152	0,0635	1,4706	4453	3494	959
L06300	4	-46,5634737	-23,6294039	3803	0,1052	2,9412	5478	4184	1294
L06301	1	-46,5638740	-23,6349540	3090	0,0324	0,7353	4317	3380	937
L06302	12	-46,5612820	-23,6181008	3603	0,3331	8,8235	5225	3922	1303
L06304	10	-46,5565462	-23,6338868	5904	0,1694	7,3529	8731	6465	2266
L06305	6	-46,5598285	-23,6426493	3076	0,1951	4,4118	4341	3425	916
L06306	6	-46,5573917	-23,6361303	3829	0,1567	4,4118	5574	4192	1382
L06307	6	-46,5517289	-23,6248440	3655	0,1642	4,4118	5277	4011	1266
L06308	3	-46,5483890	-23,6250380	1973	0,1521	2,2059	2787	2185	602
