cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	21	-46,5736960	-23,6281079	2756	0,762	3,3228	3936	3031	905
L03828	27	-46,5775486	-23,6354290	4928	0,5479	4,2722	7113	5376	1737
L03829	3	-46,5748539	-23,6017980	1491	0,2012	0,4747	2280	1646	634
L03830	17	-46,5749545	-23,6437552	2969	0,5726	2,6899	4119	3298	821
L03831	9	-46,5695666	-23,6448220	2120	0,4245	1,4241	3238	2331	907
L03832	12	-46,5730347	-23,6211432	1832	0,655	1,8987	2886	2005	881
L03833	32	-46,5700307	-23,6362136	3592	0,8909	5,0633	5230	3939	1291
L03834	14	-46,5726120	-23,6066308	3267	0,4285	2,2152	4678	3620	1058
L03835	25	-46,5643400	-23,6272959	3646	0,6857	3,9557	5449	4034	1415
L03836	31	-46,5659560	-23,6332439	3644	0,8507	4,9051	5494	3997	1497
L03837	6	-46,5754785	-23,6141958	1032	0,5814	0,9494	1565	1152	413
L03838	6	-46,5763789	-23,6236520	1262	0,4754	0,9494	1776	1415	361
L03839	20	-46,5778738	-23,6374845	2854	0,7008	3,1646	4180	3156	1024
L03840	33	-46,5710495	-23,6231623	4442	0,7429	5,2215	6459	4898	1561
L03841	33	-46,5736010	-23,6093189	4905	0,6728	5,2215	7551	5395	2156
L06294	40	-46,5666428	-23,6154995	3617	1,1059	6,3291	5616	4038	1578
L06295	29	-46,5510457	-23,6209219	4352	0,6664	4,5886	6342	4801	1541
L06296	6	-46,5489418	-23,6072896	1911	0,314	0,9494	2620	2057	563
L06297	22	-46,5643922	-23,6397657	2942	0,7478	3,481	4325	3277	1048
L06298	32	-46,5568507	-23,6253877	4341	0,7372	5,0633	6342	4836	1506
L06299	26	-46,5628521	-23,6408963	3152	0,8249	4,1139	4453	3494	959
L06300	33	-46,5634737	-23,6294039	3803	0,8677	5,2215	5478	4184	1294
L06301	18	-46,5638740	-23,6349540	3090	0,5825	2,8481	4317	3380	937
L06302	25	-46,5612820	-23,6181008	3603	0,6939	3,9557	5225	3922	1303
L06303	15	-46,5684560	-23,6423549	3603	0,4163	2,3734	5146	4005	1141
L06304	36	-46,5565462	-23,6338868	5904	0,6098	5,6962	8731	6465	2266
L06305	14	-46,5598285	-23,6426493	3076	0,4551	2,2152	4341	3425	916
L06306	16	-46,5573917	-23,6361303	3829	0,4179	2,5316	5574	4192	1382
L06307	19	-46,5517289	-23,6248440	3655	0,5198	3,0063	5277	4011	1266
L06308	12	-46,5483890	-23,6250380	1973	0,6082	1,8987	2787	2185	602
