cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	45	-46,6357754	-23,5454496	762	5,9055	0,007	1384	845	539
L00002	112	-46,6458082	-23,5644282	2366	4,7337	0,0174	3779	2548	1231
L00003	198	-46,6455650	-23,5547500	3462	5,7192	0,0308	5696	3792	1904
L00004	221	-46,6511260	-23,5652103	5566	3,9705	0,0344	9838	5921	3917
L00005	167	-46,6603762	-23,5406137	4231	3,9471	0,026	8248	4503	3745
L00006	312	-46,6471893	-23,5496488	4560	6,8421	0,0485	8358	5061	3297
L00007	135	-46,6432717	-23,5529543	2073	6,5123	0,021	3791	2317	1474
L00008	296	-46,6464095	-23,5560819	3804	7,7813	0,0461	6983	4278	2705
L00009	58	-46,6401698	-23,5538581	853	6,7995	0,009	1409	943	466
L00010	284	-46,6355899	-23,5623979	3198	8,8806	0,0442	5666	3638	2028
L00011	280	-46,6535747	-23,5498948	3990	7,0175	0,0436	7072	4407	2665
L00012	182	-46,6461964	-23,5700830	3379	5,3862	0,0283	6283	3656	2627
L00013	238	-46,6421456	-23,5572933	3038	7,8341	0,037	5416	3426	1990
L00014	318	-46,6289218	-23,5548030	2907	10,9391	0,0495	5182	3459	1723
L00015	300	-46,6368132	-23,5574886	3804	7,8864	0,0467	7151	4273	2878
L00016	217	-46,6361305	-23,5497845	2774	7,8226	0,0338	5297	3132	2165
L00018	235	-46,6419109	-23,5592168	3564	6,5937	0,0366	7001	3906	3095
L00019	209	-46,6376429	-23,5607300	2794	7,4803	0,0325	5259	3125	2134
L00020	191	-46,6376429	-23,5607300	2410	7,9253	0,0297	5052	2698	2354
L00021	236	-46,6419109	-23,5592168	3633	6,496	0,0367	6548	4013	2535
L00022	564	-46,6521240	-23,5458002	10726	5,2583	0,0878	18525	11583	6942
L00023	183	-46,6498912	-23,5493645	2934	6,2372	0,0285	4909	3201	1708
L00024	93	-46,6497533	-23,5485991	1977	4,7041	0,0145	3234	2130	1104
L00025	149	-46,6380154	-23,5642161	2294	6,4952	0,0232	3803	2547	1256
L00026	79	-46,6351446	-23,5631017	1279	6,1767	0,0123	2088	1410	678
L00027	220	-46,6368084	-23,5498480	2737	8,038	0,0342	5430	3072	2358
L00028	59	-46,6528053	-23,5234860	712	8,2865	0,0092	1201	806	395
L00029	110	-46,6858903	-23,5271427	1912	5,7531	0,0171	2661	2067	594
L00030	217	-46,6716846	-23,5278546	4327	5,015	0,0338	8123	4653	3470
L00031	198	-46,6872489	-23,5323018	3982	4,9724	0,0308	5622	4272	1350
L00032	73	-46,6564979	-23,5376940	1730	4,2197	0,0114	2471	1844	627
L00033	160	-46,6545420	-23,5418060	3073	5,2066	0,0249	4562	3313	1249
L00034	210	-46,6605264	-23,5415277	5424	3,8717	0,0327	7993	5767	2226
L00035	182	-46,6800459	-23,5481021	4062	4,4806	0,0283	6405	4313	2092
L00036	92	-46,6671104	-23,5303076	1703	5,4022	0,0143	3037	1845	1192
L00037	225	-46,6566164	-23,5307137	3622	6,212	0,035	6463	3952	2511
L00038	166	-46,6844226	-23,5340373	3322	4,997	0,0258	5271	3545	1726
L00039	216	-46,6663954	-23,5361229	5587	3,8661	0,0336	8062	5901	2161
L00040	38	-46,6597606	-23,5452831	1096	3,4672	0,0059	1577	1160	417
L00041	113	-46,6798996	-23,5306990	2228	5,0718	0,0176	3296	2395	901
L00042	118	-46,6513283	-23,5415864	1653	7,1385	0,0184	2631	1843	788
L00043	151	-46,6853794	-23,5386780	2822	5,3508	0,0235	4613	3033	1580
L00044	140	-46,6566305	-23,5207777	1605	8,7227	0,0218	2722	1815	907
L00045	181	-46,6523017	-23,5318175	2223	8,1422	0,0282	3940	2485	1455
L00046	197	-46,6555734	-23,5283610	2475	7,9596	0,0307	4656	2795	1861
L00047	80	-46,6419486	-23,5325337	1077	7,428	0,0124	1992	1229	763
L00048	134	-46,6841353	-23,5370181	2605	5,144	0,0208	3771	2812	959
L00049	259	-46,6806583	-23,5307166	4794	5,4026	0,0403	8065	5186	2879
L00050	232	-46,6531096	-23,5391595	3624	6,4018	0,0361	6577	4007	2570
L00051	245	-46,6946005	-23,5421890	3199	7,6586	0,0381	5602	3572	2030
L00052	332	-46,6832663	-23,5289919	5129	6,473	0,0517	8677	5629	3048
L00053	190	-46,6630845	-23,5450242	6130	3,0995	0,0296	9970	6457	3513
L00054	38	-46,6650200	-23,5361422	1110	3,4234	0,0059	1605	1172	433
L00055	364	-46,6566164	-23,5307137	5477	6,646	0,0566	9323	6035	3288
L00056	182	-46,6508278	-23,5375343	2485	7,3239	0,0283	4853	2751	2102
L00057	184	-46,6510689	-23,5302066	2536	7,2555	0,0286	4093	2814	1279
L00058	290	-46,6432297	-23,5320752	3279	8,8442	0,0451	6470	3731	2739
L00060	420	-46,6711550	-23,5381000	11220	3,7433	0,0653	17946	11853	6093
L00061	242	-46,6666956	-23,5298372	3574	6,7711	0,0377	6305	3946	2359
L00062	215	-46,6375237	-23,5287430	2417	8,8953	0,0335	4421	2765	1656
L00063	207	-46,6343483	-23,5436627	2748	7,5328	0,0322	5154	3085	2069
L00064	268	-46,6278434	-23,5475185	3154	8,4971	0,0417	5641	3584	2057
L00065	261	-46,6385252	-23,5376549	2347	11,1206	0,0406	4267	2744	1523
L00066	207	-46,6126881	-23,5372312	2569	8,0576	0,0322	4500	2909	1591
L00067	143	-46,6107088	-23,5252045	1524	9,3832	0,0222	2765	1755	1010
L00068	264	-46,6432775	-23,5262231	2978	8,865	0,0411	5403	3409	1994
L00069	182	-46,6240453	-23,5332439	1843	9,8752	0,0283	3469	2192	1277
L00070	279	-46,6134834	-23,5400667	3097	9,0087	0,0434	5594	3588	2006
L00071	293	-46,6341197	-23,5306628	3151	9,2986	0,0456	5785	3615	2170
L00072	83	-46,6208174	-23,5236456	712	11,6573	0,0129	1424	855	569
L00073	125	-46,6217056	-23,5381881	1365	9,1575	0,0194	2708	1593	1115
L00074	257	-46,6370866	-23,5384772	3003	8,5581	0,04	6133	3437	2696
L00075	377	-46,6325856	-23,5295792	4359	8,6488	0,0587	8045	4955	3090
L00076	1	-46,6154931	-23,5482088	16	6,25	0,0002	26	18	8
L00077	321	-46,6228821	-23,5238878	3260	9,8466	0,0499	5985	3756	2229
L00078	305	-46,6212238	-23,5429654	2922	10,4381	0,0475	5496	3398	2098
L00080	223	-46,5869070	-23,5756756	3513	6,3479	0,0347	5823	3854	1969
L00081	288	-46,5848689	-23,5392025	3783	7,613	0,0448	5984	4200	1784
L00082	250	-46,5746890	-23,5568730	3016	8,2891	0,0389	4581	3379	1202
L00083	345	-46,5997287	-23,5410220	3470	9,9424	0,0537	6501	4011	2490
L00084	513	-46,5895134	-23,5593568	5648	9,0829	0,0798	8807	6387	2420
L00085	440	-46,5978907	-23,5552089	4652	9,4583	0,0685	8050	5269	2781
L00086	287	-46,6000356	-23,5353560	3008	9,5412	0,0447	5171	3468	1703
L00087	304	-46,5842762	-23,5514675	3219	9,4439	0,0473	5617	3662	1955
L00088	92	-46,6217269	-23,5533444	1086	8,4715	0,0143	1932	1238	694
L00089	241	-46,5902871	-23,5470008	2448	9,8448	0,0375	4286	2820	1466
L00090	384	-46,5652413	-23,5675233	2619	14,6621	0,0597	4461	3203	1258
L00091	302	-46,5964833	-23,5637925	3362	8,9827	0,047	6188	3786	2402
L00092	388	-46,5828225	-23,5542479	4129	9,3969	0,0604	7164	4714	2450
L00093	424	-46,5813248	-23,5619799	3905	10,8579	0,066	6970	4489	2481
L00094	232	-46,6214361	-23,5534993	2525	9,1881	0,0361	4753	2932	1821
L00095	186	-46,5726610	-23,5574173	1942	9,5778	0,0289	3331	2227	1104
L00096	472	-46,5697601	-23,5636527	4339	10,8781	0,0734	7290	5070	2220
L00097	335	-46,5595868	-23,5719075	2702	12,3982	0,0521	4560	3187	1373
L00098	83	-46,5984516	-23,5519192	1021	8,1293	0,0129	1806	1145	661
L00099	306	-46,5683158	-23,5701115	2322	13,1783	0,0476	3989	2770	1219
L00100	368	-46,5637915	-23,5715671	3052	12,0577	0,0573	5130	3619	1511
L00101	423	-46,5902071	-23,5606910	4543	9,311	0,0658	7988	5172	2816
L00102	430	-46,5979424	-23,5532296	4896	8,7827	0,0669	8563	5548	3015
L00103	458	-46,5812316	-23,5700009	4597	9,963	0,0713	7905	5265	2640
L00106	345	-46,5939719	-23,5375195	4630	7,4514	0,0537	6924	5149	1775
L00107	184	-46,6116378	-23,5511180	2281	8,0666	0,0286	4565	2585	1980
L00108	542	-46,5976041	-23,5519593	7188	7,5403	0,0843	11883	7994	3889
L00109	69	-46,6685837	-23,5678112	2095	3,2936	0,0107	3574	2207	1367
L00110	123	-46,6602508	-23,5695486	2579	4,7693	0,0191	4741	2759	1982
L00111	330	-46,6590182	-23,5634584	7775	4,2444	0,0513	13488	8273	5215
