cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	3	-46,6357754	-23,5454496	762	0,3937	0,0136	1384	845	539
L00002	28	-46,6458082	-23,5644282	2366	1,1834	0,1268	3779	2548	1231
L00003	10	-46,6455650	-23,5547500	3462	0,2889	0,0453	5696	3792	1904
L00004	62	-46,6511260	-23,5652103	5566	1,1139	0,2809	9838	5921	3917
L00005	42	-46,6603762	-23,5406137	4231	0,9927	0,1903	8248	4503	3745
L00006	13	-46,6471893	-23,5496488	4560	0,2851	0,0589	8358	5061	3297
L00007	7	-46,6432717	-23,5529543	2073	0,3377	0,0317	3791	2317	1474
L00008	11	-46,6464095	-23,5560819	3804	0,2892	0,0498	6983	4278	2705
L00009	6	-46,6401698	-23,5538581	853	0,7034	0,0272	1409	943	466
L00010	13	-46,6355899	-23,5623979	3198	0,4065	0,0589	5666	3638	2028
L00011	15	-46,6535747	-23,5498948	3990	0,3759	0,068	7072	4407	2665
L00012	32	-46,6461964	-23,5700830	3379	0,947	0,145	6283	3656	2627
L00013	6	-46,6421456	-23,5572933	3038	0,1975	0,0272	5416	3426	1990
L00014	4	-46,6289218	-23,5548030	2907	0,1376	0,0181	5182	3459	1723
L00015	19	-46,6368132	-23,5574886	3804	0,4995	0,0861	7151	4273	2878
L00016	7	-46,6361305	-23,5497845	2774	0,2523	0,0317	5297	3132	2165
L00018	19	-46,6419109	-23,5592168	3564	0,5331	0,0861	7001	3906	3095
L00019	14	-46,6376429	-23,5607300	2794	0,5011	0,0634	5259	3125	2134
L00020	10	-46,6376429	-23,5607300	2410	0,4149	0,0453	5052	2698	2354
L00021	26	-46,6419109	-23,5592168	3633	0,7157	0,1178	6548	4013	2535
L00022	99	-46,6521240	-23,5458002	10726	0,923	0,4485	18525	11583	6942
L00023	23	-46,6498912	-23,5493645	2934	0,7839	0,1042	4909	3201	1708
L00024	12	-46,6497533	-23,5485991	1977	0,607	0,0544	3234	2130	1104
L00025	10	-46,6380154	-23,5642161	2294	0,4359	0,0453	3803	2547	1256
L00026	7	-46,6351446	-23,5631017	1279	0,5473	0,0317	2088	1410	678
L00027	9	-46,6368084	-23,5498480	2737	0,3288	0,0408	5430	3072	2358
L00028	7	-46,6528053	-23,5234860	712	0,9831	0,0317	1201	806	395
L00029	22	-46,6858903	-23,5271427	1912	1,1506	0,0997	2661	2067	594
L00030	44	-46,6716846	-23,5278546	4327	1,0169	0,1993	8123	4653	3470
L00031	58	-46,6872489	-23,5323018	3982	1,4566	0,2627	5622	4272	1350
L00032	28	-46,6564979	-23,5376940	1730	1,6185	0,1268	2471	1844	627
L00033	28	-46,6545420	-23,5418060	3073	0,9112	0,1268	4562	3313	1249
L00034	85	-46,6605264	-23,5415277	5424	1,5671	0,3851	7993	5767	2226
L00035	58	-46,6800459	-23,5481021	4062	1,4279	0,2627	6405	4313	2092
L00036	14	-46,6671104	-23,5303076	1703	0,8221	0,0634	3037	1845	1192
L00037	28	-46,6566164	-23,5307137	3622	0,7731	0,1268	6463	3952	2511
L00038	31	-46,6844226	-23,5340373	3322	0,9332	0,1404	5271	3545	1726
L00039	103	-46,6663954	-23,5361229	5587	1,8436	0,4666	8062	5901	2161
L00040	35	-46,6597606	-23,5452831	1096	3,1934	0,1586	1577	1160	417
L00041	25	-46,6798996	-23,5306990	2228	1,1221	0,1133	3296	2395	901
L00042	11	-46,6513283	-23,5415864	1653	0,6655	0,0498	2631	1843	788
L00043	33	-46,6853794	-23,5386780	2822	1,1694	0,1495	4613	3033	1580
L00044	8	-46,6566305	-23,5207777	1605	0,4984	0,0362	2722	1815	907
L00045	9	-46,6523017	-23,5318175	2223	0,4049	0,0408	3940	2485	1455
L00046	18	-46,6555734	-23,5283610	2475	0,7273	0,0815	4656	2795	1861
L00047	2	-46,6419486	-23,5325337	1077	0,1857	0,0091	1992	1229	763
L00048	28	-46,6841353	-23,5370181	2605	1,0749	0,1268	3771	2812	959
L00049	42	-46,6806583	-23,5307166	4794	0,8761	0,1903	8065	5186	2879
L00050	15	-46,6531096	-23,5391595	3624	0,4139	0,068	6577	4007	2570
L00051	40	-46,6946005	-23,5421890	3199	1,2504	0,1812	5602	3572	2030
L00052	30	-46,6832663	-23,5289919	5129	0,5849	0,1359	8677	5629	3048
L00053	123	-46,6630845	-23,5450242	6130	2,0065	0,5572	9970	6457	3513
L00054	17	-46,6650200	-23,5361422	1110	1,5315	0,077	1605	1172	433
L00055	52	-46,6566164	-23,5307137	5477	0,9494	0,2356	9323	6035	3288
L00056	22	-46,6508278	-23,5375343	2485	0,8853	0,0997	4853	2751	2102
L00057	20	-46,6510689	-23,5302066	2536	0,7886	0,0906	4093	2814	1279
L00058	12	-46,6432297	-23,5320752	3279	0,366	0,0544	6470	3731	2739
L00060	157	-46,6711550	-23,5381000	11220	1,3993	0,7112	17946	11853	6093
L00061	28	-46,6666956	-23,5298372	3574	0,7834	0,1268	6305	3946	2359
L00062	14	-46,6375237	-23,5287430	2417	0,5792	0,0634	4421	2765	1656
L00063	6	-46,6343483	-23,5436627	2748	0,2183	0,0272	5154	3085	2069
L00064	5	-46,6278434	-23,5475185	3154	0,1585	0,0227	5641	3584	2057
L00065	6	-46,6385252	-23,5376549	2347	0,2556	0,0272	4267	2744	1523
L00066	8	-46,6126881	-23,5372312	2569	0,3114	0,0362	4500	2909	1591
L00067	5	-46,6107088	-23,5252045	1524	0,3281	0,0227	2765	1755	1010
L00068	7	-46,6432775	-23,5262231	2978	0,2351	0,0317	5403	3409	1994
L00069	2	-46,6240453	-23,5332439	1843	0,1085	0,0091	3469	2192	1277
L00070	5	-46,6134834	-23,5400667	3097	0,1614	0,0227	5594	3588	2006
L00071	12	-46,6341197	-23,5306628	3151	0,3808	0,0544	5785	3615	2170
L00072	2	-46,6208174	-23,5236456	712	0,2809	0,0091	1424	855	569
L00073	2	-46,6217056	-23,5381881	1365	0,1465	0,0091	2708	1593	1115
L00074	27	-46,6370866	-23,5384772	3003	0,8991	0,1223	6133	3437	2696
L00075	31	-46,6325856	-23,5295792	4359	0,7112	0,1404	8045	4955	3090
L00077	10	-46,6228821	-23,5238878	3260	0,3067	0,0453	5985	3756	2229
L00078	2	-46,6212238	-23,5429654	2922	0,0684	0,0091	5496	3398	2098
L00080	21	-46,5869070	-23,5756756	3513	0,5978	0,0951	5823	3854	1969
L00081	22	-46,5848689	-23,5392025	3783	0,5815	0,0997	5984	4200	1784
L00082	15	-46,5746890	-23,5568730	3016	0,4973	0,068	4581	3379	1202
L00083	14	-46,5997287	-23,5410220	3470	0,4035	0,0634	6501	4011	2490
L00084	33	-46,5895134	-23,5593568	5648	0,5843	0,1495	8807	6387	2420
L00085	21	-46,5978907	-23,5552089	4652	0,4514	0,0951	8050	5269	2781
L00086	15	-46,6000356	-23,5353560	3008	0,4987	0,068	5171	3468	1703
L00087	15	-46,5842762	-23,5514675	3219	0,466	0,068	5617	3662	1955
L00088	1	-46,6217269	-23,5533444	1086	0,0921	0,0045	1932	1238	694
L00089	9	-46,5902871	-23,5470008	2448	0,3676	0,0408	4286	2820	1466
L00090	7	-46,5652413	-23,5675233	2619	0,2673	0,0317	4461	3203	1258
L00091	10	-46,5964833	-23,5637925	3362	0,2974	0,0453	6188	3786	2402
L00092	11	-46,5828225	-23,5542479	4129	0,2664	0,0498	7164	4714	2450
L00093	14	-46,5813248	-23,5619799	3905	0,3585	0,0634	6970	4489	2481
L00094	9	-46,6214361	-23,5534993	2525	0,3564	0,0408	4753	2932	1821
L00095	7	-46,5726610	-23,5574173	1942	0,3605	0,0317	3331	2227	1104
L00096	12	-46,5697601	-23,5636527	4339	0,2766	0,0544	7290	5070	2220
L00097	5	-46,5595868	-23,5719075	2702	0,185	0,0227	4560	3187	1373
L00098	7	-46,5984516	-23,5519192	1021	0,6856	0,0317	1806	1145	661
L00099	7	-46,5683158	-23,5701115	2322	0,3015	0,0317	3989	2770	1219
L00100	7	-46,5637915	-23,5715671	3052	0,2294	0,0317	5130	3619	1511
L00101	8	-46,5902071	-23,5606910	4543	0,1761	0,0362	7988	5172	2816
L00102	31	-46,5979424	-23,5532296	4896	0,6332	0,1404	8563	5548	3015
L00103	24	-46,5812316	-23,5700009	4597	0,5221	0,1087	7905	5265	2640
L00106	25	-46,5939719	-23,5375195	4630	0,54	0,1133	6924	5149	1775
L00107	15	-46,6116378	-23,5511180	2281	0,6576	0,068	4565	2585	1980
L00108	34	-46,5976041	-23,5519593	7188	0,473	0,154	11883	7994	3889
L00109	37	-46,6685837	-23,5678112	2095	1,7661	0,1676	3574	2207	1367
L00110	38	-46,6602508	-23,5695486	2579	1,4734	0,1721	4741	2759	1982
L00111	137	-46,6590182	-23,5634584	7775	1,7621	0,6206	13488	8273	5215
L00112	33	-46,6747793	-23,5889660	1522	2,1682	0,1495	2322	1627	695
L00113	80	-46,6642690	-23,5638420	4886	1,6373	0,3624	8733	5175	3558
L00114	41	-46,6627773	-23,5790597	1573	2,6065	0,1857	2374	1668	706
L00115	41	-46,6759394	-23,5867575	1903	2,1545	0,1857	3357	2042	1315
L00116	35	-46,6726051	-23,5816669	2479	1,4119	0,1586	4109	2634	1475
L00117	46	-46,6709040	-23,5923207	3231	1,4237	0,2084	5443	3456	1987
L00118	43	-46,6768341	-23,5885769	3000	1,4333	0,1948	5240	3249	1991
L00119	58	-46,6851323	-23,5877136	2315	2,5054	0,2627	3851	2471	1380
L00120	32	-46,6758302	-23,6004582	2080	1,5385	0,145	3761	2276	1485
L00121	81	-46,6790390	-23,5798975	4019	2,0154	0,3669	7199	4264	2935
L00122	72	-46,6734804	-23,5826449	2536	2,8391	0,3262	4205	2672	1533
L00123	53	-46,6731135	-23,5792999	2911	1,8207	0,2401	4967	3078	1889
L00124	83	-46,6605835	-23,5566944	5886	1,4101	0,376	10701	6297	4404
L00125	92	-46,6822891	-23,5834680	5070	1,8146	0,4168	9066	5408	3658
L00126	94	-46,6724723	-23,5954720	4055	2,3181	0,4258	6669	4338	2331
L00127	110	-46,6605835	-23,5566944	6543	1,6812	0,4983	11459	6999	4460
L00128	51	-46,6769068	-23,6001070	4033	1,2646	0,231	6994	4384	2610
L00129	56	-46,6486232	-23,5813704	3688	1,5184	0,2537	5654	3970	1684
L00130	34	-46,6437100	-23,5775691	2297	1,4802	0,154	3690	2443	1247
L00131	48	-46,6442337	-23,5847251	4283	1,1207	0,2174	7035	4617	2418
L00132	60	-46,6416210	-23,5785510	4799	1,2503	0,2718	7651	5166	2485
L00133	18	-46,6320497	-23,5811282	2886	0,6237	0,0815	4986	3131	1855
L00134	51	-46,6358455	-23,5895447	5048	1,0103	0,231	8425	5454	2971
L00135	67	-46,6431906	-23,5719338	4687	1,4295	0,3035	7477	5015	2462
L00136	23	-46,6234512	-23,5608329	4376	0,5256	0,1042	7421	4897	2524
L00137	17	-46,6125927	-23,5728431	3189	0,5331	0,077	4908	3570	1338
L00138	13	-46,6259630	-23,5630260	2231	0,5827	0,0589	3469	2565	904
L00139	23	-46,6500347	-23,5703394	1311	1,7544	0,1042	1910	1375	535
L00141	28	-46,6308086	-23,5650323	5412	0,5174	0,1268	9743	6059	3684
L00142	7	-46,6119113	-23,5742236	2615	0,2677	0,0317	4454	2944	1510
L00143	40	-46,6414511	-23,5858080	2851	1,403	0,1812	4786	3093	1693
L00144	18	-46,6356180	-23,5786976	2387	0,7541	0,0815	3961	2589	1372
L00145	27	-46,6350220	-23,5881065	3122	0,8648	0,1223	5263	3410	1853
L00146	16	-46,6223857	-23,5681693	2588	0,6182	0,0725	4585	2913	1672
L00147	19	-46,6251868	-23,5770987	3135	0,6061	0,0861	5565	3493	2072
L00148	40	-46,6273889	-23,5872670	4717	0,848	0,1812	7836	5122	2714
L00149	14	-46,6300092	-23,5766639	1700	0,8235	0,0634	2985	1875	1110
L00150	49	-46,6299014	-23,5758099	4254	1,1519	0,222	6863	4657	2206
L00151	34	-46,6209441	-23,5882398	3109	1,0936	0,154	4478	3358	1120
L00152	62	-46,6459660	-23,5746810	3105	1,9968	0,2809	4888	3361	1527
L00153	70	-46,6399206	-23,5899717	4464	1,5681	0,3171	6624	4826	1798
L00154	31	-46,6235069	-23,5745404	4585	0,6761	0,1404	7193	5134	2059
L00156	47	-46,6397771	-23,5727404	4812	0,9767	0,2129	8784	5242	3542
L00157	49	-46,6389836	-23,5697573	5456	0,8981	0,222	8809	5934	2875
L00528	13	-46,7937390	-23,6862114	5223	0,2489	0,0589	8528	6298	2230
L00531	1	-46,7890987	-23,6951667	278	0,3597	0,0045	443	336	107
L00533	2	-46,7766842	-23,6810185	3959	0,0505	0,0091	6561	4847	1714
L00534	1	-46,7872371	-23,6773522	3413	0,0293	0,0045	5703	4173	1530
L00535	4	-46,7885429	-23,6654381	2213	0,1808	0,0181	3718	2707	1011
L00536	4	-46,7920187	-23,6867819	3374	0,1186	0,0181	5561	4120	1441
L00537	3	-46,7846410	-23,6975287	3656	0,0821	0,0136	6096	4448	1648
L00539	12	-46,7886237	-23,6861459	4353	0,2757	0,0544	7243	5328	1915
L00540	9	-46,7937648	-23,6769801	2969	0,3031	0,0408	4791	3520	1271
L00541	6	-46,7778780	-23,6885051	4759	0,1261	0,0272	8374	5781	2593
L00542	8	-46,7901616	-23,6750896	3897	0,2053	0,0362	6810	4643	2167
L00543	11	-46,7810676	-23,6817954	4078	0,2697	0,0498	6766	5016	1750
L00544	6	-46,7734160	-23,6802425	3543	0,1693	0,0272	6419	4341	2078
L00545	3	-46,7766899	-23,6802567	3820	0,0785	0,0136	6802	4728	2074
L00546	7	-46,7853039	-23,6768377	3681	0,1902	0,0317	6085	4510	1575
L00547	11	-46,7885429	-23,6654381	4355	0,2526	0,0498	7471	5355	2116
L00549	20	-46,7905836	-23,6983913	3658	0,5467	0,0906	6142	4535	1607
L00550	4	-46,7755198	-23,6742186	2794	0,1432	0,0181	4775	3448	1327
L00551	1	-46,7827546	-23,6998617	2840	0,0352	0,0045	4627	3392	1235
L00552	4	-46,7867141	-23,6791697	1561	0,2562	0,0181	2634	1909	725
L00553	1	-46,7839538	-23,6721527	1713	0,0584	0,0045	2758	2071	687
L00554	1	-46,7932547	-23,6670602	2634	0,038	0,0045	4491	3254	1237
L00555	2	-46,7999759	-23,6870539	3675	0,0544	0,0091	6174	4460	1714
