cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,1946	8248	4503	3745
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,1946	8123	4653	3470
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,1946	4562	3313	1249
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,1946	7993	5767	2226
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,1946	2631	1843	788
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,1946	3940	2485	1455
L00046	1	-46,6555734	-23,5283610	2335	0,0428	0,1946	4656	2795	1861
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,1946	4853	2751	2102
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,1946	5154	3085	2069
L00065	4	-46,6385252	-23,5376549	2229	0,1795	0,7782	4267	2744	1523
L00070	3	-46,6134834	-23,5400667	2964	0,1012	0,5837	5594	3588	2006
L00078	2	-46,6212238	-23,5429654	2774	0,0721	0,3891	5496	3398	2098
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,1946	6501	4011	2490
L00089	1	-46,5902871	-23,5470008	2261	0,0442	0,1946	4286	2820	1466
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,1946	4753	2932	1821
L00106	2	-46,5939719	-23,5375195	4328	0,0462	0,3891	6924	5149	1775
L00107	1	-46,6116378	-23,5511180	2148	0,0466	0,1946	4565	2585	1980
L00109	1	-46,6685837	-23,5678112	2042	0,049	0,1946	3574	2207	1367
L00153	2	-46,6399206	-23,5899717	4323	0,0463	0,3891	6624	4826	1798
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,1946	8374	5781	2593
L05533	2	-46,7012118	-23,6454413	2673	0,0748	0,3891	4610	2961	1649
L05537	1	-46,6842291	-23,6383685	2076	0,0482	0,1946	2987	2240	747
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,1946	8841	5514	3327
L05553	1	-46,4351534	-23,5022679	3506	0,0285	0,1946	6236	4381	1855
L05586	1	-46,4459252	-23,5256810	2399	0,0417	0,1946	4163	3117	1046
L05587	1	-46,4443497	-23,5387667	3161	0,0316	0,1946	5471	4127	1344
L05588	2	-46,4326641	-23,5174330	2595	0,0771	0,3891	4297	3303	994
L05601	4	-46,4359061	-23,5226454	2327	0,1719	0,7782	4159	3108	1051
L05616	1	-46,6281182	-23,4912871	3378	0,0296	0,1946	5313	3930	1383
L05620	2	-46,6405710	-23,4868210	1451	0,1378	0,3891	2771	1812	959
L05621	2	-46,6332236	-23,4899666	5271	0,0379	0,3891	8744	6129	2615
L05625	1	-46,6261164	-23,4898514	2978	0,0336	0,1946	5488	3556	1932
L05626	1	-46,6278934	-23,4963679	2077	0,0481	0,1946	3746	2434	1312
L05629	1	-46,6242804	-23,4770119	2556	0,0391	0,1946	4643	3161	1482
L05633	1	-46,6227676	-23,4899879	1740	0,0575	0,1946	3090	2057	1033
L05638	2	-46,6330906	-23,4915684	3666	0,0546	0,3891	6121	4251	1870
L05643	1	-46,7520177	-23,5161535	657	0,1522	0,1946	1121	836	285
L05659	2	-46,7518718	-23,5135808	2141	0,0934	0,3891	4040	2770	1270
L05720	1	-46,5018743	-23,5298075	832	0,1202	0,1946	1456	1081	375
L05737	1	-46,4989941	-23,5275262	2079	0,0481	0,1946	3862	2632	1230
L05739	2	-46,4991515	-23,5296706	3000	0,0667	0,3891	5527	3909	1618
L05743	1	-46,5487021	-23,5239078	1983	0,0504	0,1946	3819	2477	1342
L05745	2	-46,5393250	-23,5309129	2457	0,0814	0,3891	4417	3008	1409
L05751	1	-46,5757522	-23,5380963	4097	0,0244	0,1946	6495	4845	1650
L05786	1	-46,5327843	-23,5461447	1839	0,0544	0,1946	3271	2275	996
L05802	3	-46,6013419	-23,5076564	3312	0,0906	0,5837	6027	4063	1964
L05806	1	-46,5685781	-23,5119963	4184	0,0239	0,1946	7823	5387	2436
L05809	1	-46,5863582	-23,5062229	1595	0,0627	0,1946	2902	1932	970
L05834	1	-46,5964032	-23,5194682	1589	0,0629	0,1946	2795	1963	832
L05838	1	-46,5930563	-23,5195686	3761	0,0266	0,1946	6624	4656	1968
L05840	1	-46,6572517	-23,5114641	1179	0,0848	0,1946	1961	1422	539
L05842	2	-46,6566659	-23,5007326	1397	0,1432	0,3891	2475	1764	711
L05843	2	-46,6732228	-23,5017435	1901	0,1052	0,3891	3104	2323	781
L05844	3	-46,6552440	-23,4837840	4064	0,0738	0,5837	6975	5136	1839
L05846	3	-46,6811823	-23,4913790	3097	0,0969	0,5837	5454	4068	1386
L05847	3	-46,6551176	-23,4983123	3654	0,0821	0,5837	6457	4489	1968
L05849	9	-46,6657859	-23,4885740	3928	0,2291	1,751	7229	4920	2309
L05851	1	-46,6632938	-23,5087770	4242	0,0236	0,1946	7237	4966	2271
L05852	4	-46,6754529	-23,4902989	2604	0,1536	0,7782	4917	3236	1681
L05853	5	-46,6576552	-23,4676225	2016	0,248	0,9728	3658	2494	1164
L05854	2	-46,6559225	-23,4706050	3589	0,0557	0,3891	6533	4491	2042
L05857	11	-46,6610100	-23,4937600	3204	0,3433	2,1401	6028	4077	1951
L05859	3	-46,6755514	-23,4980697	2950	0,1017	0,5837	5525	3700	1825
L05860	3	-46,6806536	-23,4985927	2933	0,1023	0,5837	5335	3608	1727
L05862	3	-46,6805862	-23,5028507	5531	0,0542	0,5837	9763	6800	2963
L05863	3	-46,6642085	-23,4767719	3809	0,0788	0,5837	7192	4768	2424
L05867	6	-46,6611936	-23,4979397	2374	0,2527	1,1673	4516	2931	1585
L05868	1	-46,6710286	-23,4857719	2636	0,0379	0,1946	4932	3370	1562
L05869	1	-46,6506816	-23,5123597	1285	0,0778	0,1946	2257	1556	701
L05873	1	-46,6545485	-23,4716736	1878	0,0532	0,1946	2977	2288	689
L05874	3	-46,6665068	-23,4702189	3203	0,0937	0,5837	5602	3899	1703
L05876	2	-46,6599580	-23,5051240	2430	0,0823	0,3891	4034	2954	1080
L05877	2	-46,6612422	-23,4986956	1596	0,1253	0,3891	2824	1983	841
L05883	1	-46,6071629	-23,4804948	2403	0,0416	0,1946	4353	2845	1508
L05889	2	-46,6306396	-23,4568482	2624	0,0762	0,3891	4737	3252	1485
L05901	2	-46,6114391	-23,4769661	1848	0,1082	0,3891	3409	2201	1208
L05905	1	-46,5872324	-23,4196031	2830	0,0353	0,1946	5422	3879	1543
L05909	1	-46,5745264	-23,4316764	1629	0,0614	0,1946	3155	2181	974
L05912	1	-46,6031271	-23,4684303	2532	0,0395	0,1946	4589	3126	1463
L05916	1	-46,5772676	-23,4381432	1120	0,0893	0,1946	1985	1453	532
L05926	1	-46,5852470	-23,5802350	4531	0,0221	0,1946	8206	5391	2815
L05974	1	-46,6641427	-23,6002288	6184	0,0162	0,1946	10325	6924	3401
L05982	1	-46,6821455	-23,6155051	5201	0,0192	0,1946	8875	5878	2997
L05984	1	-46,6639945	-23,6440840	2592	0,0386	0,1946	4500	3040	1460
L05988	1	-46,6679674	-23,6420583	3208	0,0312	0,1946	5082	3709	1373
L06670	1	-46,6957864	-23,7324947	2610	0,0383	0,1946	4188	3289	899
L06680	1	-46,7011093	-23,7188128	4508	0,0222	0,1946	7833	5525	2308
L06682	1	-46,7022612	-23,7224803	3236	0,0309	0,1946	5448	4015	1433
L07575	2	-46,6365200	-23,6320743	4017	0,0498	0,3891	7103	4799	2304
L07578	1	-46,6468602	-23,6449791	4043	0,0247	0,1946	7270	4851	2419
L07588	2	-46,6585002	-23,6601214	4100	0,0488	0,3891	7296	5008	2288
L07597	1	-46,6535415	-23,6619014	2754	0,0363	0,1946	4727	3504	1223
L07606	1	-46,6363030	-23,6342640	1221	0,0819	0,1946	1867	1431	436
L07664	1	-46,7296043	-23,4932746	3302	0,0303	0,1946	5686	4020	1666
L07666	1	-46,7187075	-23,4795423	4684	0,0213	0,1946	9004	6008	2996
L07673	1	-46,7258835	-23,4822099	1763	0,0567	0,1946	3138	2256	882
L07677	1	-46,7174065	-23,4896350	2905	0,0344	0,1946	5357	3563	1794
L07679	1	-46,7399355	-23,4854976	1669	0,0599	0,1946	2714	2024	690
L07681	1	-46,7278522	-23,4974960	3589	0,0279	0,1946	6232	4432	1800
L07690	3	-46,4825992	-23,5059494	1295	0,2317	0,5837	2134	1637	497
L07720	1	-46,6906776	-23,4886152	2477	0,0404	0,1946	4263	2952	1311
L07726	1	-46,6978976	-23,4998743	2271	0,044	0,1946	4256	2757	1499
L07727	1	-46,6972109	-23,4923489	2499	0,04	0,1946	4705	3018	1687
L07728	2	-46,6928374	-23,5037339	1919	0,1042	0,3891	3660	2388	1272
L07729	1	-46,7028160	-23,4979150	3736	0,0268	0,1946	6670	4600	2070
L07730	1	-46,7196553	-23,4675600	2010	0,0498	0,1946	3558	2712	846
L07731	1	-46,6997557	-23,4958002	3556	0,0281	0,1946	6178	4337	1841
L07732	1	-46,6916354	-23,4865099	2408	0,0415	0,1946	4588	2950	1638
L07737	2	-46,6860439	-23,4985664	2566	0,0779	0,3891	4751	3195	1556
L07739	1	-46,7128806	-23,4857983	3106	0,0322	0,1946	5261	3930	1331
L07754	4	-46,7510131	-23,6228353	4006	0,0999	0,7782	7103	5278	1825
L08252	1	-46,4996257	-23,5474295	2491	0,0401	0,1946	4201	3182	1019
L08296	1	-46,5867358	-23,4804731	3045	0,0328	0,1946	5362	3770	1592
L08353	1	-46,6568120	-23,6724366	2485	0,0402	0,1946	4291	3131	1160
L08354	1	-46,6718510	-23,6480180	3606	0,0277	0,1946	5953	4267	1686
L08357	1	-46,6566918	-23,6673339	2867	0,0349	0,1946	5558	3511	2047
L08359	1	-46,6440225	-23,6904889	4358	0,0229	0,1946	8287	5678	2609
L08366	1	-46,6568661	-23,6677858	2114	0,0473	0,1946	4127	2597	1530
L08367	1	-46,6760160	-23,6550423	3987	0,0251	0,1946	6800	4757	2043
L08370	1	-46,6619825	-23,6713695	2545	0,0393	0,1946	4510	3118	1392
L08378	1	-46,4008120	-23,4977007	1709	0,0585	0,1946	3255	2338	917
L08398	1	-46,4040381	-23,5003398	2632	0,038	0,1946	4564	3375	1189
L08399	1	-46,3842236	-23,5203421	3359	0,0298	0,1946	6149	4622	1527
L08402	1	-46,3759431	-23,5147403	1122	0,0891	0,1946	1980	1519	461
L08414	1	-46,3950439	-23,4989421	2828	0,0354	0,1946	5125	3485	1640
L08448	1	-46,4087514	-23,5527119	2094	0,0478	0,1946	4017	2779	1238
L08889	1	-46,7529192	-23,6919752	3326	0,0301	0,1946	5647	4219	1428
L08895	1	-46,7563455	-23,6839424	2676	0,0374	0,1946	4670	3304	1366
L08902	1	-46,7420691	-23,6929780	3706	0,027	0,1946	6165	4741	1424
L08938	1	-46,7563790	-23,6782580	1306	0,0766	0,1946	2186	1665	521
L08951	1	-46,7886418	-23,6575053	2044	0,0489	0,1946	3413	2611	802
L08952	1	-46,7676270	-23,6679840	4298	0,0233	0,1946	7695	5421	2274
L08976	1	-46,7540875	-23,5858304	1209	0,0827	0,1946	1901	1455	446
L08988	1	-46,7545127	-23,5689070	2999	0,0333	0,1946	5372	3588	1784
L09093	1	-46,6891450	-23,4480420	1559	0,0641	0,1946	2715	1914	801
L09095	2	-46,6814668	-23,4770174	995	0,201	0,3891	1692	1272	420
L09096	1	-46,6919830	-23,4800350	2740	0,0365	0,1946	4783	3354	1429
L09097	4	-46,6833436	-23,4716951	3420	0,117	0,7782	6292	4301	1991
L09098	3	-46,7030593	-23,4716926	3193	0,094	0,5837	5790	3980	1810
L09099	3	-46,6998285	-23,4605103	2820	0,1064	0,5837	4930	3583	1347
L09101	4	-46,6966832	-23,4469548	4193	0,0954	0,7782	7420	5285	2135
L09102	3	-46,6877814	-23,4600022	3235	0,0927	0,5837	5834	4249	1585
L09103	2	-46,6729691	-23,4629576	3071	0,0651	0,3891	5490	4096	1394
L09104	1	-46,6738756	-23,4613197	2864	0,0349	0,1946	4912	3725	1187
L09105	4	-46,6983080	-23,4693623	4632	0,0864	0,7782	8469	5835	2634
L09107	7	-46,6864059	-23,4697610	2203	0,3177	1,3619	4116	2829	1287
L09108	5	-46,6874952	-23,4598553	1493	0,3349	0,9728	2681	1920	761
L09111	1	-46,6780978	-23,4504874	2994	0,0334	0,1946	5456	3938	1518
L09112	2	-46,6975146	-23,4687553	3273	0,0611	0,3891	6109	4041	2068
L09113	3	-46,6882642	-23,4736711	3556	0,0844	0,5837	6282	4605	1677
L09114	1	-46,6740490	-23,4675988	995	0,1005	0,1946	1554	1250	304
L09115	2	-46,7003948	-23,4748538	1533	0,1305	0,3891	2655	1984	671
L09116	8	-46,6837802	-23,4832228	2960	0,2703	1,5564	5049	3734	1315
L09117	3	-46,7020440	-23,4580940	3715	0,0808	0,5837	6828	4901	1927
L09118	4	-46,6795279	-23,4641832	7883	0,0507	0,7782	15183	10348	4835
L09119	6	-46,6862656	-23,4703417	2113	0,284	1,1673	4014	2752	1262
L09120	1	-46,7026753	-23,4471028	1959	0,051	0,1946	3520	2602	918
L09121	1	-46,6774616	-23,4736278	2374	0,0421	0,1946	4175	3125	1050
L09124	1	-46,6736651	-23,4709745	2675	0,0374	0,1946	4617	3454	1163
L09125	7	-46,6906963	-23,4692644	2790	0,2509	1,3619	5131	3574	1557
L09126	5	-46,6908864	-23,4686604	3640	0,1374	0,9728	6924	4603	2321
L09127	1	-46,6881097	-23,4507951	3748	0,0267	0,1946	6670	4918	1752
L09128	4	-46,6783972	-23,4823657	2002	0,1998	0,7782	3343	2538	805
L09129	11	-46,6940812	-23,4585925	3967	0,2773	2,1401	6922	5126	1796
L09130	5	-46,6766890	-23,4765394	2390	0,2092	0,9728	4244	3085	1159
L09131	1	-46,6897540	-23,4625830	1174	0,0852	0,1946	2058	1546	512
L09132	1	-46,6750425	-23,4517869	1995	0,0501	0,1946	3463	2543	920
L09135	1	-46,6875898	-23,4827743	3242	0,0308	0,1946	6012	4001	2011
L09137	4	-46,6974031	-23,4623180	3119	0,1282	0,7782	5897	3958	1939
L09138	5	-46,6809709	-23,4669256	2642	0,1893	0,9728	4579	3416	1163
L09143	1	-46,7028915	-23,4758818	987	0,1013	0,1946	1579	1208	371
L09144	3	-46,7035177	-23,4614133	1057	0,2838	0,5837	1938	1370	568
L09328	1	-46,7141076	-23,7756410	2776	0,036	0,1946	4851	3566	1285
L09344	3	-46,6923854	-23,7664548	2534	0,1184	0,5837	4216	3211	1005
L09363	1	-46,6948722	-23,7705062	3781	0,0264	0,1946	6218	4781	1437
L09645	8	-46,7119327	-23,4419746	3269	0,2447	1,5564	5682	4161	1521
L09647	1	-46,7170362	-23,4446937	2209	0,0453	0,1946	3864	2823	1041
L09648	14	-46,7176648	-23,4359306	3664	0,3821	2,7237	6857	4617	2240
L09649	1	-46,7155247	-23,4498055	1779	0,0562	0,1946	3423	2452	971
L09650	2	-46,7167070	-23,4450305	2708	0,0739	0,3891	4712	3446	1266
L09656	1	-46,7076665	-23,4422276	2819	0,0355	0,1946	4709	3625	1084
L09657	8	-46,7266588	-23,4265393	2406	0,3325	1,5564	4002	3119	883
L09660	1	-46,7415768	-23,4083171	2643	0,0378	0,1946	4472	3454	1018
L09669	1	-46,7604130	-23,4096050	2754	0,0363	0,1946	5019	3660	1359
L09670	4	-46,7192047	-23,4348671	2032	0,1969	0,7782	3853	2568	1285
L09676	8	-46,7277583	-23,4386909	1807	0,4427	1,5564	3125	2351	774
L09679	13	-46,7290271	-23,4281151	2096	0,6202	2,5292	3630	2766	864
L09680	3	-46,7192925	-23,4350205	2678	0,112	0,5837	4924	3572	1352
L09685	2	-46,7141265	-23,4344010	2433	0,0822	0,3891	4113	3094	1019
L09688	1	-46,7166746	-23,4347728	1683	0,0594	0,1946	2857	2153	704
L09694	1	-46,7254060	-23,4420603	684	0,1462	0,1946	1123	892	231
L09711	1	-46,5256831	-23,5120904	4021	0,0249	0,1946	7414	5163	2251
L09720	1	-46,5061927	-23,4971573	1578	0,0634	0,1946	2480	1979	501
L09779	2	-46,4772755	-23,5183011	634	0,3155	0,3891	1123	860	263
L09923	1	-46,4212855	-23,4882306	1531	0,0653	0,1946	2520	1972	548
L09925	1	-46,4289892	-23,4865951	4098	0,0244	0,1946	7255	5323	1932
L09927	1	-46,4105791	-23,5212702	3639	0,0275	0,1946	6418	4656	1762
L09928	3	-46,4200714	-23,4802190	3350	0,0896	0,5837	5654	4131	1523
L09931	1	-46,4248518	-23,4746436	3594	0,0278	0,1946	5847	4535	1312
L09935	1	-46,4135985	-23,4998743	4252	0,0235	0,1946	7458	5385	2073
L09936	1	-46,4103530	-23,5225647	2103	0,0476	0,1946	3821	2877	944
L09939	2	-46,4058353	-23,5217846	3328	0,0601	0,3891	5634	4378	1256
L09941	1	-46,4089885	-23,5011168	2267	0,0441	0,1946	3907	3021	886
L09950	1	-46,4230488	-23,4832865	2543	0,0393	0,1946	4173	3288	885
L09979	2	-46,4533158	-23,4993370	3973	0,0503	0,3891	6808	4929	1879
L10130	2	-46,7515284	-23,4909867	3496	0,0572	0,3891	6108	4518	1590
L10132	1	-46,7445881	-23,4500351	3272	0,0306	0,1946	5780	4132	1648
L10136	2	-46,7342707	-23,4485696	2255	0,0887	0,3891	3877	2856	1021
L10137	1	-46,7356785	-23,4445684	1110	0,0901	0,1946	1850	1400	450
L10142	1	-46,7493180	-23,4872341	3224	0,031	0,1946	6110	4046	2064
L10143	1	-46,7327693	-23,4440969	2479	0,0403	0,1946	4439	3210	1229
L10144	2	-46,7399232	-23,4365548	2333	0,0857	0,3891	3666	2924	742
L10148	1	-46,7311790	-23,4454790	2341	0,0427	0,1946	3944	2990	954
L10152	2	-46,7319051	-23,4391779	3819	0,0524	0,3891	6289	4770	1519
L10192	1	-46,4115162	-23,5827476	2764	0,0362	0,1946	4732	3574	1158
L10217	1	-46,4293241	-23,5467063	3148	0,0318	0,1946	5968	4010	1958
