cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,1592	8248	4503	3745
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,1592	4562	3313	1249
L00048	2	-46,6841353	-23,5370181	2501	0,08	0,3185	3771	2812	959
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,1592	9970	6457	3513
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,1592	8045	4955	3090
L00119	1	-46,6851323	-23,5877136	2254	0,0444	0,1592	3851	2471	1380
L00532	1	-46,7878988	-23,6864426	238	0,4202	0,1592	424	297	127
L05643	7	-46,7520177	-23,5161535	657	1,0654	1,1146	1121	836	285
L05644	3	-46,7293968	-23,5276493	3559	0,0843	0,4777	5915	4024	1891
L05646	1	-46,7000457	-23,5224777	2592	0,0386	0,1592	4343	2970	1373
L05647	2	-46,7273840	-23,5310160	1602	0,1248	0,3185	2410	1810	600
L05648	2	-46,7032968	-23,5283085	4170	0,048	0,3185	7531	4847	2684
L05650	1	-46,7098479	-23,5204991	2248	0,0445	0,1592	3855	2539	1316
L05654	1	-46,7056393	-23,5213772	2148	0,0466	0,1592	4003	2538	1465
L05656	4	-46,7433720	-23,4969505	2765	0,1447	0,6369	4919	3437	1482
L05657	2	-46,6883851	-23,5246954	2280	0,0877	0,3185	3964	2619	1345
L05659	65	-46,7518718	-23,5135808	2141	3,036	10,3503	4040	2770	1270
L05660	3	-46,7231084	-23,5262770	2294	0,1308	0,4777	3992	2673	1319
L05661	15	-46,7443554	-23,5048937	2325	0,6452	2,3885	4192	2863	1329
L05662	16	-46,7545011	-23,5097174	1694	0,9445	2,5478	3337	2259	1078
L05663	2	-46,7053463	-23,5246614	2188	0,0914	0,3185	4237	2584	1653
L05664	71	-46,7492548	-23,5117336	1714	4,1424	11,3057	3333	2162	1171
L05665	61	-46,7497146	-23,5121473	1089	5,6015	9,7134	1945	1334	611
L05668	7	-46,7212419	-23,5119029	1112	0,6295	1,1146	2192	1343	849
L05669	1	-46,7164216	-23,5283737	1777	0,0563	0,1592	3016	2011	1005
L05671	4	-46,7382418	-23,4999018	2364	0,1692	0,6369	4244	2840	1404
L05672	4	-46,7311891	-23,5069529	1946	0,2055	0,6369	3336	2311	1025
L05673	1	-46,7244140	-23,5363009	2278	0,0439	0,1592	4168	2682	1486
L05674	1	-46,7403488	-23,4962095	1814	0,0551	0,1592	3029	2259	770
L05675	2	-46,7468883	-23,4900910	2971	0,0673	0,3185	5066	3751	1315
L05676	3	-46,7424159	-23,5202320	790	0,3797	0,4777	1426	991	435
L05677	159	-46,7468784	-23,5137529	2151	7,3919	25,3185	3753	2602	1151
L05678	5	-46,7498669	-23,4969079	2593	0,1928	0,7962	4758	3251	1507
L05679	8	-46,7572703	-23,5028236	2080	0,3846	1,2739	3534	2609	925
L05681	1	-46,6949470	-23,5283220	1938	0,0516	0,1592	3100	2183	917
L05682	2	-46,7500222	-23,4964512	535	0,3738	0,3185	919	650	269
L05683	1	-46,7441420	-23,5029850	592	0,1689	0,1592	963	732	231
L05684	44	-46,7467587	-23,5136239	575	7,6522	7,0064	907	713	194
L05687	3	-46,7293085	-23,5091600	847	0,3542	0,4777	1262	988	274
L05688	10	-46,7278581	-23,5209253	3285	0,3044	1,5924	5542	3799	1743
L05690	1	-46,7375360	-23,4985190	1175	0,0851	0,1592	1781	1384	397
L05705	1	-46,6896585	-23,5656255	3181	0,0314	0,1592	5968	3546	2422
L05817	1	-46,6117405	-23,5017844	2739	0,0365	0,1592	5039	3341	1698
L05841	1	-46,6618639	-23,5067043	2520	0,0397	0,1592	4281	2973	1308
L05845	4	-46,6748489	-23,4996347	2821	0,1418	0,6369	4345	3361	984
L05848	1	-46,6506305	-23,5026837	3720	0,0269	0,1592	6771	4492	2279
L05852	3	-46,6754529	-23,4902989	2604	0,1152	0,4777	4917	3236	1681
