cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	1	-46,6458082	-23,5644282	2271	0,044	1,2346	3779	2548	1231
L00534	1	-46,7872371	-23,6773522	3311	0,0302	1,2346	5703	4173	1530
L00535	1	-46,7885429	-23,6654381	2164	0,0462	1,2346	3718	2707	1011
L00541	1	-46,7778780	-23,6885051	4697	0,0213	1,2346	8374	5781	2593
L00547	1	-46,7885429	-23,6654381	4193	0,0238	1,2346	7471	5355	2116
L00548	1	-46,7917773	-23,6867573	324	0,3086	1,2346	563	420	143
L05678	1	-46,7498669	-23,4969079	2593	0,0386	1,2346	4758	3251	1507
L05825	1	-46,6088452	-23,5120897	1543	0,0648	1,2346	2874	1903	971
L07582	2	-46,6358025	-23,6609951	3615	0,0553	2,4691	6447	4637	1810
L07741	1	-46,6915530	-23,4896820	2900	0,0345	1,2346	4958	3548	1410
L07750	1	-46,7708337	-23,6299871	13605	0,0074	1,2346	25821	17652	8169
L07765	1	-46,7497115	-23,6403144	4495	0,0222	1,2346	7813	5662	2151
L08196	1	-46,7208297	-23,6076803	2840	0,0352	1,2346	4752	3330	1422
L08290	1	-46,5242645	-23,5744660	1705	0,0587	1,2346	2898	2194	704
L08362	1	-46,6599252	-23,6645331	3182	0,0314	1,2346	5899	3877	2022
L08860	1	-46,6895040	-23,7350676	2726	0,0367	1,2346	4411	3424	987
L08876	1	-46,6681724	-23,7475017	2547	0,0393	1,2346	4140	3222	918
L08885	11	-46,7826347	-23,7426504	5319	0,2068	13,5802	9184	6673	2511
L08887	8	-46,7821867	-23,7409511	5907	0,1354	9,8765	10173	7415	2758
L08890	1	-46,7816360	-23,7154750	1211	0,0826	1,2346	2073	1497	576
L08894	3	-46,7822515	-23,7187870	4175	0,0719	3,7037	7569	5347	2222
L08896	1	-46,7722560	-23,6977360	3286	0,0304	1,2346	5962	4211	1751
L08909	1	-46,7343899	-23,6780392	4253	0,0235	1,2346	6926	5231	1695
L08911	8	-46,7895404	-23,7358720	4436	0,1803	9,8765	7779	5629	2150
L08913	1	-46,7553528	-23,6757960	3255	0,0307	1,2346	5943	4082	1861
L08917	1	-46,7474059	-23,6737216	2586	0,0387	1,2346	4466	3168	1298
L08931	7	-46,7926628	-23,7318431	4353	0,1608	8,642	7513	5588	1925
L08935	4	-46,7929187	-23,7310998	1139	0,3512	4,9383	1868	1439	429
L08936	1	-46,7568865	-23,7221715	4624	0,0216	1,2346	7539	5712	1827
L08941	1	-46,7584936	-23,6672249	1847	0,0541	1,2346	3218	2371	847
L08948	1	-46,7709966	-23,6560362	4506	0,0222	1,2346	7853	5738	2115
L08956	2	-46,7685672	-23,6718762	1603	0,1248	2,4691	2820	2048	772
L08965	1	-46,7675970	-23,6617050	4014	0,0249	1,2346	7021	5104	1917
L09130	1	-46,6766890	-23,4765394	2390	0,0418	1,2346	4244	3085	1159
L09342	1	-46,6978953	-23,8459940	2662	0,0376	1,2346	4306	3337	969
L09344	1	-46,6923854	-23,7664548	2534	0,0395	1,2346	4216	3211	1005
L09362	1	-46,7145555	-23,7851162	4313	0,0232	1,2346	7001	5315	1686
L09365	1	-46,7247768	-23,8302856	2009	0,0498	1,2346	3395	2519	876
L09366	1	-46,7131152	-23,7598945	1723	0,058	1,2346	2791	2164	627
L09653	1	-46,7571522	-23,4107543	2816	0,0355	1,2346	5154	3588	1566
L10329	1	-46,7515285	-23,6467951	3583	0,0279	1,2346	6346	4335	2011
L10335	1	-46,7470038	-23,6574330	4546	0,022	1,2346	7984	5664	2320
L10340	1	-46,7551211	-23,6549905	1723	0,058	1,2346	3127	2375	752
L10342	1	-46,7280051	-23,6215451	3199	0,0313	1,2346	5761	3985	1776
