cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,2165	5297	3132	2165
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,2165	18525	11583	6942
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,2165	3234	2130	1104
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,2165	8123	4653	3470
L00035	2	-46,6800459	-23,5481021	3932	0,0509	0,4329	6405	4313	2092
L00039	3	-46,6663954	-23,5361229	5419	0,0554	0,6494	8062	5901	2161
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,2165	8677	5629	3048
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,2165	4093	2814	1279
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,2165	17946	11853	6093
L00068	1	-46,6432775	-23,5262231	2815	0,0355	0,2165	5403	3409	1994
L00073	1	-46,6217056	-23,5381881	1287	0,0777	0,2165	2708	1593	1115
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,2165	6970	4489	2481
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,2165	4967	3078	1889
L00126	1	-46,6724723	-23,5954720	3916	0,0255	0,2165	6669	4338	2331
L00132	1	-46,6416210	-23,5785510	4598	0,0217	0,2165	7651	5166	2485
L00138	1	-46,6259630	-23,5630260	2096	0,0477	0,2165	3469	2565	904
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,2165	6128	4395	1733
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,2165	6254	4448	1806
L05613	1	-46,6310064	-23,5025938	1028	0,0973	0,2165	2041	1205	836
L05614	1	-46,6407233	-23,4948591	1725	0,058	0,2165	2839	2166	673
L05619	5	-46,6476795	-23,4929598	1994	0,2508	1,0823	3788	2470	1318
L05620	1	-46,6405710	-23,4868210	1451	0,0689	0,2165	2771	1812	959
L05621	1	-46,6332236	-23,4899666	5271	0,019	0,2165	8744	6129	2615
L05631	1	-46,6446670	-23,4910726	1627	0,0615	0,2165	3161	2027	1134
L05632	2	-46,6381967	-23,4939821	2961	0,0675	0,4329	5002	3517	1485
L05644	1	-46,7293968	-23,5276493	3559	0,0281	0,2165	5915	4024	1891
L05658	3	-46,7052733	-23,5150700	2442	0,1229	0,6494	4469	2893	1576
L05659	1	-46,7518718	-23,5135808	2141	0,0467	0,2165	4040	2770	1270
L05664	1	-46,7492548	-23,5117336	1714	0,0583	0,2165	3333	2162	1171
L05667	1	-46,6875289	-23,5240849	2857	0,035	0,2165	4734	3347	1387
L05674	1	-46,7403488	-23,4962095	1814	0,0551	0,2165	3029	2259	770
L05678	1	-46,7498669	-23,4969079	2593	0,0386	0,2165	4758	3251	1507
L05688	2	-46,7278581	-23,5209253	3285	0,0609	0,4329	5542	3799	1743
L05706	1	-46,6827388	-23,5501422	2508	0,0399	0,2165	4043	2732	1311
L05736	2	-46,5179226	-23,5228086	3663	0,0546	0,4329	6711	4640	2071
L05755	1	-46,5179584	-23,5638358	3205	0,0312	0,2165	5295	4046	1249
L05760	3	-46,4984532	-23,5847269	4733	0,0634	0,6494	8851	6109	2742
L05769	1	-46,5467092	-23,5412374	2157	0,0464	0,2165	3707	2712	995
L05838	1	-46,5930563	-23,5195686	3761	0,0266	0,2165	6624	4656	1968
L05840	1	-46,6572517	-23,5114641	1179	0,0848	0,2165	1961	1422	539
L05841	3	-46,6618639	-23,5067043	2520	0,119	0,6494	4281	2973	1308
L05842	7	-46,6566659	-23,5007326	1397	0,5011	1,5152	2475	1764	711
L05843	1	-46,6732228	-23,5017435	1901	0,0526	0,2165	3104	2323	781
L05844	17	-46,6552440	-23,4837840	4064	0,4183	3,6797	6975	5136	1839
L05845	3	-46,6748489	-23,4996347	2821	0,1063	0,6494	4345	3361	984
L05846	1	-46,6811823	-23,4913790	3097	0,0323	0,2165	5454	4068	1386
L05847	12	-46,6551176	-23,4983123	3654	0,3284	2,5974	6457	4489	1968
L05848	8	-46,6506305	-23,5026837	3720	0,2151	1,7316	6771	4492	2279
L05849	18	-46,6657859	-23,4885740	3928	0,4582	3,8961	7229	4920	2309
L05850	10	-46,6672729	-23,4955761	2587	0,3865	2,1645	4487	3234	1253
L05851	2	-46,6632938	-23,5087770	4242	0,0471	0,4329	7237	4966	2271
L05852	9	-46,6754529	-23,4902989	2604	0,3456	1,9481	4917	3236	1681
L05855	8	-46,6512743	-23,4915758	3689	0,2169	1,7316	6598	4579	2019
L05856	12	-46,6576980	-23,5105636	3626	0,3309	2,5974	6816	4472	2344
L05857	46	-46,6610100	-23,4937600	3204	1,4357	9,9567	6028	4077	1951
L05858	3	-46,6602290	-23,5040336	1694	0,1771	0,6494	3175	2048	1127
L05859	3	-46,6755514	-23,4980697	2950	0,1017	0,6494	5525	3700	1825
L05860	1	-46,6806536	-23,4985927	2933	0,0341	0,2165	5335	3608	1727
L05861	1	-46,6633902	-23,4700233	2413	0,0414	0,2165	4175	2930	1245
L05862	2	-46,6805862	-23,5028507	5531	0,0362	0,4329	9763	6800	2963
L05863	2	-46,6642085	-23,4767719	3809	0,0525	0,4329	7192	4768	2424
L05864	1	-46,6729030	-23,5109220	2299	0,0435	0,2165	4247	2858	1389
L05866	9	-46,6545707	-23,4916062	2697	0,3337	1,9481	4880	3285	1595
L05867	19	-46,6611936	-23,4979397	2374	0,8003	4,1126	4516	2931	1585
L05868	12	-46,6710286	-23,4857719	2636	0,4552	2,5974	4932	3370	1562
L05869	1	-46,6506816	-23,5123597	1285	0,0778	0,2165	2257	1556	701
L05870	2	-46,6722354	-23,4967228	2389	0,0837	0,4329	4246	3161	1085
L05871	5	-46,6689770	-23,4751050	1758	0,2844	1,0823	3076	2211	865
L05872	1	-46,6618430	-23,4656280	2879	0,0347	0,2165	4826	3497	1329
L05873	2	-46,6545485	-23,4716736	1878	0,1065	0,4329	2977	2288	689
L05875	9	-46,6702128	-23,4900049	1711	0,526	1,9481	3184	2157	1027
L05876	4	-46,6599580	-23,5051240	2430	0,1646	0,8658	4034	2954	1080
L05877	11	-46,6612422	-23,4986956	1596	0,6892	2,381	2824	1983	841
L05878	1	-46,6724956	-23,5102380	1331	0,0751	0,2165	2224	1674	550
L05881	1	-46,6182089	-23,4725956	2680	0,0373	0,2165	4271	3113	1158
L05882	3	-46,6215526	-23,4621730	2370	0,1266	0,6494	3968	2787	1181
L05889	2	-46,6306396	-23,4568482	2624	0,0762	0,4329	4737	3252	1485
L05919	1	-46,6120305	-23,4757531	1300	0,0769	0,2165	2166	1565	601
L05924	1	-46,5604307	-23,5979220	3363	0,0297	0,2165	5863	4288	1575
L05934	1	-46,5733889	-23,5841252	2885	0,0347	0,2165	5165	3545	1620
L05952	1	-46,5523937	-23,5873869	2979	0,0336	0,2165	5466	3759	1707
L05964	1	-46,6783620	-23,6167251	2994	0,0334	0,2165	5082	3353	1729
L05986	2	-46,6440222	-23,6209368	2009	0,0996	0,4329	3782	2326	1456
L05991	2	-46,6608489	-23,6330376	3246	0,0616	0,4329	5977	3853	2124
L06000	1	-46,6362275	-23,5988254	5755	0,0174	0,2165	9671	6446	3225
L06010	2	-46,6214969	-23,5987034	3306	0,0605	0,4329	5715	3957	1758
L06032	1	-46,6120690	-23,5882350	2927	0,0342	0,2165	5450	3505	1945
