cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,1029	6983	4278	2705
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,1029	5666	3638	2028
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,1029	7151	4273	2878
L00020	1	-46,6376429	-23,5607300	2293	0,0436	0,1029	5052	2698	2354
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1029	18525	11583	6942
L00034	3	-46,6605264	-23,5415277	5254	0,0571	0,3086	7993	5767	2226
L00068	1	-46,6432775	-23,5262231	2815	0,0355	0,1029	5403	3409	1994
L00116	1	-46,6726051	-23,5816669	2385	0,0419	0,1029	4109	2634	1475
L00117	1	-46,6709040	-23,5923207	3151	0,0317	0,1029	5443	3456	1987
L00120	1	-46,6758302	-23,6004582	2006	0,0499	0,1029	3761	2276	1485
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,1029	6994	4384	2610
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,1029	8374	5781	2593
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,1029	6766	5016	1750
L00547	3	-46,7885429	-23,6654381	4193	0,0715	0,3086	7471	5355	2116
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,1029	4775	3448	1327
L00551	4	-46,7827546	-23,6998617	2755	0,1452	0,4115	4627	3392	1235
L00552	1	-46,7867141	-23,6791697	1483	0,0674	0,1029	2634	1909	725
L00559	1	-46,7951730	-23,6802102	2040	0,049	0,1029	3413	2489	924
L05541	1	-46,7153680	-23,6417200	3773	0,0265	0,1029	6610	4390	2220
L05542	2	-46,7071520	-23,6499060	3093	0,0647	0,2058	5733	3640	2093
L05547	1	-46,7031531	-23,6485078	2502	0,04	0,1029	4597	2896	1701
L05589	1	-46,4544868	-23,5471412	2039	0,049	0,1029	3417	2606	811
L05611	1	-46,6300964	-23,5033502	2831	0,0353	0,1029	4847	3284	1563
L05626	1	-46,6278934	-23,4963679	2077	0,0481	0,1029	3746	2434	1312
L05636	2	-46,6317593	-23,5028361	836	0,2392	0,2058	1410	975	435
L05693	2	-46,6769917	-23,5570934	4108	0,0487	0,2058	6768	4547	2221
L05695	1	-46,6826600	-23,5737124	2079	0,0481	0,1029	3613	2221	1392
L05697	1	-46,6950038	-23,5603746	3405	0,0294	0,1029	5468	3675	1793
L05713	2	-46,6816743	-23,5708583	3367	0,0594	0,2058	5931	3590	2341
L05716	2	-46,6975056	-23,5623803	2545	0,0786	0,2058	4027	2825	1202
L05744	2	-46,5317318	-23,5311949	1071	0,1867	0,2058	1768	1306	462
L05805	1	-46,6019251	-23,4930215	3006	0,0333	0,1029	5399	3750	1649
L05934	1	-46,5733889	-23,5841252	2885	0,0347	0,1029	5165	3545	1620
L05969	3	-46,6882980	-23,6116910	2974	0,1009	0,3086	5627	3387	2240
L05981	1	-46,6812703	-23,6263887	3816	0,0262	0,1029	6833	4360	2473
L05982	2	-46,6821455	-23,6155051	5201	0,0385	0,2058	8875	5878	2997
L05996	1	-46,6390563	-23,5354119	3573	0,028	0,1029	6373	4095	2278
L06001	2	-46,6367820	-23,6023840	4353	0,0459	0,2058	7231	4917	2314
L06011	1	-46,6255542	-23,6092089	2648	0,0378	0,1029	4891	3146	1745
L06017	1	-46,6348198	-23,6125399	2346	0,0426	0,1029	4142	2720	1422
L06040	1	-46,6000559	-23,6225320	1860	0,0538	0,1029	3641	2456	1185
L06046	1	-46,5830025	-23,6226329	2716	0,0368	0,1029	4830	3455	1375
L06047	1	-46,5866191	-23,6277500	3027	0,033	0,1029	5754	3872	1882
L06662	1	-46,6977550	-23,7276870	2621	0,0382	0,1029	4332	3313	1019
L06670	2	-46,6957864	-23,7324947	2610	0,0766	0,2058	4188	3289	899
L06673	1	-46,6853733	-23,7259814	3759	0,0266	0,1029	6283	4756	1527
L06674	1	-46,6793309	-23,7195684	3211	0,0311	0,1029	5467	4147	1320
