cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,0689	9838	5921	3917
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,0689	6983	4278	2705
L00011	2	-46,6535747	-23,5498948	3808	0,0525	0,1377	7072	4407	2665
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,0689	6283	3656	2627
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,0689	7151	4273	2878
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,0689	5297	3132	2165
L00038	1	-46,6844226	-23,5340373	3156	0,0317	0,0689	5271	3545	1726
L00041	2	-46,6798996	-23,5306990	2132	0,0938	0,1377	3296	2395	901
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,0689	5602	3572	2030
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,0689	8677	5629	3048
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0689	4093	2814	1279
L00062	6	-46,6375237	-23,5287430	2256	0,266	0,4132	4421	2765	1656
L00063	2	-46,6343483	-23,5436627	2624	0,0762	0,1377	5154	3085	2069
L00064	2	-46,6278434	-23,5475185	2980	0,0671	0,1377	5641	3584	2057
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,0689	4267	2744	1523
L00068	21	-46,6432775	-23,5262231	2815	0,746	1,4463	5403	3409	1994
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0689	5785	3615	2170
L00074	9	-46,6370866	-23,5384772	2847	0,3161	0,6198	6133	3437	2696
L00077	1	-46,6228821	-23,5238878	3089	0,0324	0,0689	5985	3756	2229
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,1377	8807	6387	2420
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,0689	8050	5269	2781
L00091	1	-46,5964833	-23,5637925	3169	0,0316	0,0689	6188	3786	2402
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,0689	6970	4489	2481
L00094	2	-46,6214361	-23,5534993	2393	0,0836	0,1377	4753	2932	1821
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,0689	8563	5548	3015
L00107	2	-46,6116378	-23,5511180	2148	0,0931	0,1377	4565	2585	1980
L00111	1	-46,6590182	-23,5634584	7550	0,0132	0,0689	13488	8273	5215
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,0689	11459	6999	4460
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,0689	7421	4897	2524
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,0689	5263	3410	1853
L00151	1	-46,6209441	-23,5882398	2949	0,0339	0,0689	4478	3358	1120
L00157	2	-46,6389836	-23,5697573	5176	0,0386	0,1377	8809	5934	2875
L00526	1	-46,7757878	-23,6743707	289	0,346	0,0689	472	351	121
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,0689	6561	4847	1714
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,0689	4775	3448	1327
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,0689	6174	4460	1714
L05536	2	-46,6821350	-23,6631782	5321	0,0376	0,1377	8921	6173	2748
L05552	2	-46,4488381	-23,4906612	2090	0,0957	0,1377	3620	2620	1000
L05553	1	-46,4351534	-23,5022679	3506	0,0285	0,0689	6236	4381	1855
L05555	1	-46,4398111	-23,5068607	1270	0,0787	0,0689	2259	1566	693
L05558	1	-46,4234630	-23,5085168	3758	0,0266	0,0689	6529	4735	1794
