cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,04	8248	4503	3745
L00006	2	-46,6471893	-23,5496488	4359	0,0459	0,0799	8358	5061	3297
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,04	6983	4278	2705
L00009	1	-46,6401698	-23,5538581	823	0,1215	0,04	1409	943	466
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,04	7072	4407	2665
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,04	5182	3459	1723
L00020	2	-46,6376429	-23,5607300	2293	0,0872	0,0799	5052	2698	2354
L00022	2	-46,6521240	-23,5458002	10350	0,0193	0,0799	18525	11583	6942
L00025	2	-46,6380154	-23,5642161	2151	0,093	0,0799	3803	2547	1256
L00030	3	-46,6716846	-23,5278546	4168	0,072	0,1199	8123	4653	3470
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,04	5622	4272	1350
L00035	2	-46,6800459	-23,5481021	3932	0,0509	0,0799	6405	4313	2092
L00036	2	-46,6671104	-23,5303076	1611	0,1241	0,0799	3037	1845	1192
L00038	1	-46,6844226	-23,5340373	3156	0,0317	0,04	5271	3545	1726
L00039	3	-46,6663954	-23,5361229	5419	0,0554	0,1199	8062	5901	2161
L00041	2	-46,6798996	-23,5306990	2132	0,0938	0,0799	3296	2395	901
L00044	1	-46,6566305	-23,5207777	1534	0,0652	0,04	2722	1815	907
L00045	2	-46,6523017	-23,5318175	2128	0,094	0,0799	3940	2485	1455
L00048	2	-46,6841353	-23,5370181	2501	0,08	0,0799	3771	2812	959
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,04	8065	5186	2879
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,04	6577	4007	2570
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,04	8677	5629	3048
L00053	3	-46,6630845	-23,5450242	5945	0,0505	0,1199	9970	6457	3513
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,04	9323	6035	3288
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,04	4853	2751	2102
L00057	3	-46,6510689	-23,5302066	2410	0,1245	0,1199	4093	2814	1279
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,04	6470	3731	2739
L00060	3	-46,6711550	-23,5381000	10857	0,0276	0,1199	17946	11853	6093
L00061	1	-46,6666956	-23,5298372	3408	0,0293	0,04	6305	3946	2359
L00062	3	-46,6375237	-23,5287430	2256	0,133	0,1199	4421	2765	1656
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,04	5154	3085	2069
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,04	5641	3584	2057
L00068	2	-46,6432775	-23,5262231	2815	0,071	0,0799	5403	3409	1994
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,04	3469	2192	1277
L00074	3	-46,6370866	-23,5384772	2847	0,1054	0,1199	6133	3437	2696
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,04	5496	3398	2098
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,04	5823	3854	1969
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,04	8807	6387	2420
L00099	1	-46,5683158	-23,5701115	2161	0,0463	0,04	3989	2770	1219
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,04	8563	5548	3015
L00103	2	-46,5812316	-23,5700009	4342	0,0461	0,0799	7905	5265	2640
L00108	3	-46,5976041	-23,5519593	6779	0,0443	0,1199	11883	7994	3889
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,04	8425	5454	2971
L00153	2	-46,6399206	-23,5899717	4323	0,0463	0,0799	6624	4826	1798
L05532	1	-46,7034029	-23,6447800	2886	0,0347	0,04	4752	3201	1551
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,04	9716	6724	2992
L05545	1	-46,6998999	-23,6559182	2564	0,039	0,04	3946	2911	1035
L05549	1	-46,7057350	-23,6332760	4550	0,022	0,04	7718	5073	2645
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,04	8841	5514	3327
L05553	1	-46,4351534	-23,5022679	3506	0,0285	0,04	6236	4381	1855
L05555	1	-46,4398111	-23,5068607	1270	0,0787	0,04	2259	1566	693
L05568	1	-46,4300003	-23,4998815	2971	0,0337	0,04	5227	3654	1573
L05589	1	-46,4544868	-23,5471412	2039	0,049	0,04	3417	2606	811
L05612	1	-46,6264879	-23,4763633	1123	0,089	0,04	2007	1430	577
L05613	1	-46,6310064	-23,5025938	1028	0,0973	0,04	2041	1205	836
L05614	3	-46,6407233	-23,4948591	1725	0,1739	0,1199	2839	2166	673
L05615	1	-46,6333996	-23,5019647	1282	0,078	0,04	2094	1527	567
L05616	4	-46,6281182	-23,4912871	3378	0,1184	0,1599	5313	3930	1383
L05617	3	-46,6180480	-23,4923992	3331	0,0901	0,1199	5427	3880	1547
L05618	1	-46,6270210	-23,5057810	1824	0,0548	0,04	3578	2176	1402
L05619	6	-46,6476795	-23,4929598	1994	0,3009	0,2398	3788	2470	1318
L05621	12	-46,6332236	-23,4899666	5271	0,2277	0,4796	8744	6129	2615
L05623	3	-46,6405537	-23,5023028	2520	0,119	0,1199	4590	2978	1612
L05624	1	-46,6161131	-23,5004170	2563	0,039	0,04	4896	3055	1841
L05627	1	-46,6249697	-23,5016655	1535	0,0651	0,04	3087	1826	1261
L05628	1	-46,6157633	-23,4933572	2589	0,0386	0,04	4750	3013	1737
L05629	1	-46,6242804	-23,4770119	2556	0,0391	0,04	4643	3161	1482
L05630	3	-46,6433628	-23,5013965	1299	0,2309	0,1199	2306	1568	738
L05631	1	-46,6446670	-23,4910726	1627	0,0615	0,04	3161	2027	1134
L05632	6	-46,6381967	-23,4939821	2961	0,2026	0,2398	5002	3517	1485
L05633	1	-46,6227676	-23,4899879	1740	0,0575	0,04	3090	2057	1033
L05634	1	-46,6264580	-23,4818440	1908	0,0524	0,04	3707	2335	1372
L05635	2	-46,6142540	-23,4901233	2048	0,0977	0,0799	3470	2399	1071
L05636	1	-46,6317593	-23,5028361	836	0,1196	0,04	1410	975	435
L05637	4	-46,6267268	-23,5135649	1530	0,2614	0,1599	2947	1815	1132
L05638	3	-46,6330906	-23,4915684	3666	0,0818	0,1199	6121	4251	1870
L05645	3	-46,7037676	-23,5217140	2362	0,127	0,1199	4257	2725	1532
L05646	1	-46,7000457	-23,5224777	2592	0,0386	0,04	4343	2970	1373
L05648	3	-46,7032968	-23,5283085	4170	0,0719	0,1199	7531	4847	2684
L05650	2	-46,7098479	-23,5204991	2248	0,089	0,0799	3855	2539	1316
L05653	1	-46,7091294	-23,5350839	1807	0,0553	0,04	3207	2079	1128
L05654	1	-46,7056393	-23,5213772	2148	0,0466	0,04	4003	2538	1465
L05657	2	-46,6883851	-23,5246954	2280	0,0877	0,0799	3964	2619	1345
L05659	1	-46,7518718	-23,5135808	2141	0,0467	0,04	4040	2770	1270
L05660	1	-46,7231084	-23,5262770	2294	0,0436	0,04	3992	2673	1319
L05661	1	-46,7443554	-23,5048937	2325	0,043	0,04	4192	2863	1329
L05663	3	-46,7053463	-23,5246614	2188	0,1371	0,1199	4237	2584	1653
