cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	1,2048	5696	3792	1904
L00004	2	-46,6511260	-23,5652103	5298	0,0378	2,4096	9838	5921	3917
L00007	1	-46,6432717	-23,5529543	1958	0,0511	1,2048	3791	2317	1474
L00012	1	-46,6461964	-23,5700830	3252	0,0308	1,2048	6283	3656	2627
L00013	1	-46,6421456	-23,5572933	2899	0,0345	1,2048	5416	3426	1990
L00014	1	-46,6289218	-23,5548030	2700	0,037	1,2048	5182	3459	1723
L00016	1	-46,6361305	-23,5497845	2669	0,0375	1,2048	5297	3132	2165
L00018	3	-46,6419109	-23,5592168	3389	0,0885	3,6145	7001	3906	3095
L00019	1	-46,6376429	-23,5607300	2664	0,0375	1,2048	5259	3125	2134
L00027	2	-46,6368084	-23,5498480	2635	0,0759	2,4096	5430	3072	2358
L00028	1	-46,6528053	-23,5234860	651	0,1536	1,2048	1201	806	395
L00030	1	-46,6716846	-23,5278546	4168	0,024	1,2048	8123	4653	3470
L00045	1	-46,6523017	-23,5318175	2128	0,047	1,2048	3940	2485	1455
L00049	1	-46,6806583	-23,5307166	4578	0,0218	1,2048	8065	5186	2879
L00050	2	-46,6531096	-23,5391595	3449	0,058	2,4096	6577	4007	2570
L00063	1	-46,6343483	-23,5436627	2624	0,0381	1,2048	5154	3085	2069
L00074	1	-46,6370866	-23,5384772	2847	0,0351	1,2048	6133	3437	2696
L00113	1	-46,6642690	-23,5638420	4708	0,0212	1,2048	8733	5175	3558
L00141	2	-46,6308086	-23,5650323	5144	0,0389	2,4096	9743	6059	3684
L00555	1	-46,7999759	-23,6870539	3475	0,0288	1,2048	6174	4460	1714
L05581	1	-46,4522081	-23,5171617	3935	0,0254	1,2048	6924	5015	1909
L05622	1	-46,6256600	-23,4972860	1960	0,051	1,2048	3358	2341	1017
L05634	1	-46,6264580	-23,4818440	1908	0,0524	1,2048	3707	2335	1372
L05651	1	-46,7004969	-23,5385244	1604	0,0623	1,2048	2858	1850	1008
L05851	1	-46,6632938	-23,5087770	4242	0,0236	1,2048	7237	4966	2271
L05864	1	-46,6729030	-23,5109220	2299	0,0435	1,2048	4247	2858	1389
L05878	1	-46,6724956	-23,5102380	1331	0,0751	1,2048	2224	1674	550
L05888	3	-46,5855959	-23,4389881	3768	0,0796	3,6145	6719	4916	1803
L05890	1	-46,6048373	-23,4642332	3719	0,0269	1,2048	6880	4577	2303
L05897	1	-46,5851276	-23,4502408	3003	0,0333	1,2048	5429	3962	1467
L05900	3	-46,5803132	-23,4357702	2733	0,1098	3,6145	5108	3666	1442
L05902	1	-46,5890824	-23,4546164	3266	0,0306	1,2048	5800	4185	1615
L05908	7	-46,5774727	-23,4379629	2559	0,2735	8,4337	4721	3325	1396
L05909	1	-46,5745264	-23,4316764	1629	0,0614	1,2048	3155	2181	974
L05916	3	-46,5772676	-23,4381432	1120	0,2679	3,6145	1985	1453	532
L05942	1	-46,5766081	-23,5796376	2512	0,0398	1,2048	4766	3082	1684
L05947	1	-46,5795917	-23,5926018	3241	0,0309	1,2048	5895	4000	1895
L07774	1	-46,7498755	-23,6363346	2769	0,0361	1,2048	4952	3627	1325
L08211	1	-46,7570506	-23,5977877	2938	0,034	1,2048	5449	3746	1703
L08216	1	-46,7591668	-23,5940175	1177	0,085	1,2048	1961	1510	451
L08227	1	-46,5050519	-23,5458928	1879	0,0532	1,2048	3494	2368	1126
L08234	1	-46,5317956	-23,5421192	3038	0,0329	1,2048	5442	3818	1624
L08254	1	-46,5030630	-23,5515660	2892	0,0346	1,2048	5108	3701	1407
L08272	1	-46,5288323	-23,5727122	2238	0,0447	1,2048	4229	2897	1332
L08290	1	-46,5242645	-23,5744660	1705	0,0587	1,2048	2898	2194	704
L08292	1	-46,5847312	-23,4571192	1974	0,0507	1,2048	3768	2560	1208
L08305	1	-46,5732891	-23,4514774	4266	0,0234	1,2048	8509	5988	2521
L08312	1	-46,5846950	-23,4614040	3278	0,0305	1,2048	6142	4077	2065
L08395	1	-46,3832792	-23,5056992	1754	0,057	1,2048	3113	2293	820
L08399	1	-46,3842236	-23,5203421	3359	0,0298	1,2048	6149	4622	1527
L08428	1	-46,3882687	-23,5454378	2086	0,0479	1,2048	3720	2817	903
L08848	1	-46,6708362	-23,7427238	3254	0,0307	1,2048	5197	4056	1141
L08999	1	-46,7748594	-23,5743052	2796	0,0358	1,2048	5077	3810	1267
L09041	1	-46,4824676	-23,6012239	2857	0,035	1,2048	5384	3613	1771
L09097	1	-46,6833436	-23,4716951	3420	0,0292	1,2048	6292	4301	1991
L09124	1	-46,6736651	-23,4709745	2675	0,0374	1,2048	4617	3454	1163
L09701	1	-46,5067684	-23,5021411	4523	0,0221	1,2048	8238	6120	2118
L09763	1	-46,4896747	-23,5160828	2228	0,0449	1,2048	3691	2807	884
L09948	1	-46,4030957	-23,5139436	1816	0,0551	1,2048	3163	2414	749
L09970	1	-46,4560056	-23,5122728	3898	0,0257	1,2048	6534	5016	1518
L10178	1	-46,4094033	-23,5851215	3329	0,03	1,2048	5585	4174	1411
L10662	1	-46,6553293	-23,6948602	2865	0,0349	1,2048	5307	3647	1660
L10757	1	-46,5082245	-23,6128851	3263	0,0306	1,2048	5872	4151	1721
L10764	1	-46,4893958	-23,6137160	2190	0,0457	1,2048	3625	2783	842
L10781	1	-46,6492631	-23,4694520	4305	0,0232	1,2048	7868	5458	2410
