cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,1364	5696	3792	1904
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,1364	9838	5921	3917
L00010	2	-46,6355899	-23,5623979	2996	0,0668	0,2729	5666	3638	2028
L00018	3	-46,6419109	-23,5592168	3389	0,0885	0,4093	7001	3906	3095
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,1364	5259	3125	2134
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,1364	6548	4013	2535
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1364	18525	11583	6942
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,1364	3234	2130	1104
L00041	1	-46,6798996	-23,5306990	2132	0,0469	0,1364	3296	2395	901
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,1364	6577	4007	2570
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,1364	6470	3731	2739
L00062	1	-46,6375237	-23,5287430	2256	0,0443	0,1364	4421	2765	1656
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,1364	5641	3584	2057
L00067	1	-46,6107088	-23,5252045	1435	0,0697	0,1364	2765	1755	1010
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,1364	3469	2192	1277
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,1364	5594	3588	2006
L00071	3	-46,6341197	-23,5306628	2982	0,1006	0,4093	5785	3615	2170
L00072	2	-46,6208174	-23,5236456	705	0,2837	0,2729	1424	855	569
L00073	2	-46,6217056	-23,5381881	1287	0,1554	0,2729	2708	1593	1115
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,1364	8045	4955	3090
L00077	4	-46,6228821	-23,5238878	3089	0,1295	0,5457	5985	3756	2229
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,1364	6501	4011	2490
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,2729	8807	6387	2420
L00087	7	-46,5842762	-23,5514675	2993	0,2339	0,955	5617	3662	1955
L00099	1	-46,5683158	-23,5701115	2161	0,0463	0,1364	3989	2770	1219
L00101	2	-46,5902071	-23,5606910	4284	0,0467	0,2729	7988	5172	2816
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,1364	8563	5548	3015
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,1364	7905	5265	2640
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,1364	6924	5149	1775
L00107	4	-46,6116378	-23,5511180	2148	0,1862	0,5457	4565	2585	1980
L00111	2	-46,6590182	-23,5634584	7550	0,0265	0,2729	13488	8273	5215
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,1364	8733	5175	3558
L00116	1	-46,6726051	-23,5816669	2385	0,0419	0,1364	4109	2634	1475
L00120	1	-46,6758302	-23,6004582	2006	0,0499	0,1364	3761	2276	1485
L00130	1	-46,6437100	-23,5775691	2213	0,0452	0,1364	3690	2443	1247
L00131	1	-46,6442337	-23,5847251	4116	0,0243	0,1364	7035	4617	2418
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,1364	8425	5454	2971
L00135	6	-46,6431906	-23,5719338	4487	0,1337	0,8186	7477	5015	2462
L00138	1	-46,6259630	-23,5630260	2096	0,0477	0,1364	3469	2565	904
L00141	2	-46,6308086	-23,5650323	5144	0,0389	0,2729	9743	6059	3684
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,1364	5263	3410	1853
L00149	1	-46,6300092	-23,5766639	1599	0,0625	0,1364	2985	1875	1110
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,1364	6766	5016	1750
L00544	1	-46,7734160	-23,6802425	3538	0,0283	0,1364	6419	4341	2078
L00547	1	-46,7885429	-23,6654381	4193	0,0238	0,1364	7471	5355	2116
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,1364	8236	5638	2598
L05533	1	-46,7012118	-23,6454413	2673	0,0374	0,1364	4610	2961	1649
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,1364	3179	2190	989
L05562	1	-46,4459517	-23,5057536	2705	0,037	0,1364	4642	3367	1275
L05572	1	-46,4193422	-23,5228558	2139	0,0468	0,1364	3993	2664	1329
L05578	1	-46,4526050	-23,5387875	2564	0,039	0,1364	4882	3187	1695
L05611	1	-46,6300964	-23,5033502	2831	0,0353	0,1364	4847	3284	1563
L05613	1	-46,6310064	-23,5025938	1028	0,0973	0,1364	2041	1205	836
L05616	8	-46,6281182	-23,4912871	3378	0,2368	1,0914	5313	3930	1383
L05617	4	-46,6180480	-23,4923992	3331	0,1201	0,5457	5427	3880	1547
L05618	1	-46,6270210	-23,5057810	1824	0,0548	0,1364	3578	2176	1402
L05621	5	-46,6332236	-23,4899666	5271	0,0949	0,6821	8744	6129	2615
L05622	2	-46,6256600	-23,4972860	1960	0,102	0,2729	3358	2341	1017
L05623	1	-46,6405537	-23,5023028	2520	0,0397	0,1364	4590	2978	1612
L05624	3	-46,6161131	-23,5004170	2563	0,1171	0,4093	4896	3055	1841
L05625	1	-46,6261164	-23,4898514	2978	0,0336	0,1364	5488	3556	1932
L05628	2	-46,6157633	-23,4933572	2589	0,0772	0,2729	4750	3013	1737
L05632	1	-46,6381967	-23,4939821	2961	0,0338	0,1364	5002	3517	1485
L05634	2	-46,6264580	-23,4818440	1908	0,1048	0,2729	3707	2335	1372
L05637	1	-46,6267268	-23,5135649	1530	0,0654	0,1364	2947	1815	1132
L05638	2	-46,6330906	-23,4915684	3666	0,0546	0,2729	6121	4251	1870
L05639	3	-46,6239120	-23,4891654	1527	0,1965	0,4093	2617	1818	799
L05643	1	-46,7520177	-23,5161535	657	0,1522	0,1364	1121	836	285
L05657	2	-46,6883851	-23,5246954	2280	0,0877	0,2729	3964	2619	1345
L05671	1	-46,7382418	-23,4999018	2364	0,0423	0,1364	4244	2840	1404
L05673	1	-46,7244140	-23,5363009	2278	0,0439	0,1364	4168	2682	1486
L05683	1	-46,7441420	-23,5029850	592	0,1689	0,1364	963	732	231
L05692	1	-46,7342495	-23,5279924	4939	0,0202	0,1364	7451	5535	1916
L05700	1	-46,7170159	-23,5510140	4888	0,0205	0,1364	7257	5167	2090
L05703	2	-46,6962316	-23,5650597	1732	0,1155	0,2729	3356	1964	1392
L05706	1	-46,6827388	-23,5501422	2508	0,0399	0,1364	4043	2732	1311
L05708	1	-46,6938161	-23,5563030	2004	0,0499	0,1364	3625	2231	1394
L05727	1	-46,5492590	-23,5262720	2649	0,0378	0,1364	4685	3161	1524
L05752	1	-46,5494401	-23,5441268	4128	0,0242	0,1364	7403	5019	2384
L05753	1	-46,5571310	-23,5490160	3586	0,0279	0,1364	6008	4212	1796
L05756	1	-46,5564250	-23,5331500	2613	0,0383	0,1364	4568	3155	1413
L05776	2	-46,5726461	-23,5512878	2634	0,0759	0,2729	4333	3190	1143
L05777	2	-46,5636721	-23,5353692	1934	0,1034	0,2729	3252	2352	900
L05781	1	-46,5589094	-23,5412357	2005	0,0499	0,1364	3920	2483	1437
L05783	1	-46,5747550	-23,5436990	1751	0,0571	0,1364	2933	2099	834
L05791	1	-46,5315630	-23,5480380	1380	0,0725	0,1364	2259	1735	524
L05792	1	-46,5620492	-23,5418287	1124	0,089	0,1364	1793	1351	442
L05798	2	-46,5834851	-23,5000601	913	0,2191	0,2729	1615	1122	493
L05800	3	-46,6048519	-23,5043234	2579	0,1163	0,4093	4629	3241	1388
L05801	6	-46,5968739	-23,5084251	2820	0,2128	0,8186	5313	3529	1784
L05802	10	-46,6013419	-23,5076564	3312	0,3019	1,3643	6027	4063	1964
L05803	1	-46,6028988	-23,4934538	1298	0,077	0,1364	2472	1632	840
L05804	2	-46,5729009	-23,5009851	2656	0,0753	0,2729	4990	3348	1642
L05806	5	-46,5685781	-23,5119963	4184	0,1195	0,6821	7823	5387	2436
L05807	6	-46,5779360	-23,5053673	3549	0,1691	0,8186	6465	4410	2055
L05808	7	-46,5892786	-23,5184715	2964	0,2362	0,955	5799	3706	2093
L05809	8	-46,5863582	-23,5062229	1595	0,5016	1,0914	2902	1932	970
L05810	2	-46,5928674	-23,5005803	3037	0,0659	0,2729	5514	3674	1840
L05811	25	-46,5847966	-23,5140241	2439	1,025	3,4106	4518	2999	1519
L05813	5	-46,6060326	-23,5005742	1776	0,2815	0,6821	3262	2171	1091
L05814	2	-46,6049224	-23,5160697	1794	0,1115	0,2729	3377	2233	1144
