cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00005	2	-46,6603762	-23,5406137	4082	0,049	0,086	8248	4503	3745
L00011	2	-46,6535747	-23,5498948	3808	0,0525	0,086	7072	4407	2665
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,043	6283	3656	2627
L00022	2	-46,6521240	-23,5458002	10350	0,0193	0,086	18525	11583	6942
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,043	3234	2130	1104
L00025	3	-46,6380154	-23,5642161	2151	0,1395	0,129	3803	2547	1256
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,043	5430	3072	2358
L00030	3	-46,6716846	-23,5278546	4168	0,072	0,129	8123	4653	3470
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,043	5622	4272	1350
L00034	2	-46,6605264	-23,5415277	5254	0,0381	0,086	7993	5767	2226
L00035	3	-46,6800459	-23,5481021	3932	0,0763	0,129	6405	4313	2092
L00036	1	-46,6671104	-23,5303076	1611	0,0621	0,043	3037	1845	1192
L00039	2	-46,6663954	-23,5361229	5419	0,0369	0,086	8062	5901	2161
L00041	4	-46,6798996	-23,5306990	2132	0,1876	0,172	3296	2395	901
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,043	3771	2812	959
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,043	5602	3572	2030
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,043	8677	5629	3048
L00053	2	-46,6630845	-23,5450242	5945	0,0336	0,086	9970	6457	3513
L00054	1	-46,6650200	-23,5361422	1083	0,0923	0,043	1605	1172	433
L00060	3	-46,6711550	-23,5381000	10857	0,0276	0,129	17946	11853	6093
L00070	4	-46,6134834	-23,5400667	2964	0,135	0,172	5594	3588	2006
L00074	2	-46,6370866	-23,5384772	2847	0,0702	0,086	6133	3437	2696
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,043	8045	4955	3090
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,043	5496	3398	2098
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,043	6501	4011	2490
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,043	5171	3468	1703
L00087	1	-46,5842762	-23,5514675	2993	0,0334	0,043	5617	3662	1955
L00102	2	-46,5979424	-23,5532296	4622	0,0433	0,086	8563	5548	3015
L00112	1	-46,6747793	-23,5889660	1465	0,0683	0,043	2322	1627	695
L00113	2	-46,6642690	-23,5638420	4708	0,0425	0,086	8733	5175	3558
L00115	2	-46,6759394	-23,5867575	1860	0,1075	0,086	3357	2042	1315
L00116	4	-46,6726051	-23,5816669	2385	0,1677	0,172	4109	2634	1475
L00117	1	-46,6709040	-23,5923207	3151	0,0317	0,043	5443	3456	1987
L00119	1	-46,6851323	-23,5877136	2254	0,0444	0,043	3851	2471	1380
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,043	4205	2672	1533
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,043	10701	6297	4404
L00125	2	-46,6822891	-23,5834680	4924	0,0406	0,086	9066	5408	3658
L00126	1	-46,6724723	-23,5954720	3916	0,0255	0,043	6669	4338	2331
L00127	2	-46,6605835	-23,5566944	6318	0,0317	0,086	11459	6999	4460
L00128	2	-46,6769068	-23,6001070	3888	0,0514	0,086	6994	4384	2610
L00129	2	-46,6486232	-23,5813704	3537	0,0565	0,086	5654	3970	1684
L00131	1	-46,6442337	-23,5847251	4116	0,0243	0,043	7035	4617	2418
L00135	2	-46,6431906	-23,5719338	4487	0,0446	0,086	7477	5015	2462
L00136	5	-46,6234512	-23,5608329	4167	0,12	0,2151	7421	4897	2524
L00137	2	-46,6125927	-23,5728431	3033	0,0659	0,086	4908	3570	1338
L00138	1	-46,6259630	-23,5630260	2096	0,0477	0,043	3469	2565	904
L00139	2	-46,6500347	-23,5703394	1246	0,1605	0,086	1910	1375	535
L00146	1	-46,6223857	-23,5681693	2480	0,0403	0,043	4585	2913	1672
L00152	3	-46,6459660	-23,5746810	3017	0,0994	0,129	4888	3361	1527
L00153	1	-46,6399206	-23,5899717	4323	0,0231	0,043	6624	4826	1798
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,043	8784	5242	3542
L00157	2	-46,6389836	-23,5697573	5176	0,0386	0,086	8809	5934	2875
